,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
16,,fatum,,,,,LSch,positiv,4102,CATMA_E8501534-C761-4879-AF06-3312F9FAAFE2,23,Emotionen der Freude,positiv,3992,Freude,"Ihr beyde lebt vergnügt / und wenn ihr künfftig blüht / So denckt / daß GOtt und Welt die Freude gerne sieht.
","['Ihr', 'beyde', 'lebt', 'vergnügt', '/', 'und', 'wenn', 'ihr', 'künfftig', 'blüht', '/', 'So', 'denckt', '/', 'daß', 'GOtt', 'und', 'Welt', 'die', 'Freude', 'gerne', 'sieht', '.']"
17,"['amandus', 'burgundia']",,,,,,LSch,positiv,4223,CATMA_9C169D0E-FB9D-4A91-B8A6-08FE631A2E66,23,Emotionen der Zuneigung,positiv,4121,Liebe,"Ich komme noch davon / doch weil die Liebe blüht / So bin ich so ein Narr / der lieber Schaden sieht.
","['Ich', 'komme', 'noch', 'davon', '/', 'doch', 'weil', 'die', 'Liebe', 'blüht', '/', 'So', 'bin', 'ich', 'so', 'ein', 'Narr', '/', 'der', 'lieber', 'Schaden', 'sieht', '.']"
18,,,,,,,LSch,positiv,4336,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_0,5,Emotionen der Zuneigung,positiv,4312,Liebe,Find ich mein Eigenthum?,"['Find', 'ich', 'mein', 'Eigenthum', '?']"
19,,,,,,,LSch,positiv,4410,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_1,6,Emotionen der Zuneigung,positiv,4386,Liebe,Ihr Leben ist mein Ruhm.,"['Ihr', 'Leben', 'ist', 'mein', 'Ruhm', '.']"
20,,,,,,,LSch,positiv,4489,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_2,6,Emotionen der Zuneigung,positiv,4461,Liebe,Ich selbsten bin der Trieb /,"['Ich', 'selbsten', 'bin', 'der', 'Trieb', '/']"
21,,,,,,,LSch,positiv,4566,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_3,6,Emotionen der Zuneigung,positiv,4537,Liebe,"Hier folget Lieb auff Lieb /
","['Hier', 'folget', 'Lieb', 'auff', 'Lieb', '/']"
22,,,,,,,LSch,positiv,4666,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_4,9,Emotionen der Zuneigung,positiv,4612,Liebe,"Seelig welcher im Gemüthe Lust und Gegen-Liebe spürt.
","['Seelig', 'welcher', 'im', 'Gemüthe', 'Lust', 'und', 'Gegen-Liebe', 'spürt', '.']"
23,,,,,,,LSch,positiv,4816,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_5,12,Emotionen der Zuneigung,positiv,4756,Liebe,"Seelig wen das Glücke treibt. Daß er auch beständig bleibt.
","['Seelig', 'wen', 'das', 'Glücke', 'treibt', '.', 'Daß', 'er', 'auch', 'beständig', 'bleibt', '.']"
24,,,,,,,LSch,positiv,4835,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_6,3,Emotionen der Zuneigung,positiv,4825,Liebe,"Ich bins.
","['Ich', 'bins', '.']"
25,,,,,,,LSch,positiv,4881,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_7,3,Emotionen der Zuneigung,positiv,4872,Liebe,"Ich leb’
","['Ich', 'leb', '’']"
26,,,,,,,LSch,positiv,4950,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_8,5,Emotionen der Zuneigung,positiv,4926,Liebe,Ich fürchte keinen Fall.,"['Ich', 'fürchte', 'keinen', 'Fall', '.']"
27,,,,,,,LSch,positiv,5023,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_9,5,Emotionen der Zuneigung,positiv,4998,Liebe,"Was dieser Kuß bekennt /
","['Was', 'dieser', 'Kuß', 'bekennt', '/']"
28,,,,,,,LSch,positiv,5131,CATMA_13DC7F7D-BA7C-4D6B-962A-E1014B215120_10,10,Emotionen der Zuneigung,positiv,5079,Liebe,"Daß unsre Flamme brennt / Und künfftig brennen muß.
","['Daß', 'unsre', 'Flamme', 'brennt', '/', 'Und', 'künfftig', 'brennen', 'muß', '.']"
29,,,amandus,,,,LSch,positiv,4376,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_0,6,Emotionen der Zuneigung,positiv,4348,Liebe,Und find ich mein Verlangen?,"['Und', 'find', 'ich', 'mein', 'Verlangen', '?']"
30,,,amandus,,,,LSch,positiv,4451,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_1,6,Emotionen der Zuneigung,positiv,4422,Liebe,Sein Blick hat mich gefangen.,"['Sein', 'Blick', 'hat', 'mich', 'gefangen', '.']"
31,,,amandus,,,,LSch,positiv,4528,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_2,5,Emotionen der Zuneigung,positiv,4501,Liebe,"Und ich der Liebes-Schluß.
","['Und', 'ich', 'der', 'Liebes-Schluß', '.']"
32,,,amandus,,,,LSch,positiv,4602,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_3,6,Emotionen der Zuneigung,positiv,4577,Liebe,Hier folget Kuß auff Kuß.,"['Hier', 'folget', 'Kuß', 'auff', 'Kuß', '.']"
33,,,amandus,,,,LSch,positiv,4735,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_4,12,Emotionen der Zuneigung,positiv,4677,Liebe,Seelig wen des Himmels Gütte Zu der Kunst in Lieben führt.,"['Seelig', 'wen', 'des', 'Himmels', 'Gütte', 'Zu', 'der', 'Kunst', 'in', 'Lieben', 'führt', '.']"
34,,,amandus,,,,LSch,positiv,4815,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_5,12,Emotionen der Zuneigung,positiv,4756,Liebe,Seelig wen das Glücke treibt. Daß er auch beständig bleibt.,"['Seelig', 'wen', 'das', 'Glücke', 'treibt', '.', 'Daß', 'er', 'auch', 'beständig', 'bleibt', '.']"
35,,,amandus,,,,LSch,positiv,4862,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_6,5,Emotionen der Zuneigung,positiv,4846,Liebe,Ich bin es auch.,"['Ich', 'bin', 'es', 'auch', '.']"
36,,,amandus,,,,LSch,positiv,4917,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_7,5,Emotionen der Zuneigung,positiv,4892,Liebe,"Ich darff nicht sterben.
","['Ich', 'darff', 'nicht', 'sterben', '.']"
37,,,amandus,,,,LSch,positiv,4989,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_8,5,Emotionen der Zuneigung,positiv,4962,Liebe,"Ich trotze mein Verderben.
","['Ich', 'trotze', 'mein', 'Verderben', '.']"
38,,,amandus,,,,LSch,positiv,5058,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_9,5,Emotionen der Zuneigung,positiv,5034,Liebe,Das sagt mein Gegen-Kuß.,"['Das', 'sagt', 'mein', 'Gegen-Kuß', '.']"
39,,,amandus,,,,LSch,positiv,5131,CATMA_6C2A1AE7-D474-44C7-ACEB-C0A9FA95E319_10,10,Emotionen der Zuneigung,positiv,5079,Liebe,"Daß unsre Flamme brennt / Und künfftig brennen muß.
","['Daß', 'unsre', 'Flamme', 'brennt', '/', 'Und', 'künfftig', 'brennen', 'muß', '.']"
40,burgundia,amandus,amandus,,,,LSch,positiv,4666,CATMA_F3FCFAD9-37DE-4DD6-8F09-F14D93315219,9,Emotionen der Zuneigung,positiv,4612,Liebe,"Seelig welcher im Gemüthe Lust und Gegen-Liebe spürt.
","['Seelig', 'welcher', 'im', 'Gemüthe', 'Lust', 'und', 'Gegen-Liebe', 'spürt', '.']"
41,,,,,,,LSch,negativ,4949,CATMA_DFDA5C6C-3AFE-40AF-AE3B-874A5F3547BE,4,Emotionen der Angst,negativ,4926,Angst,Ich fürchte keinen Fall,"['Ich', 'fürchte', 'keinen', 'Fall']"
42,,römer,,,,,LSch,positiv,5219,CATMA_F5021209-0A03-4231-8333-7126B599ADD5_0,7,Emotionen der Zuneigung,positiv,5175,Liebe,Wie spielet die Liebe mit fruchtbaren Lichte,"['Wie', 'spielet', 'die', 'Liebe', 'mit', 'fruchtbaren', 'Lichte']"
43,,römer,,,,,LSch,positiv,5319,CATMA_F5021209-0A03-4231-8333-7126B599ADD5_1,5,Emotionen der Zuneigung,positiv,5282,Liebe,Amandus vergnüget die liebende Braut ,"['Amandus', 'vergnüget', 'die', 'liebende', 'Braut']"
44,,schäfer,,,,,LSch,positiv,5274,CATMA_C417C4D6-4B5E-4109-AA9C-7F95BDFF4DCC_0,9,Emotionen der Freude,positiv,5231,Freude,Wie machet der Seegen die Sorgen zu nichte.,"['Wie', 'machet', 'der', 'Seegen', 'die', 'Sorgen', 'zu', 'nichte', '.']"
45,,schäfer,,,,,LSch,positiv,5372,CATMA_C417C4D6-4B5E-4109-AA9C-7F95BDFF4DCC_1,8,Emotionen der Freude,positiv,5330,Freude,"So werden sie beyde dem Glücke vertraut /
","['So', 'werden', 'sie', 'beyde', 'dem', 'Glücke', 'vertraut', '/']"
46,,römer,,,,,LSch,positiv,5318,CATMA_8CCB29D4-A208-4085-8F5B-4954442B51EB,5,Emotionen der Freude,positiv,5282,Freude,Amandus vergnüget die liebende Braut,"['Amandus', 'vergnüget', 'die', 'liebende', 'Braut']"
47,,römer,,,,,LSch,positiv,5489,CATMA_37A67F93-F4C1-43A1-B6D8-8538E6F2CE0E,14,Emotionen der Freude,positiv,5426,Freude,Was sie wünschen / was sie lachen / Diesem sey der Himmel hold.,"['Was', 'sie', 'wünschen', '/', 'was', 'sie', 'lachen', '/', 'Diesem', 'sey', 'der', 'Himmel', 'hold', '.']"
48,,schäfer,,,,,LSch,positiv,5562,CATMA_A276AA59-9EB8-4259-A99C-43FC3753C2A9,13,Emotionen der Freude,positiv,5499,Freude,Was sie schlaffen / was sie wachen / Dieses werde lauter Gold /,"['Was', 'sie', 'schlaffen', '/', 'was', 'sie', 'wachen', '/', 'Dieses', 'werde', 'lauter', 'Gold', '/']"
49,,,,,,,LSch,positiv,5639,CATMA_A707B267-CFFD-4E12-9D25-C8858E41C7A4_0,13,Emotionen der Freude,positiv,5571,Freude,Nun viel Glücks zum Bauer-Sachen / Tantzt ihr Bauern wenn ihr wollt.,"['Nun', 'viel', 'Glücks', 'zum', 'Bauer-Sachen', '/', 'Tantzt', 'ihr', 'Bauern', 'wenn', 'ihr', 'wollt', '.']"
50,,,,,,,LSch,positiv,5700,CATMA_A707B267-CFFD-4E12-9D25-C8858E41C7A4_1,2,Emotionen der Freude,positiv,5690,Freude,Die Felder,"['Die', 'Felder']"
51,,,,,,,LSch,positiv,5721,CATMA_A707B267-CFFD-4E12-9D25-C8858E41C7A4_2,2,Emotionen der Freude,positiv,5713,Freude,Gedeyen.,"['Gedeyen', '.']"
52,,,,,,,LSch,positiv,5785,CATMA_A707B267-CFFD-4E12-9D25-C8858E41C7A4_3,2,Emotionen der Freude,positiv,5774,Freude,Sie wachsen,"['Sie', 'wachsen']"
53,,,,,,,LSch,positiv,5808,CATMA_A707B267-CFFD-4E12-9D25-C8858E41C7A4_4,3,Emotionen der Freude,positiv,5798,Freude,Im freyen.,"['Im', 'freyen', '.']"
54,,,,,,,LSch,positiv,5897,CATMA_A707B267-CFFD-4E12-9D25-C8858E41C7A4_5,4,Emotionen der Freude,positiv,5876,Freude,Die Saaten bekommen /,"['Die', 'Saaten', 'bekommen', '/']"
55,,,,,,,LSch,positiv,5931,CATMA_A707B267-CFFD-4E12-9D25-C8858E41C7A4_6,5,Emotionen der Freude,positiv,5910,Freude,So lernen wir singen.,"['So', 'lernen', 'wir', 'singen', '.']"
56,römer,,,,,,LSch,positiv,5659,CATMA_D45E0C34-1D26-4ED4-A80B-4B6869E4C6B1_0,3,Emotionen der Freude,positiv,5647,Freude,Die Städte /,"['Die', 'Städte', '/']"
57,römer,,,,,,LSch,positiv,5722,CATMA_D45E0C34-1D26-4ED4-A80B-4B6869E4C6B1_1,2,Emotionen der Freude,positiv,5713,Freude,"Gedeyen.
","['Gedeyen', '.']"
58,römer,,,,,,LSch,positiv,5742,CATMA_D45E0C34-1D26-4ED4-A80B-4B6869E4C6B1_2,3,Emotionen der Freude,positiv,5729,Freude,Sie prangen /,"['Sie', 'prangen', '/']"
59,römer,,,,,,LSch,positiv,5837,CATMA_D45E0C34-1D26-4ED4-A80B-4B6869E4C6B1_3,4,Emotionen der Freude,positiv,5816,Freude,Die Bürger bekleiben.,"['Die', 'Bürger', 'bekleiben', '.']"
60,römer,,,,,,LSch,positiv,5932,CATMA_D45E0C34-1D26-4ED4-A80B-4B6869E4C6B1_4,5,Emotionen der Freude,positiv,5910,Freude,"So lernen wir singen.
","['So', 'lernen', 'wir', 'singen', '.']"
61,schäfer,,,,,,LSch,positiv,5681,CATMA_CD9BE948-A48D-48B7-B2F1-1D07F5447829_0,3,Emotionen der Freude,positiv,5669,Freude,Die Wiesen /,"['Die', 'Wiesen', '/']"
62,schäfer,,,,,,LSch,positiv,5721,CATMA_CD9BE948-A48D-48B7-B2F1-1D07F5447829_1,2,Emotionen der Freude,positiv,5713,Freude,Gedeyen.,"['Gedeyen', '.']"
63,schäfer,,,,,,LSch,positiv,5764,CATMA_CD9BE948-A48D-48B7-B2F1-1D07F5447829_2,3,Emotionen der Freude,positiv,5752,Freude,S ie grünen ,"['S', 'ie', 'grünen']"
64,schäfer,,,,,,LSch,positiv,5808,CATMA_CD9BE948-A48D-48B7-B2F1-1D07F5447829_3,3,Emotionen der Freude,positiv,5798,Freude,Im freyen.,"['Im', 'freyen', '.']"
65,schäfer,,,,,,LSch,positiv,5867,CATMA_CD9BE948-A48D-48B7-B2F1-1D07F5447829_4,4,Emotionen der Freude,positiv,5847,Freude,Die Schafe gelingen.,"['Die', 'Schafe', 'gelingen', '.']"
66,schäfer,,,,,,LSch,positiv,5931,CATMA_CD9BE948-A48D-48B7-B2F1-1D07F5447829_5,5,Emotionen der Freude,positiv,5910,Freude,So lernen wir singen.,"['So', 'lernen', 'wir', 'singen', '.']"
67,unbekannt,,,,,,LSch,positiv,6073,CATMA_C1DD4448-EDD1-457F-85BA-A08EBFEA3337,15,Emotionen der Freude,positiv,6005,Freude,WAs vor ein Schall verletzet mir die Ohren? Wer singet von der Lust?,"['WAs', 'vor', 'ein', 'Schall', 'verletzet', 'mir', 'die', 'Ohren', '?', 'Wer', 'singet', 'von', 'der', 'Lust', '?']"
68,,,,,,,LSch,negativ,6355,CATMA_1086A415-95CB-41CF-B01F-7B5796AC1D74_0,71,Emotionen der Ablehnung,negativ,6005,Abscheu,"WAs vor ein Schall verletzet mir die Ohren? Wer singet von der Lust? Hat meine Schlange schon den Gifft verlohren / Daß ich nicht mitten in dem Liede / Den Thon verwandeln kan? Doch siehe da! Was macht der schwache Friede? Was macht das schnöde Paar? Es sey hiermit geschworen / Die Liebe soll getrennet seyn / Ich setze diesen Gifft zum Zeugen ein.
","['WAs', 'vor', 'ein', 'Schall', 'verletzet', 'mir', 'die', 'Ohren', '?', 'Wer', 'singet', 'von', 'der', 'Lust', '?', 'Hat', 'meine', 'Schlange', 'schon', 'den', 'Gifft', 'verlohren', '/', 'Daß', 'ich', 'nicht', 'mitten', 'in', 'dem', 'Liede', '/', 'Den', 'Thon', 'verwandeln', 'kan', '?', 'Doch', 'siehe', 'da', '!', 'Was', 'macht', 'der', 'schwache', 'Friede', '?', 'Was', 'macht', 'das', 'schnöde', 'Paar', '?', 'Es', 'sey', 'hiermit', 'geschworen', '/', 'Die', 'Liebe', 'soll', 'getrennet', 'seyn', '/', 'Ich', 'setze', 'diesen', 'Gifft', 'zum', 'Zeugen', 'ein', '.']"
69,,,,,,,LSch,negativ,6547,CATMA_1086A415-95CB-41CF-B01F-7B5796AC1D74_1,36,Emotionen der Ablehnung,negativ,6372,Abscheu,"Entweichen sie? Der Eyfer weichet nicht / Der sie numehr biß in die Seele sticht. Vor den blassen Neide. Bückt sich alle Welt / Wenn sie von der Freude Kläglich wieder fallt.
","['Entweichen', 'sie', '?', 'Der', 'Eyfer', 'weichet', 'nicht', '/', 'Der', 'sie', 'numehr', 'biß', 'in', 'die', 'Seele', 'sticht', '.', 'Vor', 'den', 'blassen', 'Neide', '.', 'Bückt', 'sich', 'alle', 'Welt', '/', 'Wenn', 'sie', 'von', 'der', 'Freude', 'Kläglich', 'wieder', 'fallt', '.']"
70,"['amandus', 'burgundia']",invidia,,,,,LSch,positiv,6314,CATMA_7B33A75E-3A0F-4431-B1E4-E11BBDF59089,10,Emotionen der Zuneigung,positiv,6257,Liebe,s sey hiermit geschworen / Die Liebe soll getrennet seyn ,"['s', 'sey', 'hiermit', 'geschworen', '/', 'Die', 'Liebe', 'soll', 'getrennet', 'seyn']"
71,,invidia,,,,,LSch,positiv,6547,CATMA_15CAE6A1-CF3C-4385-BEA0-54B63E2001B7,14,Emotionen der Freude,positiv,6477,Freude,"Bückt sich alle Welt / Wenn sie von der Freude Kläglich wieder fallt.
","['Bückt', 'sich', 'alle', 'Welt', '/', 'Wenn', 'sie', 'von', 'der', 'Freude', 'Kläglich', 'wieder', 'fallt', '.']"
72,invidia,,,,,,LSch,positiv,6736,CATMA_15EDC9EB-1D93-4B04-9C32-312448981AAF,4,Emotionen der Zuneigung,positiv,6713,Freundschaft,Willkommen ihr Freunde.,"['Willkommen', 'ihr', 'Freunde', '.']"
73,fatuum,,,,,,LSch,positiv,6769,CATMA_563C4964-C231-4F7D-971E-7D8DA73D83AA,4,Emotionen der Zuneigung,positiv,6745,Verehrung,"Willkommen mein Schatz.
","['Willkommen', 'mein', 'Schatz', '.']"
74,unpersönlich,,,,,,LSch,positiv,6917,CATMA_775455D9-8616-4F07-A3A3-A020B43382BA,12,Emotionen der Freude,positiv,6853,Freude,"Ich bleibe getreu / Und schlage dem Glücke die Fenster entzwey.
","['Ich', 'bleibe', 'getreu', '/', 'Und', 'schlage', 'dem', 'Glücke', 'die', 'Fenster', 'entzwey', '.']"
75,,invidia,,,,,LSch,positiv,6978,CATMA_36C9C51E-E38E-451A-B410-4CD14598E51B,11,Emotionen der Freude,positiv,6926,Freude,Seht ihr nicht jenes Paar / soll das vergnüget seyn?,"['Seht', 'ihr', 'nicht', 'jenes', 'Paar', '/', 'soll', 'das', 'vergnüget', 'seyn', '?']"
76,"['amandus', 'burgundia']",,,,,,LSch,negativ,7023,CATMA_48DCCCE6-BB70-45E2-B14B-F545B14075CE,10,Emotionen des Leids,negativ,6979,Leid,"Seyd ihr mir hold / so mischet Wermuth ein.
","['Seyd', 'ihr', 'mir', 'hold', '/', 'so', 'mischet', 'Wermuth', 'ein', '.']"
77,,venus,,,,,LSch,positiv,7152,CATMA_95206963-3A6D-4C92-8EE7-E41F1B3F3643,12,Emotionen der Freude,positiv,7096,Freude,"Wer uns zu Trotze lacht / der soll die Luft verfluchen.
","['Wer', 'uns', 'zu', 'Trotze', 'lacht', '/', 'der', 'soll', 'die', 'Luft', 'verfluchen', '.']"
78,,,,,,,LSch,positiv,7301,CATMA_707BA735-4CD2-45EC-B59B-FFEB38A932B7,7,Emotionen der Freude,positiv,7267,Freude,Wir lachen / wenn das Glücke weint,"['Wir', 'lachen', '/', 'wenn', 'das', 'Glücke', 'weint']"
79,,"['bacchus', 'mars', 'plutus', 'satyrus']",,,,,LSch,negativ,7301,CATMA_D289C3C4-BEB2-40DE-8D41-DAD731638F28,4,Emotionen des Leids,negativ,7280,Leid,wenn das Glücke weint,"['wenn', 'das', 'Glücke', 'weint']"
80,,,,,,,LSch,negativ,7341,CATMA_72E4FAB4-0D89-4F93-9892-98EFA8A9F6DB,8,Emotionen des Leids,negativ,7304,Leid,Wir Weinen / wenn es frölich scheint.,"['Wir', 'Weinen', '/', 'wenn', 'es', 'frölich', 'scheint', '.']"
81,,"['bacchus', 'mars', 'plutus', 'satyrus']",,,,,LSch,positiv,7342,CATMA_6EC4F6D5-8877-419F-BE96-835084B2B53E,5,Emotionen der Freude,positiv,7317,Freude,"wenn es frölich scheint.
","['wenn', 'es', 'frölich', 'scheint', '.']"
82,,venus,,,,,LSch,positiv,7462,CATMA_783BAD5E-BC7E-4776-A66A-08CB33D47F99_0,3,Emotionen der Freude,positiv,7446,Freude,Last uns machen ,"['Last', 'uns', 'machen']"
83,,venus,,,,,LSch,positiv,7515,CATMA_783BAD5E-BC7E-4776-A66A-08CB33D47F99_1,3,Emotionen der Freude,positiv,7500,Freude,Daß wir lachen ,"['Daß', 'wir', 'lachen']"
84,,venus,,,,,LSch,positiv,7586,CATMA_783BAD5E-BC7E-4776-A66A-08CB33D47F99_2,7,Emotionen der Freude,positiv,7552,Freude,Setzt zusammen / List und Flammen.,"['Setzt', 'zusammen', '/', 'List', 'und', 'Flammen', '.']"
