,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Emotionsbezug_falls_nötig
10,,,,,,nur auf Sprachebene,LSch,positiv,20934,CATMA_BE021F34-600B-42B1-9C6E-04735255EC93,11,Emotionen der Zuneigung,positiv,20872,Liebe,Wie der reinen Liebe Geist ihn mit Myrth- und Lorbern kräntzet,"['Wie', 'der', 'reinen', 'Liebe', 'Geist', 'ihn', 'mit', 'Myrth-', 'und', 'Lorbern', 'kräntzet']",
11,,DER THRACISCHE BOSPHORUS,,,,,LSch,negativ,20975,CATMA_847D891D-5DA8-4C09-A914-7A9475C96A3B_0,5,Emotionen des Leids,negativ,20937,Leid,Wenn Ibrahim im Unzucht-Dampf erstickt,"['Wenn', 'Ibrahim', 'im', 'Unzucht-Dampf', 'erstickt']",
12,,DER THRACISCHE BOSPHORUS,,,,,LSch,negativ,21162,CATMA_847D891D-5DA8-4C09-A914-7A9475C96A3B_1,21,Emotionen des Leids,negativ,21039,Leid,"Wie die Neutra und die Rabe sich mit Türckschen Leichen schwellt
Und selbst Ibrahims sein Eydam Ismael6

 zu Grunde fällt.
","['Wie', 'die', 'Neutra', 'und', 'die', 'Rabe', 'sich', 'mit', 'Türckschen', 'Leichen', 'schwellt', 'Und', 'selbst', 'Ibrahims', 'sein', 'Eydam', 'Ismael6', 'zu', 'Grunde', 'fällt', '.']",
13,,DER THRACISCHE BOSPHORUS,,,,,LSch,positiv,21454,CATMA_396C8B81-31C7-4F31-B15F-3A47220049D6,25,Emotionen der Freude,positiv,21304,Freude,"Mein Eiß entglimmt von deinen keuschen Flammen /
Durch die der LÖWE weiht
Sich der GLÜCKSELIGKEIT /
Und beyder Hertz wie Wachs sich schmeltzt zusammen","['Mein', 'Eiß', 'entglimmt', 'von', 'deinen', 'keuschen', 'Flammen', '/', 'Durch', 'die', 'der', 'LÖWE', 'weiht', 'Sich', 'der', 'GLÜCKSELIGKEIT', '/', 'Und', 'beyder', 'Hertz', 'wie', 'Wachs', 'sich', 'schmeltzt', 'zusammen']",
14,unbekannt,,,,,,LSch,positiv,21544,CATMA_8D5090A5-E30A-4A0C-B03E-70F5AE41706A_0,17,Emotionen der Zuneigung,positiv,21456,Liebe,"Ja ihre Liebe flösst mir die Begierden ein /
Der Dohnau Bräutigam und Unterthan zu seyn.","['Ja', 'ihre', 'Liebe', 'flösst', 'mir', 'die', 'Begierden', 'ein', '/', 'Der', 'Dohnau', 'Bräutigam', 'und', 'Unterthan', 'zu', 'seyn', '.']",
15,unbekannt,,,,,,LSch,positiv,21729,CATMA_8D5090A5-E30A-4A0C-B03E-70F5AE41706A_1,26,Emotionen der Zuneigung,positiv,21580,Liebe,"So oft in Oesterreich der keuschen Liebe Hand
Nur einen Zweig vermählt / wie sie das Braut-Gewand
Mit mehrern Kronen schmück / und neue Purpur spinne","['So', 'oft', 'in', 'Oesterreich', 'der', 'keuschen', 'Liebe', 'Hand', 'Nur', 'einen', 'Zweig', 'vermählt', '/', 'wie', 'sie', 'das', 'Braut-Gewand', 'Mit', 'mehrern', 'Kronen', 'schmück', '/', 'und', 'neue', 'Purpur', 'spinne']",
16,,,,,,nur auf Sprachebene,LSch,positiv,21859,CATMA_6E238AFC-7B52-4807-81B6-6DCCB471164F,12,Emotionen der Zuneigung,positiv,21798,Liebe,Denn keusche Liebe baut die Thron / unkeusche reisst sie ein.,"['Denn', 'keusche', 'Liebe', 'baut', 'die', 'Thron', '/', 'unkeusche', 'reisst', 'sie', 'ein', '.']",
17,SISIGAMBIS,,,,,,LSch,negativ,22066,CATMA_63E876C9-F0CA-4E34-9DC6-63B30C6C83CC,9,Emotionen der Angst,negativ,22016,Angst,Hilf Himmel! wer erbricht Uns unser Schlaffgemach?,"['Hilf', 'Himmel', '!', 'wer', 'erbricht', 'Uns', 'unser', 'Schlaffgemach', '?']",
18,IBRAHIM,,,,,,LSch,positiv,22123,CATMA_229091F2-0F6C-49FB-8849-D5AFB7B48774_0,8,Emotionen der Zuneigung,positiv,22077,Verehrung,Die Sonnenwende folgt stets ihrer Sonnen nach.,"['Die', 'Sonnenwende', 'folgt', 'stets', 'ihrer', 'Sonnen', 'nach', '.']",
19,IBRAHIM,,,,,,LSch,positiv,22257,CATMA_229091F2-0F6C-49FB-8849-D5AFB7B48774_1,11,Emotionen der Zuneigung,positiv,22203,Verehrung,Nein! Weyrauch aufs Altar dir / Göttin / aufzustreuen.,"['Nein', '!', 'Weyrauch', 'aufs', 'Altar', 'dir', '/', 'Göttin', '/', 'aufzustreuen', '.']",
20,,SISIGAMBIS,SISIGAMBIS,,,,LSch,positiv,22192,CATMA_225EC04A-A5B6-4F8A-9C57-4CA9CC1031E9,11,Emotionen der Zuneigung,positiv,22137,Lust,Wie? sucht der Käyser hier die Keuschheit zu entweihen?,"['Wie', '?', 'sucht', 'der', 'Käyser', 'hier', 'die', 'Keuschheit', 'zu', 'entweihen', '?']",
21,SISIGAMBIS,,,,,,LSch,negativ,22192,CATMA_324F0282-D51B-47B1-89B8-53D6A55FB405,11,Emotionen der Ablehnung,negativ,22137,Abscheu,Wie? sucht der Käyser hier die Keuschheit zu entweihen?,"['Wie', '?', 'sucht', 'der', 'Käyser', 'hier', 'die', 'Keuschheit', 'zu', 'entweihen', '?']",
22,,,IBRAHIM,,,,LSch,negativ,22330,CATMA_9574FB4B-8870-4E44-9456-880ADA6A0281,11,Emotionen der Angst,negativ,22271,Angst,"Ach Gott! was dreut uns sein hier ungewöhnlich Schwerd7

?
","['Ach', 'Gott', '!', 'was', 'dreut', 'uns', 'sein', 'hier', 'ungewöhnlich', 'Schwerd7', '?']",
23,IBRAHIM,,,,,,LSch,positiv,22403,CATMA_4BF4903B-42C2-4BFF-B846-49E5D9A3FBEB_0,14,Emotionen der Zuneigung,positiv,22340,Verehrung,Es lächst nach meinem Blut / wenn sies / mein Liecht / begehrt.,"['Es', 'lächst', 'nach', 'meinem', 'Blut', '/', 'wenn', 'sies', '/', 'mein', 'Liecht', '/', 'begehrt', '.']",
24,IBRAHIM,,,,,,LSch,positiv,22547,CATMA_4BF4903B-42C2-4BFF-B846-49E5D9A3FBEB_1,11,Emotionen der Zuneigung,positiv,22488,Verehrung,Man sieht der Sterne Gold bey Nacht am schönsten schimmern.,"['Man', 'sieht', 'der', 'Sterne', 'Gold', 'bey', 'Nacht', 'am', 'schönsten', 'schimmern', '.']",
25,SISIGAMBIS,,,,,,LSch,negativ,22477,CATMA_E8A92F42-68FC-4EE0-BB6C-281002127017_0,10,Emotionen des Leids,negativ,22417,Leid,Was sucht der Fürst für Liecht in schwartzen Trauer-Zimmern?,"['Was', 'sucht', 'der', 'Fürst', 'für', 'Liecht', 'in', 'schwartzen', 'Trauer-Zimmern', '?']",
26,SISIGAMBIS,,,,,,LSch,negativ,22608,CATMA_E8A92F42-68FC-4EE0-BB6C-281002127017_1,10,Emotionen des Leids,negativ,22561,Leid,Mit Amurathen fiel mein Stern schon in die See.,"['Mit', 'Amurathen', 'fiel', 'mein', 'Stern', 'schon', 'in', 'die', 'See', '.']",
27,SISIGAMBIS,,,,,,LSch,negativ,22751,CATMA_E8A92F42-68FC-4EE0-BB6C-281002127017_2,12,Emotionen des Leids,negativ,22686,Leid,"Mein Geist fleucht neues Liecht / und buhlt mit seinem Schatten.
","['Mein', 'Geist', 'fleucht', 'neues', 'Liecht', '/', 'und', 'buhlt', 'mit', 'seinem', 'Schatten', '.']",
28,IBRAHIM,,,,,,LSch,positiv,22824,CATMA_F3866E33-5AC7-46BB-A566-DBA028DF6A66,12,Emotionen der Zuneigung,positiv,22761,Verehrung,Solch Liebreitz kommt nicht Ihr / auch Todten nicht zu statten.,"['Solch', 'Liebreitz', 'kommt', 'nicht', 'Ihr', '/', 'auch', 'Todten', 'nicht', 'zu', 'statten', '.']",
29,SISIGAMBIS,IBRAHIM,IBRAHIM,,,,LSch,positiv,22947,CATMA_FB47AC2C-8440-4943-B8DC-015E28C8BF47,9,Emotionen der Zuneigung,positiv,22899,Liebe,Schütt auß dein Liebes-Oel in eine glimme Brust.,"['Schütt', 'auß', 'dein', 'Liebes-Oel', 'in', 'eine', 'glimme', 'Brust', '.']",
30,SISIGAMBIS,,,,,,LSch,positiv,23006,CATMA_D83E7F83-1514-49D8-84A5-B3D30EB4AF7C,8,Emotionen der Zuneigung,positiv,22961,Liebe,"Die Liebe glimmet noch in Amurathens Aschen.
","['Die', 'Liebe', 'glimmet', 'noch', 'in', 'Amurathens', 'Aschen', '.']",
31,,,,,,,LSch,negativ,23136,CATMA_AA6CFF3F-D13B-45B1-BECB-BD507E6E1F93_0,12,Emotionen des Leids,negativ,23081,Leid,"Sein Tod vertilgt in mir / was Brand und Eitel heisst.
","['Sein', 'Tod', 'vertilgt', 'in', 'mir', '/', 'was', 'Brand', 'und', 'Eitel', 'heisst', '.']",
