,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Sprachebene
13,,,,,,ER,negativ,3510,CATMA_DA484680-1D9B-4A02-8E77-3FC08B53CAF7,78,Emotionen des Leids,negativ,3089,Leid,"O! Tochter, Tochter, saget mir doch, was vor Gespenster peinigen eure Geister und wofern der Rath des Arsetes, und eure selbst eigene Ehre etwas gilt, woferne die, durch Bitterkeit der Angst, unterdrückte Vernunfft euch die Begierde zu sterben nicht aus den Gedancken laßen will so erweget aufs wenigste wo ihr seÿd, was ihr thut, und die Trefflichkeit eures Geschlechts, ihr seÿd gleich wohl eine königliche Printzeßin.
","['O', '!', 'Tochter', ',', 'Tochter', ',', 'saget', 'mir', 'doch', ',', 'was', 'vor', 'Gespenster', 'peinigen', 'eure', 'Geister', 'und', 'wofern', 'der', 'Rath', 'des', 'Arsetes', ',', 'und', 'eure', 'selbst', 'eigene', 'Ehre', 'etwas', 'gilt', ',', 'woferne', 'die', ',', 'durch', 'Bitterkeit', 'der', 'Angst', ',', 'unterdrückte', 'Vernunfft', 'euch', 'die', 'Begierde', 'zu', 'sterben', 'nicht', 'aus', 'den', 'Gedancken', 'laßen', 'will', 'so', 'erweget', 'aufs', 'wenigste', 'wo', 'ihr', 'seÿd', ',', 'was', 'ihr', 'thut', ',', 'und', 'die', 'Trefflichkeit', 'eures', 'Geschlechts', ',', 'ihr', 'seÿd', 'gleich', 'wohl', 'eine', 'königliche', 'Printzeßin', '.']",
14,doris,,,Ereignis,,ER,negativ,3539,CATMA_C5501F7C-7E3A-4B36-ACA2-66BDEBD1BF67,5,Emotionen des Leids,negativ,3518,Leid,"Ach stille hier von!
","['Ach', 'stille', 'hier', 'von', '!']",
15,,,,,,ER,negativ,4162,CATMA_AD610EA2-A33C-4A46-8F81-28754B7783A2,82,Emotionen der Angst,negativ,3713,Verzweiflung,"ch bin überwunden Arsetes, ich weiche und behalte mir vor, euch auf eine andere Zeit, die unglückselige Ursache zu erzehlen, welche mich zur Verzweÿfelung und zum Sterben angereitzet. Ich will noch eine Zeitlang leben, woferne die jenige leben, welche alle Augenblücke, sterben. Wann ihr mir hernach mein verzweÿfeltes Vorhaben ins Werck zu setzen, nicht vergönnen wollet, so gebet aufs wenigste zu, das ich ohne unterlaß weinen und seuffzen möge.

","['ch', 'bin', 'überwunden', 'Arsetes', ',', 'ich', 'weiche', 'und', 'behalte', 'mir', 'vor', ',', 'euch', 'auf', 'eine', 'andere', 'Zeit', ',', 'die', 'unglückselige', 'Ursache', 'zu', 'erzehlen', ',', 'welche', 'mich', 'zur', 'Verzweÿfelung', 'und', 'zum', 'Sterben', 'angereitzet', '.', 'Ich', 'will', 'noch', 'eine', 'Zeitlang', 'leben', ',', 'woferne', 'die', 'jenige', 'leben', ',', 'welche', 'alle', 'Augenblücke', ',', 'sterben', '.', 'Wann', 'ihr', 'mir', 'hernach', 'mein', 'verzweÿfeltes', 'Vorhaben', 'ins', 'Werck', 'zu', 'setzen', ',', 'nicht', 'vergönnen', 'wollet', ',', 'so', 'gebet', 'aufs', 'wenigste', 'zu', ',', 'das', 'ich', 'ohne', 'unterlaß', 'weinen', 'und', 'seuffzen', 'möge', '.']",
16,,,,,,ER,negativ,4765,CATMA_9B88E33C-D00E-4DF7-B355-59E43414F423_0,44,Emotionen des Leids,negativ,4536,Leid,"Waß vor einen Fehler habe ich armer Golo in meiner Jugend begangen, indem ich mich weit von meinen Vaterlandt in Dienstbarkeit gebracht habe. Ach meines großen Elends! Ich bin am hoff, leÿde täglich Straffe, und weiß nicht warum.","['Waß', 'vor', 'einen', 'Fehler', 'habe', 'ich', 'armer', 'Golo', 'in', 'meiner', 'Jugend', 'begangen', ',', 'indem', 'ich', 'mich', 'weit', 'von', 'meinen', 'Vaterlandt', 'in', 'Dienstbarkeit', 'gebracht', 'habe', '.', 'Ach', 'meines', 'großen', 'Elends', '!', 'Ich', 'bin', 'am', 'hoff', ',', 'leÿde', 'täglich', 'Straffe', ',', 'und', 'weiß', 'nicht', 'warum', '.']",
17,,,,,,ER,negativ,5758,CATMA_9B88E33C-D00E-4DF7-B355-59E43414F423_1,195,Emotionen des Leids,negativ,4781,Leid," hast Ursache genug, dann mein eigen böses Gewißen hat mich zur Buße gerißen. Es ist eine große Plage an königlichen Höffen. Keine Freÿheit haben, und der hat den Teuffel am Halße der nicht zu streicheln und zu geben weiß. Ich kan indeß sagen, der Hoff ist ein Meer, voll von bittern Waßer der Dienstbarkeit. Hätte ich nicht ein so schwehres Gewißen, gleichwie es beÿ Hoffe der Gebrauch ist, ich wolte das Glück anklagen, daß es mir unrecht thue. Ich were sonst ein guter Narr, wann ich nur nicht ein gebundener Narr seÿn müste, ich fiele in Verzweÿffelung, wann ich nicht auch etliche Hoffgriffe wüste. Ich sehe, daß an den Höfen ein jeder sein Handwerck hat, aber ins gemein pflegt man denen Frembden Kappen zu schneiden; ich kan auch denen leuten übel nachreden, und sie stattlich zur Banck hauen, so einen Fehler begehen, über dieß Spiehle ich in den Ball Hauße, schieße nach dem Ziehl, und ob ich schon schändlich von Gesicht bin, so hab ich doch einen schönen Verstandt.
","['hast', 'Ursache', 'genug', ',', 'dann', 'mein', 'eigen', 'böses', 'Gewißen', 'hat', 'mich', 'zur', 'Buße', 'gerißen', '.', 'Es', 'ist', 'eine', 'große', 'Plage', 'an', 'königlichen', 'Höffen', '.', 'Keine', 'Freÿheit', 'haben', ',', 'und', 'der', 'hat', 'den', 'Teuffel', 'am', 'Halße', 'der', 'nicht', 'zu', 'streicheln', 'und', 'zu', 'geben', 'weiß', '.', 'Ich', 'kan', 'indeß', 'sagen', ',', 'der', 'Hoff', 'ist', 'ein', 'Meer', ',', 'voll', 'von', 'bittern', 'Waßer', 'der', 'Dienstbarkeit', '.', 'Hätte', 'ich', 'nicht', 'ein', 'so', 'schwehres', 'Gewißen', ',', 'gleichwie', 'es', 'beÿ', 'Hoffe', 'der', 'Gebrauch', 'ist', ',', 'ich', 'wolte', 'das', 'Glück', 'anklagen', ',', 'daß', 'es', 'mir', 'unrecht', 'thue', '.', 'Ich', 'were', 'sonst', 'ein', 'guter', 'Narr', ',', 'wann', 'ich', 'nur', 'nicht', 'ein', 'gebundener', 'Narr', 'seÿn', 'müste', ',', 'ich', 'fiele', 'in', 'Verzweÿffelung', ',', 'wann', 'ich', 'nicht', 'auch', 'etliche', 'Hoffgriffe', 'wüste', '.', 'Ich', 'sehe', ',', 'daß', 'an', 'den', 'Höfen', 'ein', 'jeder', 'sein', 'Handwerck', 'hat', ',', 'aber', 'ins', 'gemein', 'pflegt', 'man', 'denen', 'Frembden', 'Kappen', 'zu', 'schneiden', ';', 'ich', 'kan', 'auch', 'denen', 'leuten', 'übel', 'nachreden', ',', 'und', 'sie', 'stattlich', 'zur', 'Banck', 'hauen', ',', 'so', 'einen', 'Fehler', 'begehen', ',', 'über', 'dieß', 'Spiehle', 'ich', 'in', 'den', 'Ball', 'Hauße', ',', 'schieße', 'nach', 'dem', 'Ziehl', ',', 'und', 'ob', 'ich', 'schon', 'schändlich', 'von', 'Gesicht', 'bin', ',', 'so', 'hab', 'ich', 'doch', 'einen', 'schönen', 'Verstandt', '.']",
18,,,,,,ER,negativ,5089,CATMA_04AC8159-428F-4B6F-9B20-76AF489BD65D_0,18,Emotionen der Ablehnung,negativ,5004,Abscheu,"Ich kan indeß sagen, der Hoff ist ein Meer, voll von bittern Waßer der Dienstbarkeit.","['Ich', 'kan', 'indeß', 'sagen', ',', 'der', 'Hoff', 'ist', 'ein', 'Meer', ',', 'voll', 'von', 'bittern', 'Waßer', 'der', 'Dienstbarkeit', '.']",
19,,,,,,ER,negativ,5758,CATMA_04AC8159-428F-4B6F-9B20-76AF489BD65D_1,75,Emotionen der Ablehnung,negativ,5385,Abscheu,"Ich sehe, daß an den Höfen ein jeder sein Handwerck hat, aber ins gemein pflegt man denen Frembden Kappen zu schneiden; ich kan auch denen leuten übel nachreden, und sie stattlich zur Banck hauen, so einen Fehler begehen, über dieß Spiehle ich in den Ball Hauße, schieße nach dem Ziehl, und ob ich schon schändlich von Gesicht bin, so hab ich doch einen schönen Verstandt.
","['Ich', 'sehe', ',', 'daß', 'an', 'den', 'Höfen', 'ein', 'jeder', 'sein', 'Handwerck', 'hat', ',', 'aber', 'ins', 'gemein', 'pflegt', 'man', 'denen', 'Frembden', 'Kappen', 'zu', 'schneiden', ';', 'ich', 'kan', 'auch', 'denen', 'leuten', 'übel', 'nachreden', ',', 'und', 'sie', 'stattlich', 'zur', 'Banck', 'hauen', ',', 'so', 'einen', 'Fehler', 'begehen', ',', 'über', 'dieß', 'Spiehle', 'ich', 'in', 'den', 'Ball', 'Hauße', ',', 'schieße', 'nach', 'dem', 'Ziehl', ',', 'und', 'ob', 'ich', 'schon', 'schändlich', 'von', 'Gesicht', 'bin', ',', 'so', 'hab', 'ich', 'doch', 'einen', 'schönen', 'Verstandt', '.']",
20,dirce,,,,,ER,positiv,5842,CATMA_8A580C62-A4B4-4BD7-BD7E-5C07F9C69F16,13,Emotionen der Zuneigung,positiv,5787,Verehrung,"Es ist wahr Golo, du bist schön, beredt und verständig,","['Es', 'ist', 'wahr', 'Golo', ',', 'du', 'bist', 'schön', ',', 'beredt', 'und', 'verständig', ',']",
21,,,,,,ER,negativ,5977,CATMA_C6D026D9-F2DF-423E-8389-B80935E67FDE,25,Emotionen des Leids,negativ,5843,Leid,"und dadurch machst du mich arme Dirce krank in einem so schönen alter, hast aber kein mittleiden, mit meiner so schrecklichen Marter.
","['und', 'dadurch', 'machst', 'du', 'mich', 'arme', 'Dirce', 'krank', 'in', 'einem', 'so', 'schönen', 'alter', ',', 'hast', 'aber', 'kein', 'mittleiden', ',', 'mit', 'meiner', 'so', 'schrecklichen', 'Marter', '.']",
22,golo,dirce,,,,ER,negativ,5974,CATMA_9C3DCE61-C011-45C4-AF4F-26218A517CE7,10,Emotionen des Leids,negativ,5914,Mitleid,"hast aber kein mittleiden, mit meiner so schrecklichen Marte","['hast', 'aber', 'kein', 'mittleiden', ',', 'mit', 'meiner', 'so', 'schrecklichen', 'Marte']",
23,,,,,,ER,negativ,6128,CATMA_8730B9E3-A341-4564-A160-6DCF3B4C309E_0,25,Emotionen der Ablehnung,negativ,5984,Abscheu,"Dirce, du hast mich schon unter schiedliche Mahl mit liebe angefochten, du verdrüßliche, Närrische, alte boßhafftige, begierige, geitzige Vettel","['Dirce', ',', 'du', 'hast', 'mich', 'schon', 'unter', 'schiedliche', 'Mahl', 'mit', 'liebe', 'angefochten', ',', 'du', 'verdrüßliche', ',', 'Närrische', ',', 'alte', 'boßhafftige', ',', 'begierige', ',', 'geitzige', 'Vettel']",
24,,,,,,ER,negativ,6341,CATMA_8730B9E3-A341-4564-A160-6DCF3B4C309E_1,16,Emotionen der Ablehnung,negativ,6265,Abscheu,"denn über dieß, daß du halb blind bist, bistu auch deines Gehöres beraubet.
","['denn', 'über', 'dieß', ',', 'daß', 'du', 'halb', 'blind', 'bist', ',', 'bistu', 'auch', 'deines', 'Gehöres', 'beraubet', '.']",
25,,,,,,ER,positiv,6192,CATMA_261A3DF7-5546-4069-A148-E67EC930CE89,14,Emotionen der Zuneigung,positiv,6129,Liebe," ich habe dir geruffen als einer, die der lieb wohl würdig ist;","['ich', 'habe', 'dir', 'geruffen', 'als', 'einer', ',', 'die', 'der', 'lieb', 'wohl', 'würdig', 'ist', ';']",
26,,,,,,ER,negativ,6264,CATMA_221173E9-81DA-492F-B7EA-24A6D773D1C6,12,Emotionen des Leids,negativ,6193,Leid,"hörstu nicht, was vor Jämmerliche Klagen ich täglich deinetwegen führe?","['hörstu', 'nicht', ',', 'was', 'vor', 'Jämmerliche', 'Klagen', 'ich', 'täglich', 'deinetwegen', 'führe', '?']",
27,,,,,,ER,positiv,6673,CATMA_F9B2C8B8-A608-4187-9E57-6FBDED44D88A,68,Emotionen der Zuneigung,positiv,6349,Liebe,"Es ist wahr, ich bin blind, weil mich deine helle Augen, mein schöner Abgott, verblendet haben, auch bin ich geitzig auf deine süßen Küße, wegen des flehen und bitten meiner weinenden liebhaber, bin ich gantz gehör loß, ô leid! welches mich verzehret! ich laße andere gehen und bete Golo allein an, er aber fliehet vor mir!
","['Es', 'ist', 'wahr', ',', 'ich', 'bin', 'blind', ',', 'weil', 'mich', 'deine', 'helle', 'Augen', ',', 'mein', 'schöner', 'Abgott', ',', 'verblendet', 'haben', ',', 'auch', 'bin', 'ich', 'geitzig', 'auf', 'deine', 'süßen', 'Küße', ',', 'wegen', 'des', 'flehen', 'und', 'bitten', 'meiner', 'weinenden', 'liebhaber', ',', 'bin', 'ich', 'gantz', 'gehör', 'loß', ',', 'ô', 'leid', '!', 'welches', 'mich', 'verzehret', '!', 'ich', 'laße', 'andere', 'gehen', 'und', 'bete', 'Golo', 'allein', 'an', ',', 'er', 'aber', 'fliehet', 'vor', 'mir', '!']",
28,,,,,,ER,negativ,6673,CATMA_A1F6F001-6034-4DC5-8517-5E8A8CE82672,47,Emotionen des Leids,negativ,6444,Leid," auch bin ich geitzig auf deine süßen Küße, wegen des flehen und bitten meiner weinenden liebhaber, bin ich gantz gehör loß, ô leid! welches mich verzehret! ich laße andere gehen und bete Golo allein an, er aber fliehet vor mir!
","['auch', 'bin', 'ich', 'geitzig', 'auf', 'deine', 'süßen', 'Küße', ',', 'wegen', 'des', 'flehen', 'und', 'bitten', 'meiner', 'weinenden', 'liebhaber', ',', 'bin', 'ich', 'gantz', 'gehör', 'loß', ',', 'ô', 'leid', '!', 'welches', 'mich', 'verzehret', '!', 'ich', 'laße', 'andere', 'gehen', 'und', 'bete', 'Golo', 'allein', 'an', ',', 'er', 'aber', 'fliehet', 'vor', 'mir', '!']",
29,,,,,,ER,negativ,6673,CATMA_984BCBE6-1234-42AF-A67D-936EA7349168,6,Emotionen der Ablehnung,negativ,6647,Abscheu," er aber fliehet vor mir!
","['er', 'aber', 'fliehet', 'vor', 'mir', '!']",
30,,,,,,ER,negativ,7352,CATMA_4D93E204-C0F2-4018-B3AB-6D7494E71CA1,112,Emotionen der Ablehnung,negativ,6782,Abscheu,"In was solte man sich doch verlieben? deine Augen seÿnd dunckel; deine Stürne Runtzelicht, deine Nase triefft ohn unterlaß, dein Athem stincket, deine Zähne, so du noch etliche hast  seÿnd nur vor 50 Jahren weiß gewest, deine Hände zittern, deine Beine wacklen, und dein gantzer Leib ist nichts nutz; wolte sich jemand über deine Haare verwundern, so verwundere er sich lieber über den Reiff, dann sie haben einerleÿ Farb mit einander; und kürtzlich zu sagen, ich traue dir nicht, du bist betrügerisch, geil, häßlich und schändlich. Drum habe ich einen Abscheu vor dir.
","['In', 'was', 'solte', 'man', 'sich', 'doch', 'verlieben', '?', 'deine', 'Augen', 'seÿnd', 'dunckel', ';', 'deine', 'Stürne', 'Runtzelicht', ',', 'deine', 'Nase', 'triefft', 'ohn', 'unterlaß', ',', 'dein', 'Athem', 'stincket', ',', 'deine', 'Zähne', ',', 'so', 'du', 'noch', 'etliche', 'hast', 'seÿnd', 'nur', 'vor', '50', 'Jahren', 'weiß', 'gewest', ',', 'deine', 'Hände', 'zittern', ',', 'deine', 'Beine', 'wacklen', ',', 'und', 'dein', 'gantzer', 'Leib', 'ist', 'nichts', 'nutz', ';', 'wolte', 'sich', 'jemand', 'über', 'deine', 'Haare', 'verwundern', ',', 'so', 'verwundere', 'er', 'sich', 'lieber', 'über', 'den', 'Reiff', ',', 'dann', 'sie', 'haben', 'einerleÿ', 'Farb', 'mit', 'einander', ';', 'und', 'kürtzlich', 'zu', 'sagen', ',', 'ich', 'traue', 'dir', 'nicht', ',', 'du', 'bist', 'betrügerisch', ',', 'geil', ',', 'häßlich', 'und', 'schändlich', '.', 'Drum', 'habe', 'ich', 'einen', 'Abscheu', 'vor', 'dir', '.']",
31,,,,,,ER,negativ,7382,CATMA_1A31BC3E-1DCE-4127-8C9F-BC90755FED0D,6,Emotionen der Ablehnung,negativ,7360,Abscheu,"Vor mir, du MaulEsel?
","['Vor', 'mir', ',', 'du', 'MaulEsel', '?']",
32,golo,,,,,ER,negativ,7415,CATMA_4FEDE1FF-B8DA-44DE-8CEE-40C29D78B9F7,6,Emotionen der Ablehnung,negativ,7389,Abscheu,"Vor dir du unbendige Kuh.
","['Vor', 'dir', 'du', 'unbendige', 'Kuh', '.']",
33,dirce,,,,,ER,negativ,7577,CATMA_6E313EEA-702A-4260-909F-1FEAC24CC05E,13,Emotionen der Ablehnung,negativ,7497,Abscheu,"Du unmannierlicher und ungetreuer Mensch, gehestu also mit den Frauenzimmer um?
","['Du', 'unmannierlicher', 'und', 'ungetreuer', 'Mensch', ',', 'gehestu', 'also', 'mit', 'den', 'Frauenzimmer', 'um', '?']",
34,,,dirce,,,ER,positiv,7607,CATMA_BE52B984-4EB7-4C28-9819-0E5E909D50BC,5,Emotionen der Freude,positiv,7584,Schadenfreude,Ich muß warlich lachen.,"['Ich', 'muß', 'warlich', 'lachen', '.']",
35,dirce,,,,,ER,negativ,7721,CATMA_9B52DEAA-0A60-4FB9-89C8-A7D638219BA7,21,Emotionen der Ablehnung,negativ,7616,Abscheu,"Es wird dir dieß Gesichte, als ein erzürnter Himmel der Rießen, schon mit seinen blitz zu treffen wißen.
","['Es', 'wird', 'dir', 'dieß', 'Gesichte', ',', 'als', 'ein', 'erzürnter', 'Himmel', 'der', 'Rießen', ',', 'schon', 'mit', 'seinen', 'blitz', 'zu', 'treffen', 'wißen', '.']",
36,golo,,,,,ER,negativ,7882,CATMA_588C0987-6F03-48AD-A91C-523574CAFC4F,28,Emotionen der Ablehnung,negativ,7728,Abscheu,"Schweig, du buckelichte, lenden lahme, unsinnige und ungestüme Narrin, du altes abgetragenes Halß Gehenck, gehe durch die hinter Thüre nach der Gällerey.
","['Schweig', ',', 'du', 'buckelichte', ',', 'lenden', 'lahme', ',', 'unsinnige', 'und', 'ungestüme', 'Narrin', ',', 'du', 'altes', 'abgetragenes', 'Halß', 'Gehenck', ',', 'gehe', 'durch', 'die', 'hinter', 'Thüre', 'nach', 'der', 'Gällerey', '.']",
37,,,,,,ER,negativ,7979,CATMA_B5744B1D-65FD-481B-94CD-82FE6D682418_0,18,Emotionen der Ablehnung,negativ,7890,Abscheu,"Wann mans beÿm lichte besiehet, so gehöre ich auf die Gallerÿen und du auf die Galleere.
","['Wann', 'mans', 'beÿm', 'lichte', 'besiehet', ',', 'so', 'gehöre', 'ich', 'auf', 'die', 'Gallerÿen', 'und', 'du', 'auf', 'die', 'Galleere', '.']",
38,,,,,,ER,negativ,8051,CATMA_B5744B1D-65FD-481B-94CD-82FE6D682418_1,5,Emotionen der Ablehnung,negativ,8024,Abscheu,"Du unhöfflicher Hoff Narr.
","['Du', 'unhöfflicher', 'Hoff', 'Narr', '.']",
39,,,,,,ER,negativ,8100,CATMA_B5744B1D-65FD-481B-94CD-82FE6D682418_2,3,Emotionen der Ablehnung,negativ,8082,Abscheu,"Du verächtlicher.
","['Du', 'verächtlicher', '.']",
40,,,,,,ER,negativ,8141,CATMA_B5744B1D-65FD-481B-94CD-82FE6D682418_3,3,Emotionen der Ablehnung,negativ,8128,Abscheu,"Du bößwicht.
","['Du', 'bößwicht', '.']",
41,,,,,,ER,negativ,8182,CATMA_B5744B1D-65FD-481B-94CD-82FE6D682418_4,3,Emotionen der Ablehnung,negativ,8169,Abscheu,"Du Ehrloser.
","['Du', 'Ehrloser', '.']",
42,,,,,,ER,negativ,8230,CATMA_B5744B1D-65FD-481B-94CD-82FE6D682418_5,3,Emotionen der Ablehnung,negativ,8215,Abscheu,"Du Aufsticher.
","['Du', 'Aufsticher', '.']",
43,,,,,,ER,negativ,8297,CATMA_B5744B1D-65FD-481B-94CD-82FE6D682418_6,5,Emotionen der Ablehnung,negativ,8277,Abscheu,"Und ich den Prügel.
","['Und', 'ich', 'den', 'Prügel', '.']",
44,,,,,,ER,negativ,8015,CATMA_B6FD2CDD-E909-4CA5-90D4-BFC0DA3C1256_0,5,Emotionen der Ablehnung,negativ,7986,Abscheu,Du vermaledeÿtes Schind Vieh.,"['Du', 'vermaledeÿtes', 'Schind', 'Vieh', '.']",
