,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens,Sprachebene
10,,attila,attila,,,CE,negativ,3204,CATMA_0E95B1D7-BB17-4BCC-AA2A-70F9B0E47F06,14,Emotionen der Angst,negativ,3118,Angst,"allen,  welche unsere geboth wiederstreben wollen, zu einer Erschrökung und beÿspiell.","['allen', ',', 'welche', 'unsere', 'geboth', 'wiederstreben', 'wollen', ',', 'zu', 'einer', 'Erschrökung', 'und', 'beÿspiell', '.']",
11,theodoricus,,,,,CE,negativ,3313,CATMA_B63E6524-D391-462C-B2F5-4F1945F9E781,17,Emotionen der Ablehnung,negativ,3219,Abscheu,"O du ungeheüer aller grausamkeit, du, von den furien und keinen Menschen erzeigte Misgeburth.
","['O', 'du', 'ungeheüer', 'aller', 'grausamkeit', ',', 'du', ',', 'von', 'den', 'furien', 'und', 'keinen', 'Menschen', 'erzeigte', 'Misgeburth', '.']",
12,attila,,,,,CE,negativ,3379,CATMA_FB2A75C8-E1B3-4B5B-BB07-95CC8E41F817,10,Emotionen der Ablehnung,negativ,3322,Ärger,"Wie ist man so saumseelig in vollziehung meines befehlß?
","['Wie', 'ist', 'man', 'so', 'saumseelig', 'in', 'vollziehung', 'meines', 'befehlß', '?']",
13,,,,,,CE,negativ,3657,CATMA_A31C2CEE-0A9C-41CE-991C-7B170E8FA6F3,25,Emotionen der Ablehnung,negativ,3516,Abscheu,"Der tod in waß für grausammere gestalt Er mir auch begegnet, wirdt mir angenehmer seÿn alß das leben der Sclauereÿ eineß solchen wütderichs.
","['Der', 'tod', 'in', 'waß', 'für', 'grausammere', 'gestalt', 'Er', 'mir', 'auch', 'begegnet', ',', 'wirdt', 'mir', 'angenehmer', 'seÿn', 'alß', 'das', 'leben', 'der', 'Sclauereÿ', 'eineß', 'solchen', 'wütderichs', '.']",
14,,,,,,CE,negativ,4037,CATMA_E305856F-39B4-48B6-B2CF-CEEE13FB7AF1,28,Emotionen der Angst,negativ,3893,Angst,"Die 5 übrige, welche den triumph wagen gezogen, leget sich einer nach dem andern auf die Erde über dero leiber Attila auf den thron schreittet.
","['Die', '5', 'übrige', ',', 'welche', 'den', 'triumph', 'wagen', 'gezogen', ',', 'leget', 'sich', 'einer', 'nach', 'dem', 'andern', 'auf', 'die', 'Erde', 'über', 'dero', 'leiber', 'Attila', 'auf', 'den', 'thron', 'schreittet', '.']",
15,,,,,,CE,positiv,4295,CATMA_62F54A0C-281C-4AE3-813D-838F10C6087B,41,Emotionen der Freude,positiv,4037,Schadenfreude,So recht Attilens füsse sind würdig durch Eure gecrönte Staffel auf den thron der besiegten welt zu schreiten. Die hochwachsende lillien deß stoltzen franckreichs haben wir unter unsere füsse getretten und das gantze Europa fast eher besiegt als bestritten. ,"['So', 'recht', 'Attilens', 'füsse', 'sind', 'würdig', 'durch', 'Eure', 'gecrönte', 'Staffel', 'auf', 'den', 'thron', 'der', 'besiegten', 'welt', 'zu', 'schreiten', '.', 'Die', 'hochwachsende', 'lillien', 'deß', 'stoltzen', 'franckreichs', 'haben', 'wir', 'unter', 'unsere', 'füsse', 'getretten', 'und', 'das', 'gantze', 'Europa', 'fast', 'eher', 'besiegt', 'als', 'bestritten', '.']",
16,attila,,,,,CE,Emotionale Bewegtheit,4804,CATMA_A104A9FF-BCD6-4B5C-A704-DF5E7BFB7B28,19,Emotionale Bewegtheit,Emotionale Bewegtheit,4685,Emotionale Bewegtheit, Aber waß für ein abscheulicher Comet Stern ist dieses. Er breitet seinen dunkel strahlenden schweiff über unser gezelt,"['Aber', 'waß', 'für', 'ein', 'abscheulicher', 'Comet', 'Stern', 'ist', 'dieses', '.', 'Er', 'breitet', 'seinen', 'dunkel', 'strahlenden', 'schweiff', 'über', 'unser', 'gezelt']",
17,attila,,philistenes,,,CE,negativ,5691,CATMA_6CC6854C-EFFA-4FA4-83E8-EB92E1F33374,50,Emotionen der Ablehnung,negativ,5348,Ärger,"O torrechte wahnsinnikeiten, solte ein leben loses geschöpff die krafft haben dem Jenigen dem Todt zuthrohen, deßen Vnvmbschränckliche gewalt und dapferkeit selbst mit seinen donner gewaffneten Jupiter forcht vndt eÿfersucht vervrsachet. Soll der vor welchen alle sterbliche sich entsezen heute selbst die wermuth der sterblichkeit verkosten.
","['O', 'torrechte', 'wahnsinnikeiten', ',', 'solte', 'ein', 'leben', 'loses', 'geschöpff', 'die', 'krafft', 'haben', 'dem', 'Jenigen', 'dem', 'Todt', 'zuthrohen', ',', 'deßen', 'Vnvmbschränckliche', 'gewalt', 'und', 'dapferkeit', 'selbst', 'mit', 'seinen', 'donner', 'gewaffneten', 'Jupiter', 'forcht', 'vndt', 'eÿfersucht', 'vervrsachet', '.', 'Soll', 'der', 'vor', 'welchen', 'alle', 'sterbliche', 'sich', 'entsezen', 'heute', 'selbst', 'die', 'wermuth', 'der', 'sterblichkeit', 'verkosten', '.']",
18,,attila,attila,,,CE,negativ,5585,CATMA_03D6EBC1-6B55-4F06-BE86-CC3F6AFF4802,16,Emotionen der Angst,negativ,5458,Angst,deßen Vnvmbschränckliche gewalt und dapferkeit selbst mit seinen donner gewaffneten Jupiter forcht vndt eÿfersucht vervrsachet.,"['deßen', 'Vnvmbschränckliche', 'gewalt', 'und', 'dapferkeit', 'selbst', 'mit', 'seinen', 'donner', 'gewaffneten', 'Jupiter', 'forcht', 'vndt', 'eÿfersucht', 'vervrsachet', '.']",
19,attila,,,,,CE,positiv,5898,CATMA_DC1C93A0-98E5-4255-8437-CF6CB2DA34C4,25,Emotionen der Freude,positiv,5753,Schadenfreude,"Vndt waß Vrtheillest du dan auß dem lauff der sterne von deinen Todt soll selber kürtzlich oder langsam, gewaltsam oder natürlich dier begegnen?
","['Vndt', 'waß', 'Vrtheillest', 'du', 'dan', 'auß', 'dem', 'lauff', 'der', 'sterne', 'von', 'deinen', 'Todt', 'soll', 'selber', 'kürtzlich', 'oder', 'langsam', ',', 'gewaltsam', 'oder', 'natürlich', 'dier', 'begegnen', '?']",
20,attila,,,,,CE,positiv,6056,CATMA_72D7FF02-8FD1-4E74-984D-C3CCF13F0588,20,Emotionen der Freude,positiv,5945,Schadenfreude,"Dir zu bezeigen, das das gestürn sambt dir lige, sollstu noch heute Vndt zwar eines gewaltsammen Todtes sterben","['Dir', 'zu', 'bezeigen', ',', 'das', 'das', 'gestürn', 'sambt', 'dir', 'lige', ',', 'sollstu', 'noch', 'heute', 'Vndt', 'zwar', 'eines', 'gewaltsammen', 'Todtes', 'sterben']",
21,,,,,,CE,negativ,6326,CATMA_534B2DDB-937F-4992-9E4F-E07DA1D55A49,21,Emotionen der Ablehnung,negativ,6196,Abscheu,"Dise Vngerechtigkeit ô Attila! mit der du gegen mir verfahrest, wird deinen wohlverdienten Todt villmehr befördern als verhindern.","['Dise', 'Vngerechtigkeit', 'ô', 'Attila', '!', 'mit', 'der', 'du', 'gegen', 'mir', 'verfahrest', ',', 'wird', 'deinen', 'wohlverdienten', 'Todt', 'villmehr', 'befördern', 'als', 'verhindern', '.']",
22,,,,,,CE,negativ,6395,CATMA_6630D932-63AA-4505-8F73-45BDD260C43E,9,Emotionen der Ablehnung,negativ,6336,Ärger,"Kein worth mehr, man vollführe augenblicklich vnsern befehl","['Kein', 'worth', 'mehr', ',', 'man', 'vollführe', 'augenblicklich', 'vnsern', 'befehl']",
23,,,,,,CE,positiv,6570,CATMA_25F0C686-6780-4D76-982C-F4B07F4E347B,24,Emotionen der Zuneigung,positiv,6438,Verehrung,"Die sterne sind zwar über vnsern leib, nicht aber über vnser gemüth, vnd Tapfferkeit erhöhet, darumb verlachen wir dero betrohungen.","['Die', 'sterne', 'sind', 'zwar', 'über', 'vnsern', 'leib', ',', 'nicht', 'aber', 'über', 'vnser', 'gemüth', ',', 'vnd', 'Tapfferkeit', 'erhöhet', ',', 'darumb', 'verlachen', 'wir', 'dero', 'betrohungen', '.']",
24,,attila,attila,,,CE,negativ,6846,CATMA_4C3D0D93-A69F-4919-A134-1DD22516E0C4,9,Emotionen der Angst,negativ,6788,Angst,damit alle vnsre feinde mit schräkhen sich darob erspiglen,"['damit', 'alle', 'vnsre', 'feinde', 'mit', 'schräkhen', 'sich', 'darob', 'erspiglen']",
25,attila,,,,,CE,positiv,6900,CATMA_41B1B5EB-1651-48CC-B083-82366AD63B7B,7,Emotionen der Freude,positiv,6847,Freude," Aber hier kombt meine Hertzenserquickhung Lerianna.
","['Aber', 'hier', 'kombt', 'meine', 'Hertzenserquickhung', 'Lerianna', '.']",
26,,,,,,CE,positiv,7173,CATMA_3483EA98-BE74-4248-AF4B-61752A3F1A50,37,Emotionen der Zuneigung,positiv,6935,Verehrung,"Mächtiger welt bezwünger. Hier erscheinet Lerianna vor dem gnaden Thron ewer Vnüberwindlichen Maÿestät sich zu vernaygen, vnd euch als ein einzige Gottheit, welche sie in den liebes=tempel ihrers Hertzens anbettet demüttigst zu verehren.
","['Mächtiger', 'welt', 'bezwünger', '.', 'Hier', 'erscheinet', 'Lerianna', 'vor', 'dem', 'gnaden', 'Thron', 'ewer', 'Vnüberwindlichen', 'Maÿestät', 'sich', 'zu', 'vernaygen', ',', 'vnd', 'euch', 'als', 'ein', 'einzige', 'Gottheit', ',', 'welche', 'sie', 'in', 'den', 'liebes=tempel', 'ihrers', 'Hertzens', 'anbettet', 'demüttigst', 'zu', 'verehren', '.']",
27,,,,,,CE,positiv,7517,CATMA_4BD2E2D5-4E67-4FDB-8600-D17DAD75CE23,54,Emotionen der Zuneigung,positiv,7205,Liebe,"Eine solche schönheit als die ewrige, Meine seel kan sich wol einen Gott zu lieben, nicht aber anzubetten ernidrigen. Machet mich meine Tapfferkeit dem Gott Mars gleich, So machet euch ewere Göttliche schönheit zu einer Venus. Lasse vns derowegen vnsere Hertzen gleich den ihrigen durch ewige liebe vereinbahren.","['Eine', 'solche', 'schönheit', 'als', 'die', 'ewrige', ',', 'Meine', 'seel', 'kan', 'sich', 'wol', 'einen', 'Gott', 'zu', 'lieben', ',', 'nicht', 'aber', 'anzubetten', 'ernidrigen', '.', 'Machet', 'mich', 'meine', 'Tapfferkeit', 'dem', 'Gott', 'Mars', 'gleich', ',', 'So', 'machet', 'euch', 'ewere', 'Göttliche', 'schönheit', 'zu', 'einer', 'Venus', '.', 'Lasse', 'vns', 'derowegen', 'vnsere', 'Hertzen', 'gleich', 'den', 'ihrigen', 'durch', 'ewige', 'liebe', 'vereinbahren', '.']",
28,,,attila,,,CE,positiv,7636,CATMA_B5BE73BF-942E-4F54-A799-31E39AE1C9E6,20,Emotionen der Zuneigung,positiv,7529,Liebe,"O das Eüer Mayestät liebe so heis brennend als die meinige wäre, wie überglüklich wurde ich mich schätzen.
","['O', 'das', 'Eüer', 'Mayestät', 'liebe', 'so', 'heis', 'brennend', 'als', 'die', 'meinige', 'wäre', ',', 'wie', 'überglüklich', 'wurde', 'ich', 'mich', 'schätzen', '.']",
29,,,,,,CE,negativ,7821,CATMA_A6EE3AC3-5E4A-4060-BFEC-C82D717BAEC1,20,Emotionen des Leids,negativ,7701,Leid,"Wie solte ich nicht zweifflen, indem ewere Maÿestät eine andere schönheit zu dero liebsten vnd gemahlin erwehlet haben.
","['Wie', 'solte', 'ich', 'nicht', 'zweifflen', ',', 'indem', 'ewere', 'Maÿestät', 'eine', 'andere', 'schönheit', 'zu', 'dero', 'liebsten', 'vnd', 'gemahlin', 'erwehlet', 'haben', '.']",
30,lerianna,,,,,CE,negativ,8150,CATMA_B22F617D-15FD-4F11-9E44-5DB4B9072B67,27,Emotionen des Leids,negativ,7982,Leid,"Eine so vollkommene schönheit, welche Honoria zu besizen gerühmet wird, scheinet nicht allein ewer Vermählung, sondern auch ewer wahrhafften liebe höchstwürdig zu sein.","['Eine', 'so', 'vollkommene', 'schönheit', ',', 'welche', 'Honoria', 'zu', 'besizen', 'gerühmet', 'wird', ',', 'scheinet', 'nicht', 'allein', 'ewer', 'Vermählung', ',', 'sondern', 'auch', 'ewer', 'wahrhafften', 'liebe', 'höchstwürdig', 'zu', 'sein', '.']",
31,attila,,,,,CE,positiv,8344,CATMA_CF7F7298-D57E-4972-9D1D-35E5DA228402,17,Emotionen der Zuneigung,positiv,8258,Liebe,"so soll sie doch bloß den nahmen, ihr aber den genus meiner königin vnd gemahlin haben","['so', 'soll', 'sie', 'doch', 'bloß', 'den', 'nahmen', ',', 'ihr', 'aber', 'den', 'genus', 'meiner', 'königin', 'vnd', 'gemahlin', 'haben']",
32,,,,,,CE,positiv,8633,CATMA_66B4B3A7-391F-4AD2-BAB0-8A40BAE8E6EA,30,Emotionen der Zuneigung,positiv,8475,Verehrung,"Nun kome mir mehr einer, vnd sag das der Liso kein Soldaten=Hertz habe, sondern ein verzagter Pernheiter seÿ, nachdem ich ein so wackhere beüth hieher bringe.","['Nun', 'kome', 'mir', 'mehr', 'einer', ',', 'vnd', 'sag', 'das', 'der', 'Liso', 'kein', 'Soldaten=Hertz', 'habe', ',', 'sondern', 'ein', 'verzagter', 'Pernheiter', 'seÿ', ',', 'nachdem', 'ich', 'ein', 'so', 'wackhere', 'beüth', 'hieher', 'bringe', '.']",
33,,,,,,CE,negativ,9019,CATMA_3CAF6656-7F4D-4490-A1AB-EE32B0A888D1,25,Emotionen der Ablehnung,negativ,8903,Ärger,"Waß nein? wilstu mich lugenstraffen? Ich sag dir halt das Maul, oder ich gib dir eine, die einen halben Zentner wegt","['Waß', 'nein', '?', 'wilstu', 'mich', 'lugenstraffen', '?', 'Ich', 'sag', 'dir', 'halt', 'das', 'Maul', ',', 'oder', 'ich', 'gib', 'dir', 'eine', ',', 'die', 'einen', 'halben', 'Zentner', 'wegt']",
34,,,,,,CE,negativ,9236,CATMA_2C1815F4-9F00-403D-89D6-15487035C31A,12,Emotionen der Ablehnung,negativ,9174,Ärger,"Wie kanstu laugnen, das ich dich Gebunden vnd hieher geführet.","['Wie', 'kanstu', 'laugnen', ',', 'das', 'ich', 'dich', 'Gebunden', 'vnd', 'hieher', 'geführet', '.']",
35,,,liso,,,CE,negativ,9370,CATMA_A96FBE2E-689A-4160-9044-7982C68057CF,12,Emotionen der Ablehnung,negativ,9300,Abscheu,"dan deine Tapfferkeit wäre vill zu gering gewessen, mich zu überwünden","['dan', 'deine', 'Tapfferkeit', 'wäre', 'vill', 'zu', 'gering', 'gewessen', ',', 'mich', 'zu', 'überwünden']",
36,,,,,,CE,positiv,9554,CATMA_F9C1E794-88B7-4F67-96B8-35E8E057C260,33,Emotionen der Zuneigung,positiv,9372,Verehrung,"wan nicht der streithbahre Arsantes, dessen Heldenmueth ob er schon mein feind ist, ich dennoch rühmen muß, mich nach dem mein gewähr mir entzweÿ gesprungen, gefangen genohmen hatte.","['wan', 'nicht', 'der', 'streithbahre', 'Arsantes', ',', 'dessen', 'Heldenmueth', 'ob', 'er', 'schon', 'mein', 'feind', 'ist', ',', 'ich', 'dennoch', 'rühmen', 'muß', ',', 'mich', 'nach', 'dem', 'mein', 'gewähr', 'mir', 'entzweÿ', 'gesprungen', ',', 'gefangen', 'genohmen', 'hatte', '.']",
37,,,,,,CE,negativ,9685,CATMA_B19B8AF1-744D-44C1-8233-269F3862B172,27,Emotionen der Ablehnung,negativ,9562,Ärger,"Warte du kerl, ich muß ein wenig mit dir Philosophiren. Sag mir wahrestu nicht, Ehe ich dich gebunden hab, frey vnd lädig?
","['Warte', 'du', 'kerl', ',', 'ich', 'muß', 'ein', 'wenig', 'mit', 'dir', 'Philosophiren', '.', 'Sag', 'mir', 'wahrestu', 'nicht', ',', 'Ehe', 'ich', 'dich', 'gebunden', 'hab', ',', 'frey', 'vnd', 'lädig', '?']",
38,attila,,,,,CE,Emotionale Bewegtheit,10745,CATMA_EB352758-096C-4CDD-BD4B-5E0BB1E30B50,13,Emotionale Bewegtheit,Emotionale Bewegtheit,10678,Emotionale Bewegtheit,Wie? ist Honoria den wüttenden meeres wehlen zu einen raube worden?,"['Wie', '?', 'ist', 'Honoria', 'den', 'wüttenden', 'meeres', 'wehlen', 'zu', 'einen', 'raube', 'worden', '?']",
39,attila,,,Ereignis,,CE,negativ,11006,CATMA_83D5267F-19D9-4E4A-8C65-0ECBE87E0D8E,8,Emotionen des Leids,negativ,10956,Leid,"O für meine liebe allzu unglükhseelig Potschafft!
","['O', 'für', 'meine', 'liebe', 'allzu', 'unglükhseelig', 'Potschafft', '!']",
40,lerianna,,,Ereignis,,CE,positiv,11056,CATMA_51A5F33E-848C-47D0-B3FD-421D0C4A987D,7,Emotionen der Freude,positiv,11017,Freude,O für mein Hertz allzubeglükte Zeitung.,"['O', 'für', 'mein', 'Hertz', 'allzubeglükte', 'Zeitung', '.']",
41,orontes,,"['honoria', 'unbekannt']",,,CE,positiv,11728,CATMA_EC5705B0-FA6B-484A-80B3-2084A5C1EE19,27,Emotionen der Zuneigung,positiv,11546,Liebe,"Obschon deine schöne hände gebunden sein, so haben doch deine sonnenstrahlende augen die freÿheit vnd gewalt mein bishero freÿes hertz in Vnauffläsliche liebes=bande zu verstrickhen.","['Obschon', 'deine', 'schöne', 'hände', 'gebunden', 'sein', ',', 'so', 'haben', 'doch', 'deine', 'sonnenstrahlende', 'augen', 'die', 'freÿheit', 'vnd', 'gewalt', 'mein', 'bishero', 'freÿes', 'hertz', 'in', 'Vnauffläsliche', 'liebes=bande', 'zu', 'verstrickhen', '.']",
42,orontes,,,Ereignis,,CE,positiv,12073,CATMA_CCB52F72-9CAD-4C7C-A8AF-5C12D00CE26E,10,Emotionen der Freude,positiv,12013,Freude,wie lachet doch daß glükh meinen liebes anfang erfreulich an,"['wie', 'lachet', 'doch', 'daß', 'glükh', 'meinen', 'liebes', 'anfang', 'erfreulich', 'an']",
43,attila,,,,,CE,negativ,12593,CATMA_691D9F40-AAC7-43BE-ACE3-C687A85F2715,13,Emotionen der Ablehnung,negativ,12521,Ärger,"Einen strickh an dem halß solstu dauor bekhomen, du vnersätiger Pengel.
","['Einen', 'strickh', 'an', 'dem', 'halß', 'solstu', 'dauor', 'bekhomen', ',', 'du', 'vnersätiger', 'Pengel', '.']",
44,,,,,,CE,negativ,12756,CATMA_10AC2107-6564-4390-87BE-8F114C18D0CE,17,Emotionen der Ablehnung,negativ,12678,Ärger,"Dir haben wirs befohlen, du solst es auch verrichten, oder du bist des Todtes.","['Dir', 'haben', 'wirs', 'befohlen', ',', 'du', 'solst', 'es', 'auch', 'verrichten', ',', 'oder', 'du', 'bist', 'des', 'Todtes', '.']",
45,liso,,,,,CE,negativ,13547,CATMA_5CB4CEEE-FBC1-41D1-8197-A0C03E9236D9,90,Emotionen der Ablehnung,negativ,13109,Ärger,"Das der Teuffel den krüg holle, wan es was thun gibt, so fünden sich gleich ein gantzer galgen voll kerls, auß  welchen ein ieder befelgt, diser komme hieher, der ander gehe dorthin, vnd so fortan, wans aber zum Monath=sold auszahlen kombt, da ist niemand zu hauß, der einen armen Tropfen ein kreutzer gebe, einer schibt es auf disen, vnd diser auf einen, mit kurzen, zum befellen gibt es tausend Officire, zum auszahlen offt nicht einen.","['Das', 'der', 'Teuffel', 'den', 'krüg', 'holle', ',', 'wan', 'es', 'was', 'thun', 'gibt', ',', 'so', 'fünden', 'sich', 'gleich', 'ein', 'gantzer', 'galgen', 'voll', 'kerls', ',', 'auß', 'welchen', 'ein', 'ieder', 'befelgt', ',', 'diser', 'komme', 'hieher', ',', 'der', 'ander', 'gehe', 'dorthin', ',', 'vnd', 'so', 'fortan', ',', 'wans', 'aber', 'zum', 'Monath=sold', 'auszahlen', 'kombt', ',', 'da', 'ist', 'niemand', 'zu', 'hauß', ',', 'der', 'einen', 'armen', 'Tropfen', 'ein', 'kreutzer', 'gebe', ',', 'einer', 'schibt', 'es', 'auf', 'disen', ',', 'vnd', 'diser', 'auf', 'einen', ',', 'mit', 'kurzen', ',', 'zum', 'befellen', 'gibt', 'es', 'tausend', 'Officire', ',', 'zum', 'auszahlen', 'offt', 'nicht', 'einen', '.']",
