,start,end,id,tag_type_id,tag_type_speech,catma_markupauthor,catma_markuptimestamp,catma_displaycolor,path,text,base_polarity,main_emotion_class,tag_type,Drama
46,4680,4694,CATMA_730A7999-69EC-4DE7-ACD4-991FA036B49B,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Menschenbrut!
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
50,4775,4808,CATMA_025D3213-C3AC-4D0A-A0CE-7BC48198B6B8,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Hat er dir sein Unglück geklagt?
",negativ,Emotionen des Leids,Leid,Menschenhass_Kotzebue
52,4834,4926,CATMA_1954E590-2363-4241-B4AF-49042A9E2C4E,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ein wahrhaftig Unglücklicher klagt nicht. Nach einer Pause.
 Aber so
              erzähle!
",negativ,Emotionen des Leids,Leid,Menschenhass_Kotzebue
54,4934,4969,CATMA_1C2F1389-3B52-4A9A-A21B-A1FAAF036FA9,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Man nahm ihm seinen einzigen Sohn.
",negativ,Emotionen des Leids,Leid,Menschenhass_Kotzebue
57,5034,5040,CATMA_D6B547D8-B314-4E60-BEEB-C0429046DE24,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Pfui!
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
58,5048,5064,CATMA_F0BC2156-7A26-4213-85A8-1EEA63542D98,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Der Alte darbt.
",negativ,Emotionen des Leids,Leid,Menschenhass_Kotzebue
59,5078,5090,CATMA_7B8E1600-2AFF-4F2E-B8F1-8CDC769AA9BB,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Schändlich!
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
60,5098,5123,CATMA_632C9080-A861-4CFF-A0EE-70CD62F59CF4,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ist krank und verlassen.
",negativ,Emotionen des Leids,Leid,Menschenhass_Kotzebue
69,5386,5422,CATMA_3C40C815-8E05-4E9D-B451-F12B79A85A42,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.294+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"O die Menschen sind geborne Lügner.
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
75,5562,6043,CATMA_61DC5D06-F4CD-4461-BB5B-D981944F0AD8,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.295+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ein guter Herr – aber das Reden verlernt man fast bei ihm. Ein braver Herr – aber ich
              kann nicht klug aus ihm werden. Auf jedes Menschenantlitz schimpft er, und kein Armer
              geht hülflos von seiner Türe. Schon drei Jahre bin ich bei ihm, und noch weiß ich
              nicht, wer er ist. Ein Menschenfeind, das ist klar; aber ich wette, seine Mutter  hat ihn nicht dazu geboren. Der Menschenhaß ist in seinem Kopfe, nicht in
              seinem Herzen.
",negativ,Emotionen des Leids,Mitleid,Menschenhass_Kotzebue
78,6154,6160,CATMA_616E5147-5295-4D51-A98E-22BA331BB64B,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.295+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Narr!
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
80,6198,6215,CATMA_F6D34F92-3AF0-472E-A613-E081CAC1D50F,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.295+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Was soll ich da?
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
82,6273,6299,CATMA_B3D5467C-A64E-4D38-A2BA-5A20874C8A2B,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.295+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Diesen Burschen fand ich.
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
84,6370,6522,CATMA_8AD69CA1-AE45-4067-AF5C-38DDE7610648,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.295+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Er spielt mit dem Alten unter einer Decke. – Wie würden sie lachen, wenn sie mich
              einmal wieder zum Narren meines Herzens gemacht hätten!
",positiv,Emotionen der Freude,Schadenfreude,Menschenhass_Kotzebue
92,6836,7130,CATMA_0E44B7C3-B05C-4520-B2BA-CC9AA5FD9803,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.295+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Umsonst? warum nicht? Meiner Six! ich bin umsonst da gewesen. Pfui, wer wird sich
              denn alles bezahlen lassen? Wenn Madam Müller mir ein freundlich Gesicht macht, so
              lauf ich wohl umsonst und um nichts bis an den Hals in den schlammichten
              Schloßgraben.
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
96,7245,7529,CATMA_3775C625-2A0D-4667-B88B-02D8FE2F1770,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.295+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ja seh' Er nur, Madam Müller sagte: Musje Peter, sein Sie so gut und lassen Sie sich
              nichts merken. Mit vieler Behaglichkeit.
 Musje Peter – sein Sie so gut
              – hä! hä! hä! Da wars mir gerade, als ob mich eine rotbackichte Bauerdirne
              kitzelte.
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
106,8787,8806,CATMA_258A3372-2549-4268-AA1D-8F999FB556FF,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ei der liebe Papa!
",positiv,Emotionen der Freude,Schadenfreude,Menschenhass_Kotzebue
107,8814,8968,CATMA_3EA1EF82-3C1D-4EA9-AB10-9080DCD3710D,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Aber Madam Müller lacht den Papa aus. Als vor Weihnachten die Kinder der alten Liese
              die Blattern hatten – nein, es war nach Weihnachten. –
",positiv,Emotionen der Freude,Schadenfreude,Menschenhass_Kotzebue
109,9001,9227,CATMA_9926DF69-A0CC-4582-AAF3-D4207F8F4106,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ja, da wollte Madam Müller mich auch hinunterschicken ins Dorf, zu der alten Liese
              nämlich. Aber das schlug ich ihr rund ab; denn es hatte damals geglatteist, und die
              Kinder sahen so schmutzig aus.
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
111,9274,9425,CATMA_DF5BCA43-7B36-442C-94AD-995DE47BB8DD,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Meiner Six! Sie ging selber hin. Ha! ha! ha! und da hat sie sich mit den schmutzigen
              Kindern so viel abgegeben und geschwatzt ha ha! ha!
",positiv,Emotionen der Freude,Schadenfreude,Menschenhass_Kotzebue
112,9433,9455,CATMA_B8DDA506-0B08-4B70-946F-EFCE80FB5A14,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Eine sonderbare Frau.
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
113,9463,9728,CATMA_BE176BB3-B986-4815-8F45-01D15076EC9C,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ja, sie ist manchmal gar zu wunderlich. Zuweilen weint sie den ganzen Tag, ohne zu
              wissen warum. Und wenn sie dann nur mich zufrieden ließe! aber wenn sie weint, so
              schmeckt mir kein Bissen; ich muß mitweinen, ich mag wollen oder nicht.
",negativ,Emotionen des Leids,Leid,Menschenhass_Kotzebue
116,9792,9828,CATMA_396255CF-AC21-4F9F-990F-6A766569BAB9,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Schaff mir den Schwätzer vom Halse!
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
120,9953,10059,CATMA_9E628F43-8113-4F28-9BED-B7ADDA802A2E,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ach der Geier! Sie haben recht. Er zieht vor dem Unbekannten den Hut.

              Gott befohlen, Herr!
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
123,10100,10121,CATMA_E667DC62-9705-4915-A202-9DD6935B45F3,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.296+0100,-13140244.0,/TEI/text/body/div/div/sp/stage,"halb leise zu Franz.
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
124,10121,10177,CATMA_ED45B298-DAFC-4680-A24C-958FBCBB35E7,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Der ist gewiß böse, daß er nichts von mir herauskriegt?
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
133,10430,10590,CATMA_8ADA96CD-A818-4E83-8A3A-3CBF64D5A7C5,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ich will nichts mehr hören. Diese Madam Müller; wer ist sie? warum find ich sie immer
              auf meinem Wege? Wo ich hinkomme, da ist sie schon gewesen.
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
134,10598,10630,CATMA_6A540069-C47B-4FAC-90B2-427709863816,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Sie sollten sich dessen freuen.
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
135,10644,10652,CATMA_92A200FE-379B-4BAE-A2C8-8BC774C04919,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Freuen?
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
136,10660,10727,CATMA_628A0609-D0CE-40C7-B6E8-389199C239E9,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Daß es der guten wohltätigen Seelen noch mehrere in der Welt gibt.
",positiv,Emotionen der Zuneigung,Verehrung,Menschenhass_Kotzebue
137,10741,10747,CATMA_1B18E348-DEF3-4053-B7AB-AFE9219421DC,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.296+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"O ja.
",positiv,Emotionen der Freude,Schadenfreude,Menschenhass_Kotzebue
139,10807,10818,CATMA_BC40D928-63FF-4B18-980D-8748303DF313,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.297+0100,-13140244.0,/TEI/text/body/div/div/sp/stage,"spöttisch.
",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Menschenhass_Kotzebue
140,10818,10851,CATMA_67544DB3-45F3-4B86-A5A0-56795097BE1E,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Warum nicht lieber sie heuraten?
",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Menschenhass_Kotzebue
141,10859,10968,CATMA_E317995D-4ABB-446E-BF3A-0B614A4C77E6,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Auch das, wenn Sie Lust dazu haben. Ich sah sie einigemal im Garten; sie ist eine
              schöne Frau.
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
142,10982,11020,CATMA_FAD8A515-4EA4-432A-AF81-E4F5DA6E052A,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Desto schlimmer! Schönheit ist Larve.
",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
143,11028,11084,CATMA_64773B4E-F26D-46C2-914C-E02B2F9F463B,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Bei ihr scheint sie Spiegel der Seele. Ihre Wohltaten –
",positiv,Emotionen der Zuneigung,Verehrung,Menschenhass_Kotzebue
144,11098,11353,CATMA_798D5499-22A3-43CE-B307-F91FA4E3E540,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Ach, rede mir nicht von ihren Wohltaten! Glänzen und schimmern wollen sie alle; eine
              Frau in der Stadt durch ihren Witz, eine Frau auf dem Lande durch ihr Herz. Oder sie
              ist eine Betschwester, und dann ist es eitel Gleißnerei.
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
151,11593,11774,CATMA_7905DDBB-5A4D-4E52-A086-80F7256B0FFF,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Seinen dringendsten Bedürfnissen hat Madam Müller abgeholfen; ob sie ihm aber so viel
              gab, oder geben konnte, um sich auch die Stütze seines Alters zurückzuerkaufen –
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
152,11788,11929,CATMA_79762409-F6B1-4069-A1B8-90B8DD508CD7,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Schweig! ich will ihm nichts geben. Hämisch.
 Du intressierst dich ja
              recht warm für ihn? Willst du vielleicht mit ihm teilen?
",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Menschenhass_Kotzebue
153,11824,11833,CATMA_AB8C6568-4BCF-455F-A607-7DD6B6AFD10E,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.297+0100,-13140244.0,/TEI/text/body/div/div/sp/p/stage,"Hämisch.
",Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Menschenhass_Kotzebue
154,11937,11975,CATMA_BE32D3CF-409A-4365-8ACC-4652FD73C734,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Pfui! Das kam nicht aus Ihrem Herzen.
",negativ,Emotionen der Ablehnung,Ärger,Menschenhass_Kotzebue
155,11988,12025,CATMA_6E097EC8-255C-48B5-A046-64BD80C1EFF4,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.297+0100,-13140244.0,/TEI/text/body/div/div/sp/stage,"sich besinnend, reicht ihm die Hand.
",negativ,Emotionen des Leids,Mitleid,Menschenhass_Kotzebue
156,12025,12037,CATMA_B7914A49-C47A-4EA8-B34E-ABFA0F3BBB81,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Vergib mir!
",negativ,Emotionen des Leids,Mitleid,Menschenhass_Kotzebue
157,12044,12054,CATMA_4F1338FC-B2B4-46E8-96C5-936993BB9912,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.297+0100,-13140244.0,/TEI/text/body/div/div/sp/stage,"küßt sie.
",negativ,Emotionen des Leids,Mitleid,Menschenhass_Kotzebue
158,12054,12271,CATMA_6F9B14DA-B1E3-4E27-8D36-A54147CFB834,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Armer Herr! wie muß Ihnen mitgespielt worden sein, ehe es der Welt gelang, diesen
              fürchterlichen Menschenhaß, diese schauerlichen Zweifel an Tugend und Redlichkeit in
              Ihr Herz zu pflanzen.
",negativ,Emotionen des Leids,Mitleid,Menschenhass_Kotzebue
161,12459,12486,CATMA_4B018915-F73D-4155-B1FE-0251CF626C31,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.297+0100,-13140244.0,/TEI/text/body/div/div/sp/stage,"Für sich, ihn betrachtend.
",negativ,Emotionen des Leids,Mitleid,Menschenhass_Kotzebue
162,12486,13144,CATMA_CBB09E23-31EA-48FA-8057-5A63E695C92C,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Nun wieder gelesen. So geht es den ganzen Tag. Für ihn hat die schöne Natur keine
              Freude und das Leben keinen Reiz. Ich hab ihn in drei Jahren nicht ein einziges Mal
              lachen sehen. Was soll daraus werden? ein Selbstmörder! – Wenn er sich doch nur an
              irgendein lebendes Wesen in der Welt kettete, und wär' es auch nur ein Hund, ein
              Kanarienvogel! Denn etwas muß der Mensch doch lieben. Oder wenn er Blumen zöge, oder
              Schmetterlinge sammelte! – Nein, er tut nichts, als lesen. Und wenn er einmal den Mund
              öffnet, so sprudelt ein Fluch über das ganze Menschengeschlecht heraus.
",negativ,Emotionen des Leids,Mitleid,Menschenhass_Kotzebue
164,13164,13477,CATMA_C636C8A6-20F7-4A88-8D31-A2A32972F258,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"»Da vergißt man nichts. Da blutet jede alte Wunde, da rostet kein Dolch. Alles was
              einst die Nerven spannte und mit tiefen Spuren sich einprägte in die Imagination, ist
              ein Gespenst, das dich mit unermüdeter Wut in deiner Einsamkeit verfolgt.« Der
                Greis tritt hervor.

",negativ,Emotionen der Ablehnung,Abscheu,Menschenhass_Kotzebue
169,13730,14027,CATMA_B57FE430-2B63-4B6C-851D-4A5051A2EBE2,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"O wie wohl das tut, sich so nach sieben langen Wochen einmal wieder von Gottes Sonne
              bescheinen zu lassen! Fast hätt' ich im Rausch der Freude dem Schöpfer zu danken
              vergessen. Er faltet seine Mütze zwischen beiden Händen, blickt gen Himmel und
                betet.

",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
170,13935,14026,CATMA_E79E2840-7B04-4161-94A4-49FF1C9EDCB3,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.297+0100,-13140244.0,/TEI/text/body/div/div/sp/p/stage,"Er faltet seine Mütze zwischen beiden Händen, blickt gen Himmel und
                betet.
",positiv,Emotionen der Freude,Freude,Menschenhass_Kotzebue
172,14096,14116,CATMA_2EDC31BD-EE0A-4DF0-881B-3994C529F8B3,CATMA_C33F0973-8A90-4B18-A1AE-071515715DE3,stage,thomasSchmidt,2020-11-24T11:01:33.297+0100,-13140244.0,/TEI/text/body/div/div/sp/stage,"zu dem Unbekannten.
",positiv,Emotionen der Freude,Mitleid,Menschenhass_Kotzebue
173,14116,14228,CATMA_C965964E-8223-4931-A63A-D744FB86E8DE,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Dem Alten ist wohl wenig Freude in der Welt beschert, und doch dankt er Gott auch für
              das wenige.
",positiv,Emotionen der Freude,Mitleid,Menschenhass_Kotzebue
174,14242,14304,CATMA_F2DD7391-2E24-4EDF-9410-E5F3601765CA,CATMA_2F13B718-0201-415A-B469-D514A9B4D00B,p,thomasSchmidt,2020-11-24T11:01:33.297+0100,-7938492.0,/TEI/text/body/div/div/sp/p,"Weil die Hoffnung ihn noch immer an ihrem Gängelbande leitet.
",positiv,Emotionen der Freude,Schadenfreude,Menschenhass_Kotzebue
