 ,file,author,title0,title1,title2,date,date_written,date_print,date_premiere,when_0_textgrid,when_1_textgrid,notAfter_0_textgrid,notBefore_0_textgrid,notAfter_1_textgrid,notBefore_1_textgrid,genretitle,genre classification,subgenre,Entstehung,Erstdruck,Sortierdatum,Uraufaufführung,UAOrt,UABühne,UATruppe,Dramatis_Personae,act_count,scene_count,l_count,lg_count,p_count
312,GerDracor/brandes-ariadne-auf-naxos.xml,"Brandes, Johann Christian",Ariadne auf Naxos,Ein Duodrama mit Musick,"Georg Anton Benda: Ariadne auf Naxos. Ein Duodrama mit Musick, Gotha: [o. V.],
 1775.",1775,,,1775,,,,,,,Libretto,S,,,,1775,27.01.1775,Schlosstheater,Gotha,,no,0,2,184,0,0
281,GerDracor/fouque-aslauga.xml,"Fouqué, Friedrich de la Motte",Aslauga,Ein Heldenspiel in drei Abentheuren,"Friedrich de la Motte Fouqué: Ausgewählte Dramen und Epen. Herausgegeben von
 Christoph F. Lorenz, Hildesheim: Georg Olms AG, 1996 [Nachdruck der Ausgabe
 1810].",1810,,1810,,,,,,,,Heldenspiel,S,,,1810,1810,,,,,,,,,,
498,GerDracor/gottsched-atalanta.xml,"Gottsched, Johann Christoph",Atalanta oder die bezwungene Sprödigkeit,"Ein Schäferspiel, in fünf Aufzügen","Johann Christoph Gottsched: Ausgewählte Werke. Herausgegeben von Joachim Birke,
 Band 1: Gedichte und Gedichtübertragungen, Band 2: Sämtliche Dramen, Berlin: Walter de
 Gruyter & Co., 1968/1970.",1741,,1741,,,,,,,,Schäferspiel,SS,,,1741,1741,,,,,no,5,37,1777,339,0
509,GerDracor/weisse-atreus-und-thyest.xml,"Weiße, Christian Felix",Atreus und Thyest,Ein Trauerspiel in fünf Aufzügen,"Das Drama des Gegeneinander in den sechziger Jahren, Trauerspiele von Christian
 Felix Weiße. Herausgegeben von Dr. F. Brüggemann, Leipzig: Verlag von Philipp Reclam
 jun., 1938. [Deutsche Literatur, Sammlung literarischer Kunst- und Kulturdenkmäler in
 Entwicklungsreihen. Reihe Aufklärung Band 12].",1766,1766,1766,1767,,,,,,,Trauerspiel,T,,,1766,1766,,,,,no,5,30,2159,356,0
,TextGrid/-Baeurischer_Machiavellus.xml,"Weise, Christian",Bäurischer Machiavellus,"Christian Weise: Sämtliche Werke. Herausgegeben von John D. Lindberg, Berlin und New York: Walter de Gruyter, 1971 ff.",,1642,,,,1971,,1708,1642,,,Lustspiel,K,,,1681,1681,15. 02. 1679,Zittau,Schulbühne des Zittauer Gymnasiums,,yes,6,0,631,8,569
211,GerDracor/bretzner-belmont-und-constanze.xml,"Bretzner, Christoph Friedrich",Belmont und Constanze oder Die Entführung aus dem Serail,Eine Operette in drey Akten,"Johann André: Belmont und Constanze, oder: Die Entführung aus dem Serail. Eine
 Operette in drey Akten von C.F. Bretzner, Leipzig: Carl Friedrich Schneider,
 1781.",1781,,,1781,,,,,,,Operette,S,,,,1781,26.05.1781,Döbbelin Theater Berlin,,,no,3,22,408,78,273
2,GerDracor/platen-berengar.xml,"Platen, August von",Berengar,Comödie in einem Akt,"August von Platen: Berengar. Comödie in einem Akt. In: Gesammelte Werke des
 Grafen August von Platen. In fünf Bänden. Dritter Band. Stuttgart und Tübingen: Cotta
 1843. S. 125–154.",1824,1824,1824,,,,,,,,Comödie,K,,,1824,1824,,,,S 177,,,,,,
474,GerDracor/moritz-blunt-oder-der-gast.xml,"Moritz, Karl Philipp",Blunt oder der Gast,Ein Schauspiel in einem Aufzuge,Blunt oder der Gast. Ein Schauspiel in einem Aufzuge. Berlin: Wever 1781.,1781,,1781,,,,,,,,Schauspiel,S,,,1781,1781,,,,,,,,,,
30,GerDracor/brawe-brutus.xml,"Brawe, Joachim Wilhelm von",Brutus,Ein Trauerspiel in fünf Aufzügen,"Joachim Wilhelm von Brawe: Brutus. Ein Trauerspiel in fünf Aufzügen. Mit einem
 Vorw. von Steffen Martus und einem Nachw. von Frank Fischer. Hrsg. von Frank Fischer
 und Jörg Riemer. 2., durchgesehene Auflage. Leipzig/Weißenfels: Ille und Riemer 2015.
 S. 9–68.",1770,,1768,1770,,,,,,,Trauerspiel,T,,,1770,1770,,,,,,,,,,
318,GerDracor/schlegel-canut.xml,"Schlegel, Johann Elias",Canut,Ein Trauerspiel,"Johann Elias Schlegel: Ausgewählte Werke. Herausgegeben von Werner Schubert,
 Weimar: Arion Verlag, 1963.",1746,1746,1746,,,,,,,,Trauerspiel,T,HT,1746,1746,1746,,,,,no,5,23,1571,139,0
296,GerDracor/gryphius-cardenio-und-celinde.xml,"Gryphius, Andreas",Cardenio und Celinde oder Unglücklich Verliebete,Trauerspiel,"Andreas Gryphius: Cardenio und Celinde Oder Unglücklich Verliebete. Herausgegeben
 von Ralf Tarot, Stuttgart: Philipp Reclam jun., 1968 [Universal- Bibliothek Nr.
 8532]",1650,1650,1657,1661,,,,,,,Trauerspiel,T,,1649,1657,1657,1661,Breslau,Schulbühne des Elisabethanums,,,,,,,
,TextGrid/-Carolus_Stuardus.xml,"Gryphius, Andreas",Carolus Stuardus,"Andreas Gryphius: Carolus Stuardus. Herausgegeben von Hans Wagener, Stuttgart: Philipp Reclam jun., 1972 [Universal-Bibliothek Nr. 9366/67].",,1649,,,,1972,1649,,,,,Trauerspiel,T,,1649,1657,1657,1650 (?),Thorn,Schultheater,,yes,5,0,2822,266,303
,TextGrid/-Catharina_von_Georgien.xml,"Gryphius, Andreas",Catharina von Georgien,"Andreas Gryphius: Catharina von Georgien. Herausgegeben von Alois M. Haas, Stuttgart: Philipp Reclam jun., 1975 [Universal-Bibliothek Nr. 9751].",,1647,,,,1975,1647,,,,,Trauerspiel,T,,1647,1657,1657,1651,Köln,Truppe des Joris Jollifous,,yes,5,0,2823,233,127
,TextGrid/-Claudine_von_Villa_Bella.xml,"Goethe, Johann Wolfgang",Claudine von Villa Bella,"Johann Wolfgang von Goethe: Berliner Ausgabe. Herausgegeben von Siegfried Seidel: Poetische Werke [Band 1–16]; Kunsttheoretische Schriften und Übersetzungen [Band 17–22], Berlin: Aufbau, 1960 ff.",,1774,,,,1960,,1775,1774,,,Schauspiel,S,,1775/76,1776,1776,1795,Weimar,,,yes,0,0,708,88,143
346,GerDracor/goethe-clavigo.xml,"Goethe, Johann Wolfgang",Clavigo,Ein Trauerspiel,"Goethes Werke. Hamburger Ausgabe in 14 Bänden. Textkritisch durchgesehen und mit
 Anmerkungen versehen von Erich Trunz, Hamburg: Christian Wegener, 1948 ff.
 [Seitenkonkordanz zu einer Mischauflage aus den Jahren 1959 und 1960.]",1774,,1774,1774,,,,,,,Trauerspiel,T,,1774,1774,1774,23.08.1774,Hamburg,,,no,5,0,0,0,442
,TextGrid/-Cleopatra.xml,"Lohenstein, Daniel Casper von",Cleopatra,"Daniel Casper von Lohenstein: Afrikanische Trauerspiele. Herausgegeben von Klaus Günther Just, Stuttgart: Anton Hiersemann, 1957.",,1655,,,,1957,1655,,,,,Trauerspiel,T,,1660-1680,1680,1680,1661,Breslau,Elisabethanum,,yes,5,0,4440,483,436
200,GerDracor/cronegk-codrus.xml,"Cronegk, Johann Friedrich von",Codrus,Ein Trauerspiel in fünf Aufzügen,"Johann Friedrich von Cronegk: Codrus. Ein Trauerspiel in fünf Aufzügen. In:
 Anhang zu dem ersten und zweyten Bande der Bibliothek der schönen Wissenschaften und
 freyen Künste. Leipzig: Dyk 1758. S. XXV–XXVI und S. 1–96.",1754,1754,1758,1760,,,,,,,Trauerspiel,T,,,1760,1760,,,,,,,,,,
291,GerDracor/collin-coriolan.xml,"Collin, Heinrich Joseph von",Coriolan,Ein Trauerspiel in fünf Aufzügen,"Heinrich Joseph von Collin: Coriolan. Ein Trauerspiel in fünf Aufzügen. Berlin:
 Unger, 1804.",1802,,1804,1802,,,,,,,Trauerspiel,T,,,1804,1804,,,,,,,,,,
,TextGrid/-D._Faust.xml,"Lessing, Gotthold Ephraim",D. Faust,"Gotthold Ephraim Lessing: Werke. Herausgegeben von Herbert G. Göpfert in Zusammenarbeit mit Karl Eibl, Helmut Göbel, Karl S. Guthke, Gerd Hillen, Albert von Schirmding und Jörg Schönert, Band 1–8, München: Hanser, 1970 ff.",,,,,,1970,,1775,1755,,,Dramenfragment,T,,1755-75,1786,1786,,,,,no,1,1,41,1,17
524,GerDracor/lessing-damon.xml,"Lessing, Gotthold Ephraim","Damon, oder die wahre Freundschaft",Ein Lustspiel in einem Aufzuge,"Gotthold Ephraim Lessing: Werke. Herausgegeben von Herbert G. Göpfert in
 Zusammenarbeit mit Karl Eibl, Helmut Göbel, Karl S. Guthke, Gerd Hillen, Albert von
 Schirmding und Jörg Schönert, Band 1–8, München: Hanser, 1970 ff.",1747,,1747,,,,,,,,Lustspiel,K,,,1747,1747,,,,,no,0,10,0,0,183
339,GerDracor/iffland-das-erbtheil-des-vaters.xml,"Iffland, August Wilhelm",Das Erbtheil des Vaters,Ein Schauspiel in vier Aufzügen,"August Wilhelm Iffland: Das Erbtheil des Vaters. Ein Schauspiel in fünf Aufzügen,
 Leipzig: Georg Joachim Göschen, 1802.",1802,,1802,,,,,,,,Drama,S,,,1802,1802,,,,,no,4,50,0,0,1559
,TextGrid/-Das_Friedejauchtzende_Teutschland.xml,"Rist, Johann",Das Friedejauchtzende Teutschland,"Johann Rist: Sämtliche Werke. Herausgegeben von Eberhard Mannack, Berlin und New York: Walter de Gruyter, 1972.",,,,,,1972,,1667,1607,,,Schauspiel,S,,,1653,1653,1647,Hamburg,Johanneum,Reinhold,yes,3,0,397,67,670
,TextGrid/-Das_Friedewuenschende_Teutschland.xml,"Rist, Johann",Das Friedewünschende Teutschland,"Johann Rist: Sämtliche Werke. Herausgegeben von Eberhard Mannack, Berlin und New York: Walter de Gruyter, 1972.",,,,,,1972,,1667,1607,,,Schauspiel,S,,,1647,1647,1647,Hamburg,durch Reinolds Truppe,,yes,3,0,109,8,933
,TextGrid/-Das_goldene_Vlies.xml,"Grillparzer, Franz",Das goldene Vlies,"Franz Grillparzer: Sämtliche Werke. Ausgewählte Briefe, Gespräche, Berichte. Herausgegeben von Peter Frank und Karl Pörnbacher, München: Hanser, [1960–1965].",,1818,,,,1960,,1820,1818,,,Dramatisches Gedicht,S,,1818/20,1822,1822,26./27.03.1821,Wien,,,yes,9,0,5470,770,0
175,GerDracor/goethe-das-jahrmarktsfest-zu-plundersweilern.xml,"Goethe, Johann Wolfgang",Das Jahrmarktsfest zu Plundersweilern,Ein Schönbartspiel,"Johann Wolfgang von Goethe: Berliner Ausgabe. Herausgegeben von Siegfried Seidel:
 Poetische Werke [Band 1–16]; Kunsttheoretische Schriften und Übersetzungen [Band
 17–22], Berlin: Aufbau, 1960 ff.",1778,,1789,1778,,,,,,,Knittelversspiel,K,,1773,1774,1774,20.10.1778,Ettersburg,Liebhaberbühne,,no,0,1,641,95,0
62,GerDracor/kleist-das-kaethchen-von-heilbronn.xml,"Kleist, Heinrich von",Das Käthchen von Heilbronn oder die Feuerprobe,Ein großes historisches Ritterschauspiel,"Heinrich von Kleist: Werke und Briefe in vier Bänden. Herausgegeben von Siegfried
 Streller in Zusammenarbeit mit Peter Goldammer und Wolfgang Barthel, Anita Golz,
 Rudolf Loch, Berlin und Weimar: Aufbau, 1978.",1810,,1810,1810,,,,,,,Ritterschauspiel,S,,1807/08,1810,1810,17.03.1810,Wien,,,no,5,53,1600,292,447
393,GerDracor/klinger-das-leidende-weib.xml,"Klinger, Friedrich Maximilian",Das leidende Weib,Ein Trauerspiel,"Sturm und Drang. Dichtungen und theoretische Texte in zwei Bänden. Ausgewählt und
 mit einem Nachwort versehen von Heinz Nicolai, München: Winkler, 1971",1775,,1775,,,,,,,,Trauerspiel,T,,1774,1775,1775,31.03.16,Berlin,Kammerspiele,,no,5,33,8,2,732
82,GerDracor/arnim-das-loch.xml,"Arnim, Achim von",Das Loch oder Das wiedergefundene Paradies,Ein Schattenspiel,"Achim von Arnim: Das Loch oder Das wiedergefundene Paradies, Joseph von
 Eichendorff: Das Incognito oder Die mehreren Könige oder Alt und Neu. Texte und
 Materialien zur Interpretation besorgt von Gerhard Kluge, Berlin: Walter de Gruyter
 & Co., 1968 [Komedia Band 13].",1811,1811,1813,1811,,,,,,,Schattenspiel,S,,1811,1813,1813,1811,Frankfurt a. M.,,,,,,,,
81,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,"Raimund, Ferdinand",Das Mädchen aus der Feenwelt oder Der Bauer als Millionär,Romantisches Original-Zaubermärchen mit Gesang in drei Aufzügen,"Ferdinand Raimund: Sämtliche Werke. Herausgegeben von Friedrich Schreyvogl,
 München: Winkler, 1960.",1826,1826,1837,1826,,,,,,,Drama,K,,1826,1837,1826,10.11.1826,Wien,,,no,3,33,213,42,578
475,GerDracor/weissenthurn-das-manuscript.xml,"Weißenthurn, Johanna von",Das Manuscript,Lustspiel in fünf Aufzügen,"Johanna Franul von Weißenthurn: Neue Schauspiele. Band 1–2, Wien: Kaulfuss &
 Armbruster, 1817; Band 13., Wien: J. B. Wallishausser, 1834.",1817,,1817,,,,,,,,,,,,1832,1817,,,,,,,,,,
,TextGrid/-Das_Nachtlager_von_Granada.xml,"Braun von Braunthal, Karl Johann",Das Nachtlager von Granada,"Conradin Kreutzer: Das Nachtlager von Granada. Romantische Oper in zwei Aufzügen, Dichtung nach Friedrich Kinds gleichnamigem Schauspiel von Karl Johann Braun, Ritter von Braunthal, hg. v. Carl Friedrich Wittmann, Leipzig: Reclam, [o. J.].",,1802,,,,,,1866,1802,,,Oper in zwei Aufzügen,,,,1825,1825,,,,,,,,,,
372,GerDracor/neuber-das-schaeferfest.xml,"Neuber, Caroline",Das Schäferfest oder Die Herbstfreude,Ein deutsches Lustspiel in Versen,"Deutsche Literatur in Entwicklungsreihen. Herausgegeben von Heinz Kindermann.
 Reihe Aufklärung. Herausgegeben von Fritz Brüggemann, Band 3 und 6, Leipzig: Philipp
 Reclam jun., 1933–1935.",1754,,1754,,,,,,,,Lustspiel,K,,,1754,1754,,,,,no,5,56,2435,491,0
239,GerDracor/gottschedin-das-testament.xml,"Gottsched, Luise Adelgunde Victorie",Das Testament,Ein deutsches Lustspiel in fünf Aufzügen,"Deutsche Literatur in Entwicklungsreihen. Herausgegeben von Heinz Kindermann.
 Reihe Aufklärung. Herausgegeben von Fritz Brüggemann, Band 3 und 6, Leipzig: Philipp
 Reclam jun., 1933–1935.",1745,,1745,,,,,,,,Lustspiel,K,ST,,1745,1745,,,,,no,5,39,0,0,1111
457,GerDracor/delpons-der-ahnherr.xml,"d'Elpons, Friedrich Wilhelm",Der Ahnherr,Schwank in Einem Aufzuge,"Friedrich Wilhelm d’Elpons: Der Ahnherr. Schwank in Einem Aufzuge. In: Frische
 Judenkirschen. Eine Sammlung belustigender Anekdoten, Einfälle, Schwänke und Schnurren
 von Juden und Judengenossen. Herausgegeben von Justus Hilarius. Meißen: Goedsche;
 Kaschau: Wigand 1827. S. 67–98.",1819,,1819,,,,,,,,Schwandk,K,,,1819,1819,,,,,,,,,,
152,GerDracor/raimund-der-alpenkoenig-und-der-menschenfeind.xml,"Raimund, Ferdinand",Der Alpenkönig und der Menschenfeind,Romantisch-komisches Original-Zauberspiel in zwei Aufzügen,"Ferdinand Raimund: Sämtliche Werke. Herausgegeben von Friedrich Schreyvogl,
 München: Winkler, 1960.",1828,1828,1828,1828,,,,,,,Zauberspiel,,,1828,1828,1828,17.10.1828,Wien,,,no,2,36,521,64,855
523,GerDracor/malss-der-alte-buerger-capitain.xml,"Malß, Karl",Der alte Bürger-Capitain oder Die Entführung,Lustspiel in zwei Aufzügen,"Carl Malß: Volkstheater in Frankfurter Mundart. Dritte Auflage, Frankfurt a.M.:
 J.D. Sauerländer’s Verlag, 1884.",1821,,1820,1821,,,1925,1855,,,Lustspiel,K,,,1820,1820,13.08.1821,Frankfurt,Main,,no,2,32,0,0,524
209,GerDracor/klemm-der-auf-den-parnass-versetzte-gruene-hut.xml,"Klemm, Christian Gottlob",Der auf den Parnaß versetzte grüne Hut,Ein Lustspiel in drey Aufzügen,"Chr[ristian] G[ottlob] Klemm: Der auf den Parnass versetzte grüne Hut. Wien:
 Verlag von Carl Konegen, 1883 [Wiener Neudrucke Nr. 4].",1767,1767,1767,1767,,,,,,,,K,,1767,1767,1767,26.02.1767,Wien,,,,,,,,
5,GerDracor/raimund-der-barometermacher-auf-der-zauberinsel.xml,"Raimund, Ferdinand",Der Barometermacher auf der Zauberinsel,"Zauberposse mit Gesang und Tanz in zwei Aufzügen als Parodie des Märchens:
 Prinz Tutu","Ferdinand Raimund: Sämtliche Werke. Herausgegeben von Friedrich Schreyvogl,
 München: Winkler, 1960.",1823,1823,1837,1823,,,,,,,Posse,K,,1823,1837,1823,18.12.1823,Wien,,,no,2,42,262,52,533
215,GerDracor/leisewitz-der-besuch-um-mitternacht.xml,"Leisewitz, Johann Anton",Der Besuch um Mitternacht,"Sturm und Drang. Dichtungen und theoretische Texte in zwei Bänden. Ausgewählt und
 mit einem Nachwort versehen von Heinz Nicolai, München: Winkler, 1971",,1774,,1774,,,,,,,,Dramatische Szene,S,,,1774,1774,,,,,no,0,1,0,0,13
88,GerDracor/borkenstein-der-bookesbeutel.xml,"Borkenstein, Hinrich",Der Bookesbeutel,Ein Lustspiel von Drey Aufzügen,"Hinrich Borkenstein: Der Bookesbeutel. Leipzig: G.J. Goschen’sche
 Verlagsbuchhandlung, 1896 [Deutsche Literaturdenkmale des 18. und 19. Jhdts.
 herausgegeben von August Sauer, No. 56/7].",1741,,1742,1741,,,,,,,Lustspiel,K,ST,,1742,1742,,,,,no,3,27,3,1,566
351,GerDracor/goethe-der-buergergeneral.xml,"Goethe, Johann Wolfgang",Der Bürgergeneral,Ein Lustspiel in einem Aufzuge,"Johann Wolfgang von Goethe: Berliner Ausgabe. Herausgegeben von Siegfried Seidel:
 Poetische Werke [Band 1–16]; Kunsttheoretische Schriften und Übersetzungen [Band
 17–22], Berlin: Aufbau, 1960 ff.",1793,1793,1793,1793,,,,,,,Lustspiel,K,,1793,1793,1793,02.05.1793,Weimar,Hoftheater,,no,0,14,0,0,924
187,GerDracor/andre-der-comoedienfeind.xml,"André, Johann",Der Comödienfeind,Ein Lustspiel in einem Aufzuge,"Der Comödienfeind. Ein Lustspiel in einem Aufzuge, von J. A. Offenbach am Mayn:
 Weiß 1765.",1765,,1765,,,,,,,,Lustspiel,K,,,1765,1765,,,,,,,,,,
308,GerDracor/gemmingen-hornberg-der-deutsche-hausvater.xml,"Gemmingen-Hornberg, Otto Heinrich von",Der deutsche Hausvater oder die Familie,Ein Schauspiel,"Das Drama der klassischen Periode. Herausgegeben von Dr. Adolf Hauffen,
 Stuttgart: Union Deutsche Verlagsgesellschaft, [o.J.] [Deutsche National-Litteratur,
 herausgegeben von Joseph Kürschner, 138. Bd.].",1779,,1780,1779,,,,,,,Schauspiel,S,,,1780,1780,,,,,no,7,40,2,1,957
424,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,"Raimund, Ferdinand",Der Diamant des Geisterkönigs,Zauberspiel in zwei Aufzügen,"Ferdinand Raimund: Sämtliche Werke. Herausgegeben von Friedrich Schreyvogl,
 München: Winkler, 1960.",1824,1824,1837,1824,,,,,,,Zauberspiel,K,,1824,1837,1824,17.12.1824,Wien,Theater in der Leopoldstadt,,no,2,48,268,48,581
488,GerDracor/weidmann-der-dorfbarbier.xml,"Weidmann, Paul Weidmann Joseph",Der Dorfbarbier,Komische Oper in einem Akt,"Johann Baptist Schenk: Der Dorfbarbier. Komische Oper in einem Akt von Joseph
 Weidmann, Leipzig: Breitkopf & Härtel, [o. J.].",1796,,,1796,,,,,,,Komische Oper,K,,,,1796,30.10.1796,Wien,Kärntnertor-Theater,,no,0,13,304,59,216
510,GerDracor/gotter-der-dorfjahrmarkt.xml,"Gotter, Friedrich Wilhelm",Der Dorfjahrmarkt,Eine komische Oper in zwei Aufzügen,"Georg Anton Benda: Der Dorfjahrmarkt. Eine komische Oper in zwei Aufzügen,
 Leipzig: Verlag der Dykischen Buchhandlung, 1778.",1775,,1778,1775,,,,,,,Komische Oper,K,,,,1775,10.02.1775,Schlosstheater,Gotha,,no,2,25,226,46,623
100,GerDracor/gleich-der-eheteufel-auf-reisen.xml,"Gleich, Josef Alois",Der Eheteufel auf Reisen,Lokales Zauberspiel mit Gesang in zwei Aufzügen,"Das Wiener Volkstheater in seinen schönsten Stücken. Herausgegeben und
 eingeleitet von Gerhard Helbig, Leipzig: Dieterich’sche Verlagsbuchhandlung,
 1960.",1821,,1822,1821,,,,,,,Drama,K,,,1822,1822,09.03.1821,Wien,Theater in der Leopoldstadt,,no,2,35,124,30,482
,TextGrid/-Der_ehrlichen_Frau_Schlampampe_Krankheit_und_Tod.xml,"Reuter, Christian",Der ehrlichen Frau Schlampampe Krankheit und Tod,"Christian Reuter: Werke in einem Band. Herausgegeben von den nationalen Forschungs- und Gedenkstätten der klassischen deutschen Literatur in Weimar, ausgewählt und eingeleitet von Günter Jäckel, Weimar: Volksverlag, 1962.",,1962,,,,1962,,,,,,Lustspiel,K,,,1696,1696,,,,,yes,3,38,469,1,253
504,GerDracor/lenz-der-englaender.xml,"Lenz, Jakob Michael Reinhold",Der Engländer,Eine dramatische Phantasei,"Jakob Michael Reinhold Lenz: Werke und Schriften. Herausgegeben von Britta Titel
 und Hellmut Haug, Band 1–2, Stuttgart: Goverts, 1965–1966.",1776,,1776,,,,,,,,Drama,S,,1775/76,1777,1777,,,,,no,5,6,14,4,155
126,GerDracor/reil-der-erste-may.xml,"Reil, Johann Anton Friedrich",Der erste May oder der reiche Poet,"Ein Frühlingsgemählde nаch wahren Vorfällen entworfen, in einem
 Aufzuge","Joh. Ant. Friedrich Reil: Der erste May oder der reiche Poet. Ein
 Frühlingsgemälde nach wahren Vorfällen entworfen, in einem Aufzuge. Wien: Strauß
 1816.",1816,,1816,1816,,,,,,,Frühlingsgemälde,S,,,1816,1816,,,,,,,,,,
530,GerDracor/lessing-der-freigeist.xml,"Lessing, Gotthold Ephraim",Der Freigeist,Ein Lustspiel in fünf Aufzügen,"Gotthold Ephraim Lessing: Werke. Herausgegeben von Herbert G. Göpfert in
 Zusammenarbeit mit Karl Eibl, Helmut Göbel, Karl S. Guthke, Gerd Hillen, Albert von
 Schirmding und Jörg Schönert, Band 1–8, München: Hanser, 1970 ff.",1749,1749,1755,,,,,,,,Lustspiel,K,,1749,1755,1755,1767,Frankfurt a. M.,,,no,5,35,0,0,893
432,GerDracor/brawe-der-freigeist.xml,"Brawe, Joachim Wilhelm von",Der Freigeist,Ein Trauerspiel in fünf Aufzügen,"Joachim Wilhelm von Brawe: Der Freygeist, ein Trauerspiel in Prosa und fünf
 Aufzügen. In: Trauerspiele des Herrn Joachim Wilhelm von Brawe. Berlin: George Ludewig
 Winter 1768, S. 109–248.",1759,,1758,1759,,,,,,,Trauerspiel,T,,,1758,1758,,,,,no,5,32,0,0,326
