,Unnamed: 0,Emotionsbezug_falls_nötig,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,Sprachebene,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
10,28,,IBRAHIM,,,,,,LSch,positiv,22824.0,CATMA_F3866E33-5AC7-46BB-A566-DBA028DF6A66,12,Emotionen der Zuneigung,positiv,22761.0,Verehrung,Solch Liebreitz kommt nicht Ihr / auch Todten nicht zu statten.,"['Solch', 'Liebreitz', 'kommt', 'nicht', 'Ihr', '/', 'auch', 'Todten', 'nicht', 'zu', 'statten', '.']"
11,30,,SISIGAMBIS,,,,,,LSch,positiv,23006.0,CATMA_D83E7F83-1514-49D8-84A5-B3D30EB4AF7C,8,Emotionen der Zuneigung,positiv,22961.0,Liebe,"Die Liebe glimmet noch in Amurathens Aschen.
","['Die', 'Liebe', 'glimmet', 'noch', 'in', 'Amurathens', 'Aschen', '.']"
12,36,,,,,,,,LSch,negativ,23394.0,CATMA_43EEFE1C-5E2E-45E5-A172-701D590FCCB5_0,11,Emotionen des Leids,negativ,23340.0,Leid,Hat Sonn und Fürst an Dunst und Mir was liebens-werth?,"['Hat', 'Sonn', 'und', 'Fürst', 'an', 'Dunst', 'und', 'Mir', 'was', 'liebens-werth', '?']"
13,39,,,,,,,nur auf Sprachebene,LSch,positiv,23724.0,CATMA_3F82B127-56FA-4411-854C-B71DF779DFD0,11,Emotionen der Zuneigung,positiv,23673.0,Liebe,So Blitz als Liebe wird gezeugt auß Kält und Dunst.,"['So', 'Blitz', 'als', 'Liebe', 'wird', 'gezeugt', 'auß', 'Kält', 'und', 'Dunst', '.']"
14,40,,SISIGAMBIS,,,,,,LSch,negativ,24118.0,CATMA_2882C9D4-FBAE-4BEF-AAC1-EBF5B6A26AE1,73,Emotionen des Leids,negativ,23738.0,Leid,"Was sol für Anmuth blühn auf diesen welcken Wangen /
Auff dieser schlaffen Brust? Ein Garn / das Löwen fangen
Und Riesen fässeln sol / ja Käyser schlingen ein /
Muß nicht auß schlechtem Zeug und irdschem Drate seyn.
Der Agstein zeucht nur Spreu / Magnete ziehn nur Eisen /
Nicht schwer und schätzbar Gold. Die Flamm und Glut beweisen
An Zedern ihre Krafft; sind gegen Golde kalt.
","['Was', 'sol', 'für', 'Anmuth', 'blühn', 'auf', 'diesen', 'welcken', 'Wangen', '/', 'Auff', 'dieser', 'schlaffen', 'Brust', '?', 'Ein', 'Garn', '/', 'das', 'Löwen', 'fangen', 'Und', 'Riesen', 'fässeln', 'sol', '/', 'ja', 'Käyser', 'schlingen', 'ein', '/', 'Muß', 'nicht', 'auß', 'schlechtem', 'Zeug', 'und', 'irdschem', 'Drate', 'seyn', '.', 'Der', 'Agstein', 'zeucht', 'nur', 'Spreu', '/', 'Magnete', 'ziehn', 'nur', 'Eisen', '/', 'Nicht', 'schwer', 'und', 'schätzbar', 'Gold', '.', 'Die', 'Flamm', 'und', 'Glut', 'beweisen', 'An', 'Zedern', 'ihre', 'Krafft', ';', 'sind', 'gegen', 'Golde', 'kalt', '.']"
15,41,,,,,,,,LSch,positiv,24338.0,CATMA_FED0C0E0-C263-4033-83D8-F7AEFC209141,37,Emotionen der Zuneigung,positiv,24118.0,Lust,"Und Sisigambis sol mit welckender Gestalt
Den grossen Sultan ziehn? des Käysers Hertze zünden
Durch lauen Liebreitz an? Wir selber / wir empfinden:
Daß unser Anmuths-Trieb zu schlechter Weyrauch sey
Auff Ibrahims Altar.
","['Und', 'Sisigambis', 'sol', 'mit', 'welckender', 'Gestalt', 'Den', 'grossen', 'Sultan', 'ziehn', '?', 'des', 'Käysers', 'Hertze', 'zünden', 'Durch', 'lauen', 'Liebreitz', 'an', '?', 'Wir', 'selber', '/', 'wir', 'empfinden', ':', 'Daß', 'unser', 'Anmuths-Trieb', 'zu', 'schlechter', 'Weyrauch', 'sey', 'Auff', 'Ibrahims', 'Altar', '.']"
16,44,,,,,,,,LSch,positiv,25472.0,CATMA_454B798B-353F-4D1D-9574-F000003AFF08,57,Emotionen der Zuneigung,positiv,25193.0,Verehrung,"Ach! keine kein' ist gleich
Und reicht den Schatten dir! Die güldnen Himmel werden
Von einer Sonn erhellt. Der grosse Kräyß der Erden
Hegt einen Fenix nur: Und in Stambuldens Stadt
Ist eine Gottheit nur / die uns zum Priester hat.
O Sonne meiner Seel / und Abgott meines Hertzen.","['Ach', '!', 'keine', 'kein', ""'"", 'ist', 'gleich', 'Und', 'reicht', 'den', 'Schatten', 'dir', '!', 'Die', 'güldnen', 'Himmel', 'werden', 'Von', 'einer', 'Sonn', 'erhellt', '.', 'Der', 'grosse', 'Kräyß', 'der', 'Erden', 'Hegt', 'einen', 'Fenix', 'nur', ':', 'Und', 'in', 'Stambuldens', 'Stadt', 'Ist', 'eine', 'Gottheit', 'nur', '/', 'die', 'uns', 'zum', 'Priester', 'hat', '.', 'O', 'Sonne', 'meiner', 'Seel', '/', 'und', 'Abgott', 'meines', 'Hertzen', '.']"
17,46,,,SISIGAMBIS,SISIGAMBIS,,,,LSch,positiv,26018.0,CATMA_4E075A67-F586-4022-BB62-8901743667C9,27,Emotionen der Zuneigung,positiv,25865.0,Lust,"Der Käyser kiese nicht
Für Demant schlechtes Glaß. In wenig Zeit erbleichet
Des falschen Purpers Glantz / den uns Begierde streichet
Für blöden Augen an.","['Der', 'Käyser', 'kiese', 'nicht', 'Für', 'Demant', 'schlechtes', 'Glaß', '.', 'In', 'wenig', 'Zeit', 'erbleichet', 'Des', 'falschen', 'Purpers', 'Glantz', '/', 'den', 'uns', 'Begierde', 'streichet', 'Für', 'blöden', 'Augen', 'an', '.']"
18,48,,IBRAHIM,,,,,,LSch,positiv,26429.0,CATMA_7CA59444-4690-4ED8-AB1B-4E3E76DFF7E1,16,Emotionen der Zuneigung,positiv,26352.0,Lust,"Ach! aber / ach du fehlest/
Wenn du des Sultans Brand zur Ubereilung zehlest.","['Ach', '!', 'aber', '/', 'ach', 'du', 'fehlest/', 'Wenn', 'du', 'des', 'Sultans', 'Brand', 'zur', 'Ubereilung', 'zehlest', '.']"
19,49,,,,unbekannt,,,,LSch,positiv,26676.0,CATMA_6733166C-C814-4410-B9AC-3F689C40F17D,47,Emotionen der Zuneigung,positiv,26430.0,Lust,"Du kennst des Käysers Arth: wie vieler Frauen Trieb /8


Wie mancher Jahre Reitz bey uns ohnmächtig blieb /
Nur einen süssen Brand in unser Hertz zu stecken.
Das Feuer war uns kalt / die Schönheit schien uns Flecken /
Der Liebreitz eckelnd Gifft.","['Du', 'kennst', 'des', 'Käysers', 'Arth', ':', 'wie', 'vieler', 'Frauen', 'Trieb', '/8', 'Wie', 'mancher', 'Jahre', 'Reitz', 'bey', 'uns', 'ohnmächtig', 'blieb', '/', 'Nur', 'einen', 'süssen', 'Brand', 'in', 'unser', 'Hertz', 'zu', 'stecken', '.', 'Das', 'Feuer', 'war', 'uns', 'kalt', '/', 'die', 'Schönheit', 'schien', 'uns', 'Flecken', '/', 'Der', 'Liebreitz', 'eckelnd', 'Gifft', '.']"
20,51,,IBRAHIM,,SISIGAMBIS,,,,LSch,positiv,26867.0,CATMA_62239B09-17C1-4070-BFC6-FE65C7D6C417,37,Emotionen der Zuneigung,positiv,26677.0,Lust,"So schleuß nun: was für Blitz
Auß deiner Anmuth fährt. Von eines Funckens Hitz
Entzündet Weyrauch sich. Viel Flammen aber müssen
Dar würcken / wo der Stahl sol glühn / das Gold-Ertzt flißen.","['So', 'schleuß', 'nun', ':', 'was', 'für', 'Blitz', 'Auß', 'deiner', 'Anmuth', 'fährt', '.', 'Von', 'eines', 'Funckens', 'Hitz', 'Entzündet', 'Weyrauch', 'sich', '.', 'Viel', 'Flammen', 'aber', 'müssen', 'Dar', 'würcken', '/', 'wo', 'der', 'Stahl', 'sol', 'glühn', '/', 'das', 'Gold-Ertzt', 'flißen', '.']"
21,54,,,,,,,,LSch,positiv,27465.0,CATMA_6189FA6C-0476-4CDD-A756-4852F5BAEE06,22,Emotionen der Zuneigung,positiv,27366.0,Liebe,"Sie sey gleich alt / gleich neu;
Es sey gleich Ernst / gleich Schertz: daß mich der Sultan liebet /","['Sie', 'sey', 'gleich', 'alt', '/', 'gleich', 'neu', ';', 'Es', 'sey', 'gleich', 'Ernst', '/', 'gleich', 'Schertz', ':', 'daß', 'mich', 'der', 'Sultan', 'liebet', '/']"
22,56,,SISIGAMBIS,,,,,,LSch,negativ,27733.0,CATMA_D3FA0C71-6825-4D72-BC26-4F16391D8261,22,Emotionen des Leids,negativ,27622.0,Leid,"Der zärtsten Jahre Tacht / das dieses Feuer fänget /
Ist von der Zeit verzehrt / und durch mein Leid versenget.","['Der', 'zärtsten', 'Jahre', 'Tacht', '/', 'das', 'dieses', 'Feuer', 'fänget', '/', 'Ist', 'von', 'der', 'Zeit', 'verzehrt', '/', 'und', 'durch', 'mein', 'Leid', 'versenget', '.']"
23,58,,,,SISIGAMBIS,,,,LSch,positiv,28129.0,CATMA_C6304DD7-3204-433A-9AA6-838CCAA6A3BA_0,23,Emotionen der Zuneigung,positiv,28006.0,Liebe,"Ach! aber / schätze nicht mein Lieben so sehr lau:
Daß Ibrahim allein die flüchtge Merzen-Blume
Der eiteln Schönheit liebt.","['Ach', '!', 'aber', '/', 'schätze', 'nicht', 'mein', 'Lieben', 'so', 'sehr', 'lau', ':', 'Daß', 'Ibrahim', 'allein', 'die', 'flüchtge', 'Merzen-Blume', 'Der', 'eiteln', 'Schönheit', 'liebt', '.']"
24,59,,,,SISIGAMBIS,,,,LSch,positiv,28303.0,CATMA_C6304DD7-3204-433A-9AA6-838CCAA6A3BA_1,25,Emotionen der Zuneigung,positiv,28178.0,Liebe,"Wer Farb und Haut nur liebt /
Liebt mit den Augen nur. Was meiner Seele giebt
Vergnügung / stecket auch in Sisigambis Seele.
","['Wer', 'Farb', 'und', 'Haut', 'nur', 'liebt', '/', 'Liebt', 'mit', 'den', 'Augen', 'nur', '.', 'Was', 'meiner', 'Seele', 'giebt', 'Vergnügung', '/', 'stecket', 'auch', 'in', 'Sisigambis', 'Seele', '.']"
25,60,,SISIGAMBIS,,,,,,LSch,Emotionale Bewegtheit,28577.0,CATMA_4CB9F59B-05DF-424E-8E27-22A5C4AE2321,19,Emotionale Bewegtheit,Emotionale Bewegtheit,28480.0,Emotionale Bewegtheit,"Was mein Gemüthe regt / ist Tugend / die verwehret
Die Thorheit zu begehn / die Ibrahim begehret.","['Was', 'mein', 'Gemüthe', 'regt', '/', 'ist', 'Tugend', '/', 'die', 'verwehret', 'Die', 'Thorheit', 'zu', 'begehn', '/', 'die', 'Ibrahim', 'begehret', '.']"
26,61,,,SISIGAMBIS,SISIGAMBIS,,,,LSch,positiv,28628.0,CATMA_9D162C69-EA5E-4432-AA9D-99A7934E2500,11,Emotionen der Zuneigung,positiv,28578.0,Lust,So lesche denn der Fürst die Flamm in erster Glut.,"['So', 'lesche', 'denn', 'der', 'Fürst', 'die', 'Flamm', 'in', 'erster', 'Glut', '.']"
27,64,,,SISIGAMBIS,SISIGAMBIS,,,,LSch,positiv,28848.0,CATMA_0CC35743-7FD8-435E-8670-C5C98B5C1ABE,13,Emotionen der Zuneigung,positiv,28765.0,Liebe,"Der Fürst wird doch umbsonst sein Liebes-Oel vergießen

Auff meines Hertzens Kalck.","['Der', 'Fürst', 'wird', 'doch', 'umbsonst', 'sein', 'Liebes-Oel', 'vergießen', 'Auff', 'meines', 'Hertzens', 'Kalck', '.']"
28,65,,,,,,,,LSch,positiv,29010.0,CATMA_32118736-BD71-4594-837A-0810B4BB0ACA,24,Emotionen der Zuneigung,positiv,28876.0,Liebe,"Alß Amurath mein Licht schloß sterbend seinen Mund /
Hab ich durch theuren Eyd9

 die Keuschheit seinem Geiste
Biß in den Tod gelobt.
","['Alß', 'Amurath', 'mein', 'Licht', 'schloß', 'sterbend', 'seinen', 'Mund', '/', 'Hab', 'ich', 'durch', 'theuren', 'Eyd9', 'die', 'Keuschheit', 'seinem', 'Geiste', 'Biß', 'in', 'den', 'Tod', 'gelobt', '.']"
29,67,,,,,,,nur auf Sprachebene,LSch,positiv,29555.0,CATMA_FE328143-D700-4E90-BA61-2B23DFDDAB75,30,Emotionen der Zuneigung,positiv,29380.0,Liebe,"Welch Aberglaube bannt vom Lieben Ehr und Eyde
Und des Gewissens Trieb? Wo nicht auß Unschulds-Seyde
Das Garn der Liebe wird gesponnen / fressen sich
Die Unglücks-Motten ein. ","['Welch', 'Aberglaube', 'bannt', 'vom', 'Lieben', 'Ehr', 'und', 'Eyde', 'Und', 'des', 'Gewissens', 'Trieb', '?', 'Wo', 'nicht', 'auß', 'Unschulds-Seyde', 'Das', 'Garn', 'der', 'Liebe', 'wird', 'gesponnen', '/', 'fressen', 'sich', 'Die', 'Unglücks-Motten', 'ein', '.']"
30,70,,,,,,,,LSch,positiv,30139.0,CATMA_1E4A57C8-461D-4CD0-BE87-785561FB8625,53,Emotionen der Zuneigung,positiv,29889.0,Verehrung,"den man von Ardens Sande
Biß wo die Wolge strömt / und Oby sich ergeust /
Dem von Giebraltars Haupt / biß wo der Oxus fleust /
Die Völcker so wie Gott fußfällig Ehr erzeigen.
Für dem sich Ispahan / Wien / Agra / Kitay neigen /
Amara / Pecking bückt.
","['den', 'man', 'von', 'Ardens', 'Sande', 'Biß', 'wo', 'die', 'Wolge', 'strömt', '/', 'und', 'Oby', 'sich', 'ergeust', '/', 'Dem', 'von', 'Giebraltars', 'Haupt', '/', 'biß', 'wo', 'der', 'Oxus', 'fleust', '/', 'Die', 'Völcker', 'so', 'wie', 'Gott', 'fußfällig', 'Ehr', 'erzeigen', '.', 'Für', 'dem', 'sich', 'Ispahan', '/', 'Wien', '/', 'Agra', '/', 'Kitay', 'neigen', '/', 'Amara', '/', 'Pecking', 'bückt', '.']"
31,71,,IBRAHIM,,"['SISIGAMBIS', 'unpersönlich']",,,,LSch,negativ,30595.0,CATMA_1D7ADDFA-79AD-4D4E-AC05-1E8CB056194A,10,Emotionen der Ablehnung,negativ,30536.0,Ärger,Sein Blitz zermalmt / die nicht gehorchen seinen Schlüssen.,"['Sein', 'Blitz', 'zermalmt', '/', 'die', 'nicht', 'gehorchen', 'seinen', 'Schlüssen', '.']"
32,72,,,SISIGAMBIS,,,,,LSch,negativ,30664.0,CATMA_336DE371-9261-4729-B3E0-FFFFF38B0509,11,Emotionen des Leids,negativ,30609.0,Leid,Der Himmel straft die Seeln / die Meyneyd hat befleckt.,"['Der', 'Himmel', 'straft', 'die', 'Seeln', '/', 'die', 'Meyneyd', 'hat', 'befleckt', '.']"
33,73,,,,unpersönlich,,,,LSch,negativ,30732.0,CATMA_01FC9B43-540D-413D-9A03-7EF286F620E6,12,Emotionen der Angst,negativ,30675.0,Angst,Wird die / die unser lacht / von fernem Blitz erschreckt?,"['Wird', 'die', '/', 'die', 'unser', 'lacht', '/', 'von', 'fernem', 'Blitz', 'erschreckt', '?']"
34,74,,,,,,,,LSch,positiv,30701.0,CATMA_FF7BC21B-EDB4-43EA-9839-E132709091A0,5,Emotionen der Freude,positiv,30680.0,Schadenfreude,die / die unser lacht,"['die', '/', 'die', 'unser', 'lacht']"
35,75,,,,SISIGAMBIS,,,"['Schadenfreude', 'nur auf Sprachebene']",LSch,negativ,30867.0,CATMA_371D6A3E-3BCD-4BCE-AD90-3EC119859D63,11,Emotionen der Angst,negativ,30810.0,Angst,Wie: Daß dein Hochmuth nicht auch unsers fürchten lernet?,"['Wie', ':', 'Daß', 'dein', 'Hochmuth', 'nicht', 'auch', 'unsers', 'fürchten', 'lernet', '?']"
36,76,,,,,,,,LSch,positiv,30933.0,CATMA_7B9A5E24-581F-461C-803B-777B5303CC51,12,Emotionen der Zuneigung,positiv,30881.0,Liebe,Wo mich der Käyser liebt / was ist für Furchte Noth?,"['Wo', 'mich', 'der', 'Käyser', 'liebt', '/', 'was', 'ist', 'für', 'Furchte', 'Noth', '?']"
37,79,,SISIGAMBIS,,,,,,LSch,negativ,31059.0,CATMA_2A2D1FE0-5CEA-4948-8777-973A5FB6E62B,10,Emotionen der Angst,negativ,31004.0,Angst,Behertzte Tugend läßt sich Haß und Tod nicht schrecken.,"['Behertzte', 'Tugend', 'läßt', 'sich', 'Haß', 'und', 'Tod', 'nicht', 'schrecken', '.']"
38,80,,IBRAHIM,,SISIGAMBIS,,,,LSch,negativ,31123.0,CATMA_98A63E66-951E-4568-AAE1-5C44A1026B84,10,Emotionen der Ablehnung,negativ,31070.0,Ärger,Trotz kan auß Sonnen auch Gewölck und Blitz erwecken.,"['Trotz', 'kan', 'auß', 'Sonnen', 'auch', 'Gewölck', 'und', 'Blitz', 'erwecken', '.']"
39,81,,IBRAHIM,SISIGAMBIS,SISIGAMBIS,,,,LSch,positiv,31188.0,CATMA_FA4F6836-0F4F-4A41-A82D-9CC62D4463BD,9,Emotionen der Zuneigung,positiv,31137.0,Lust,Die Sonne der Vernunft verklärt Begierd und Brunst.,"['Die', 'Sonne', 'der', 'Vernunft', 'verklärt', 'Begierd', 'und', 'Brunst', '.']"
40,82,,,,,,,,LSch,positiv,31249.0,CATMA_95A03A7F-7021-4A69-BE49-F6B59A700E57,9,Emotionen der Zuneigung,positiv,31199.0,Verehrung,"Wir bitten noch einmahl Ihr wiedmend unsre Gunst.
","['Wir', 'bitten', 'noch', 'einmahl', 'Ihr', 'wiedmend', 'unsre', 'Gunst', '.']"
41,83,,,,,,,,LSch,positiv,31313.0,CATMA_128C9A5A-6E55-4EBF-AC6E-F539B6675912,9,Emotionen der Zuneigung,positiv,31262.0,Liebe,Wir werden tausendmal ihm Lieb und Bitt abschlagen.,"['Wir', 'werden', 'tausendmal', 'ihm', 'Lieb', 'und', 'Bitt', 'abschlagen', '.']"
42,84,,,,,,,,LSch,negativ,31381.0,CATMA_2E209A9E-4D23-4904-A438-66F7159006A7_0,13,Emotionen der Ablehnung,negativ,31324.0,Ärger,Laß schaun: was ein frech Weib Uns Macht hat zu versagen.,"['Laß', 'schaun', ':', 'was', 'ein', 'frech', 'Weib', 'Uns', 'Macht', 'hat', 'zu', 'versagen', '.']"
43,85,,,,,,,,LSch,negativ,31473.0,CATMA_2E209A9E-4D23-4904-A438-66F7159006A7_1,3,Emotionen der Ablehnung,negativ,31463.0,Ärger,"Gib dich!
","['Gib', 'dich', '!']"
44,86,,,,,,,,LSch,negativ,31600.0,CATMA_2E209A9E-4D23-4904-A438-66F7159006A7_2,12,Emotionen der Ablehnung,negativ,31541.0,Ärger,Gib dich! sonst sol dein Blut hier diesen Dolch bespritzen.,"['Gib', 'dich', '!', 'sonst', 'sol', 'dein', 'Blut', 'hier', 'diesen', 'Dolch', 'bespritzen', '.']"
45,87,,,,,,,,LSch,negativ,31452.0,CATMA_24B5DA63-9C4D-4ACE-93B2-9D05100ACD59_0,11,Emotionen der Angst,negativ,31395.0,Angst,Hilf Himmel! wil der Fürst durch Noth-Zwang uns entweyhn?,"['Hilf', 'Himmel', '!', 'wil', 'der', 'Fürst', 'durch', 'Noth-Zwang', 'uns', 'entweyhn', '?']"
46,88,,,,,,,,LSch,negativ,31530.0,CATMA_24B5DA63-9C4D-4ACE-93B2-9D05100ACD59_1,10,Emotionen der Angst,negativ,31486.0,Angst,Der Käyser ruh / ich werd auf Hülfe schrein.,"['Der', 'Käyser', 'ruh', '/', 'ich', 'werd', 'auf', 'Hülfe', 'schrein', '.']"
47,89,,,,,,,,LSch,negativ,31672.0,CATMA_0814029D-B7A7-449C-B270-1A2B4C103C8B_0,11,Emotionen der Ablehnung,negativ,31614.0,Abscheu,"So sol diß Messer mich10

 für Dolch und Unzucht schützen.","['So', 'sol', 'diß', 'Messer', 'mich10', 'für', 'Dolch', 'und', 'Unzucht', 'schützen', '.']"
48,90,,,,,,,,LSch,negativ,31790.0,CATMA_0814029D-B7A7-449C-B270-1A2B4C103C8B_1,9,Emotionen der Ablehnung,negativ,31743.0,Abscheu,Auf einen fernern Tritt erwarte Rach und Stich.,"['Auf', 'einen', 'fernern', 'Tritt', 'erwarte', 'Rach', 'und', 'Stich', '.']"
49,91,,,,,,,,LSch,negativ,31918.0,CATMA_0814029D-B7A7-449C-B270-1A2B4C103C8B_2,11,Emotionen der Ablehnung,negativ,31864.0,Abscheu,Du oder ich sol eh durchbohrt / als fleckicht sterben.,"['Du', 'oder', 'ich', 'sol', 'eh', 'durchbohrt', '/', 'als', 'fleckicht', 'sterben', '.']"
50,93,,,,,,,,LSch,negativ,31850.0,CATMA_C88D6C42-3552-4172-88A1-CFB6AA4E728C_1,11,Emotionen der Ablehnung,negativ,31801.0,Abscheu,Hat Weib und Wahn diß ie gewagt auf Oßmans Erben?,"['Hat', 'Weib', 'und', 'Wahn', 'diß', 'ie', 'gewagt', 'auf', 'Oßmans', 'Erben', '?']"
51,94,,SISIGAMBIS,,,,,,LSch,negativ,32142.0,CATMA_D8B2DEEC-9956-4E12-A459-0328DCD111E5,5,Emotionen der Ablehnung,negativ,32117.0,Abscheu,"Er spinnet Nothzucht an.
","['Er', 'spinnet', 'Nothzucht', 'an', '.']"
