,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,year_genre,genre,subgenre,date
236,236,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Wald mit Odoardo Haus.,0,22,stage_direction,1,7,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
237,237,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Angela, und Colombina.",0,22,stage_direction,1,7,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
240,240,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Sie küst das Portrait.,0,22,stage_direction,1,7,inner_speech,,#angela,103.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
249,249,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Hanswurst gehet aus Odoardo Haus.,0,33,stage_direction,1,8,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
253,253,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Zu
                Angela.",0,26,stage_direction,1,8,inner_speech,,#hanswurst,110.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
255,255,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Colombina.,0,13,stage_direction,1,8,inner_speech,,#hanswurst,110.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
259,259,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Hanswurst.,0,13,stage_direction,1,8,inner_speech,,#angela,111.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
264,264,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Geht eilends
                ab.",0,32,stage_direction,1,8,inner_speech,,#hanswurst,114.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
271,271,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Odoardo aus dem Haus, und die Vorige.",0,37,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
295,295,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Anselmo in altväterischer Kleidung, und die Vorigen.",0,52,stage_direction,1,10,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
298,298,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,dem Anselmo in die Rede fallend.,0,32,stage_direction,1,10,speech_part,,#odoardo,130.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
303,303,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Angela.,0,10,stage_direction,1,10,inner_speech,,#anselmo,131.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
306,306,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,vor sich.,0,9,stage_direction,1,10,speech_part,,#angela,132.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
313,313,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,bey Seite.,0,10,stage_direction,1,10,speech_part,,#angela,136.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
315,315,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Angela.,0,10,stage_direction,1,10,speech_part,,#anselmo,137.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
320,320,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Colombina.,0,13,stage_direction,1,10,speech_part,,#angela,139.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
322,322,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Colombina.,0,13,stage_direction,1,10,speech_part,,#anselmo,140.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
326,326,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Anselmo.,0,11,stage_direction,1,10,speech_part,,#colombina,141.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
335,335,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Anselmo lacht.,0,14,stage_direction,1,10,inner_speech,,#colombina,145.0,FEMALE,joy,positive,emotions of pleasure,_1730_1770,,,
339,339,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Angela.,0,10,stage_direction,1,10,inner_speech,,#anselmo,147.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
341,341,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Er hust recht
                stark.",0,36,stage_direction,1,10,inner_speech,,#anselmo,147.0,MALE,suffering,negative,emotions of suffering and empathy,_1730_1770,,,
342,342,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Anselmo.,0,11,stage_direction,1,10,speech_part,,#colombina,148.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
344,344,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Colombina.,0,13,stage_direction,1,10,speech_part,,#odoardo,149.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
349,349,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Colombina.,0,13,stage_direction,1,10,speech_part,,#odoardo,153.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
351,351,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Anselmo.,0,11,stage_direction,1,10,inner_speech,,#odoardo,153.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
354,354,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Anselmo.,0,11,stage_direction,1,10,inner_speech,,#odoardo,153.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
356,356,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Anselmo führt die Angela auf eine lächerliche Art in das Haus ab und Colombina
              welche den Anselmo ausspottet auch in das Haus ab.",0,143,stage_direction,1,10,speech_part,,#odoardo,153.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
357,357,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Das Theater stellet einen Wald vor mitten in selben ein Wasser, an dessen Gestatt
            auf einer Seite ein großer, auf der andern Seite ein kleiner Felsen ist, es stehn auch
            einige Bäume an dem Gestatt zu Ende des Wassers sieht man einen Berg, und oben an dem
            Firmament die Sonne.",0,311,stage_direction,1,11,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
358,358,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Leander zwey Pistollen unter dem Rock tragend, und Hanswurst geht ihm betrübt, und
            verwunderend nach.",0,113,stage_direction,1,11,pre_speech,,,,,suffering,negative,emotions of suffering and empathy,_1730_1770,,,
370,370,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,ganz langsam.,0,13,stage_direction,1,11,speech_part,,#hanswurst,164.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
372,372,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,legt die Pistolen auf die Erd.,0,30,stage_direction,1,11,speech_part,,#leander,165.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
380,380,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er ziehet sich aus.,0,19,stage_direction,1,11,inner_speech,,#leander,167.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
381,381,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,vor sich.,0,9,stage_direction,1,11,speech_part,,#hanswurst,168.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
383,383,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Er ziehet sich auch aus.,0,24,stage_direction,1,11,inner_speech,,#hanswurst,168.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
384,384,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Leander legt des Hanswurst Röckel auf eine, und sein Kleid auf die andere Seite
              des Theaters, stellt den Hanswurst zu seinem Gewand, und giebt ihm eine Pistole in die
              Hand, Hanswurst macht dabey seine Lazzi, sodann stelt er sich zu seinem Kleid, und
              nihmt gleichfalls eine Pistole in die Hand.",0,335,stage_direction,1,11,speech_part,,#hanswurst,168.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
385,385,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Leander.,0,11,stage_direction,1,11,speech_part,,#hanswurst,169.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
389,389,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"legt die Pistole weg, und will sich wieder anziehen.",0,52,stage_direction,1,11,speech_part,,#hanswurst,171.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
407,407,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,voller Angst.,0,13,stage_direction,1,11,speech_part,,#hanswurst,181.0,MALE,fear,negative,emotions of anxiety,_1730_1770,,,
413,413,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"stellt sich in furchtsame Poßitur, und fangt an eines zu zehlen.",0,64,stage_direction,1,11,speech_part,,#hanswurst,183.0,MALE,fear,negative,emotions of anxiety,_1730_1770,,,
425,425,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Hanswurst.,0,13,stage_direction,1,11,speech_part,,#leander,192.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
427,427,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,in seiner lächerlichen Poßitur fängt immer an 1.,0,48,stage_direction,1,11,speech_part,,#hanswurst,193.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
428,428,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"2. zu zehlen, doch anstatt auf
              3. zu kommen fängt er allzeit wieder 1. an, oder zehlt 4.",49,151,stage_direction,1,11,speech_part,,#hanswurst,193.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
429,429,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,5. statt 3.,152,163,stage_direction,1,11,speech_part,,#hanswurst,193.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
431,431,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,fängt an zu zittern.,0,20,stage_direction,1,11,speech_part,,#hanswurst,195.0,MALE,fear,negative,emotions of anxiety,_1730_1770,,,
436,436,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Er schießt
                los.",0,31,stage_direction,1,11,inner_speech,,#leander,196.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
437,437,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Mägera eine Zauberin, welche aus dem Cabinet heraus kömmt, und die Vorige.",0,74,stage_direction,1,12,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
438,438,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Leander.,0,11,stage_direction,1,12,speech_part,,#maegera,197.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
442,442,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,läßt die Pistollen fallen.,0,26,stage_direction,1,12,speech_part,,#leander,198.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
447,447,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,auf der Erde.,0,13,stage_direction,1,12,speech_part,,#hanswurst,200.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
449,449,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Hanswurst.,0,13,stage_direction,1,12,speech_part,,#maegera,201.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
453,453,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"steht forchtsam auf, und nachdem er sich hin und herangesehen.",0,62,stage_direction,1,12,speech_part,,#hanswurst,204.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
467,467,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Leander und Hanswurst.,0,25,stage_direction,1,12,speech_part,,#maegera,211.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
506,506,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Hanswurst und Leander.,0,25,stage_direction,1,12,speech_part,,#maegera,211.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
512,512,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Mägera.,0,10,stage_direction,1,12,speech_part,,#hanswurst,215.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
517,517,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Zu Hanswurst.,0,13,stage_direction,1,12,inner_speech,,#leander,217.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
522,522,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Also mit Mägera und Hanswurst in die Zauberhöhle ab,
                die sich wider zuschließet.",0,96,stage_direction,1,12,inner_speech,,#leander,220.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
523,523,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Wald mit Odoardo Haus.,0,22,stage_direction,2,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
524,524,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Angela und Colombina, die von der andern Seite der Angela entgegen kömmt.",0,73,stage_direction,2,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
540,540,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Hanswurst als Leichenbitter mit einem schwarzen Mantel, und langen Flor, und die
            Vorige.",0,100,stage_direction,2,2,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
541,541,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,sehr ernsthaft sich umsehend.,0,29,stage_direction,2,2,speech_part,,#hanswurst,227.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
543,543,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Angela.,0,10,stage_direction,2,2,speech_part,,#colombina,228.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
545,545,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Colombina.,0,13,stage_direction,2,2,speech_part,,#angela,229.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
548,548,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Hanswurst.,0,13,stage_direction,2,2,speech_part,,#colombina,230.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
557,557,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Er nihmt eine ernsthafte Stellung an sich, und fängt
                an auf folgende Art aus einem Zetul zu peroriren.",0,118,stage_direction,2,2,inner_speech,,#hanswurst,235.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
565,565,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Fangen beyde erschrecklich zu schreyen
              an.",0,56,stage_direction,2,2,inner_speech,,#angela,237.0,FEMALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
566,566,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Odoardo, Anselmo, Riepel, laufen eilends über diesen Lärmen aus dem Haus, und die
            Vorigen.",0,102,stage_direction,2,3,pre_speech,,,,,no_annotation,no_annotation,no_annotation,_1730_1770,,,
571,571,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Angela und Colombina schreyen immerfort.,0,40,stage_direction,2,3,speech_part,,#anselmo,239.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
575,575,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Angela.,0,10,stage_direction,2,3,speech_part,,#anselmo,241.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
578,578,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,den Hanswurst sehend.,0,21,stage_direction,2,3,speech_part,,#odoardo,242.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
581,581,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,zu Odoardo.,0,11,stage_direction,2,3,speech_part,,#hanswurst,243.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
584,584,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,"Hanswurst in seiner Stellung wie zuvor, fängt an, wie oben aus dem Zetul zu
              lesen.",0,96,stage_direction,2,3,speech_part,,#odoardo,244.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
585,585,GerDracor/hafner-maegera-die-foerchterliche-hexe.xml,Angela und Colombina schreyen wie zuvor.,97,137,stage_direction,2,3,speech_part,,#odoardo,244.0,MALE,no_annotation,no_annotation,no_annotation,_1730_1770,,,
