,id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender,connected_emotion_id
10,CATMA_06102757-05C0-42C9-BDFC-C2CDD7D8BD4F_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,mir,1,5351,5354,LS,MALE,CATMA_4E03F55D-2795-445D-8119-50D1750B2CA0_0
11,CATMA_4E03F55D-2795-445D-8119-50D1750B2CA0_0,Gemeintes_Target:_Nicht-Charakter,target,Nicht-Charakter,implicit,Zustand,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Hui da! Betet! Du hast den Witz davon. Die rohe Kraftbrühen der Natur sind Ihro
              Gnaden zartem Makronenmagen noch zu hart. – Er muß sie erst in der höllischen
              Pestilenzküche der Bellatristen künstlich aufkochen lassen. Ins Feuer mit dem Quark.
              Da saugt mir das Mädel – weiß Gott was als für? – überhimmlische Alfanzereien ein, das
              läuft dann wie spanische Mucken ins Blut und wirft mir die Handvoll Christentum noch
              gar auseinander, die der Vater mit knapper Not so so noch zusammenhielt. Ins Feuer sag
              ich. Das Mädel setzt sich alles Teufelsgezeug in den Kopf; über all dem Herumschwänzen
              in der Schlaraffenwelt findets zuletzt seine  Heimat nicht mehr, vergißt,
              schämt sich, daß sein Vater Miller der Geiger ist, und verschlägt mir am End einen
              wackern ehrbaren Schwiegersohn, der sich so warm in meine Kundschaft hinein, gesetzt
              hätte – – Nein! Gott verdamm mich.",163,5057,6062,LS,Nicht-Charakter,
12,CATMA_06102757-05C0-42C9-BDFC-C2CDD7D8BD4F_3,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,ich,1,6176,6179,LS,MALE,CATMA_4E03F55D-2795-445D-8119-50D1750B2CA0_1
13,CATMA_4E03F55D-2795-445D-8119-50D1750B2CA0_1,Gemeintes_Target:_Nicht-Charakter,target,Nicht-Charakter,implicit,Zustand,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Gleich muß
              die Pastete auf den Herd, und dem Major – ja ja dem Major will ich weisen, wo Meister
              Zimmermann das Loch gemacht hat. Er will fort.
",32,6088,6260,LS,Nicht-Charakter,
14,CATMA_4D1FF033-4C4E-494C-9F98-81E0A39707D1,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,millerin,single,positiv,positiv,Emotionen der Freude,Freude,"Sei artig, Miller. Wie manchen schönen Groschen haben uns nur die Präsenter – –
",16,6268,6348,LS,FEMALE,
15,CATMA_203CB987-D4A7-4765-8EE2-A03C1E654FBA_0,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,dich,1,6434,6438,LS,FEMALE,CATMA_CA253594-D61E-4D81-B785-855388336AE2
16,CATMA_7D59E982-7629-4AB3-B39B-C14B583085FC_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,ich,1,6478,6481,LS,MALE,CATMA_CA253594-D61E-4D81-B785-855388336AE2
17,CATMA_D721FB84-BF73-4E62-BF09-33AD7E0D6819,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,du,1,7151,7153,LS,MALE,CATMA_000A90DE-549E-4552-A74B-CB2C8E1E1E53
18,CATMA_000A90DE-549E-4552-A74B-CB2C8E1E1E53,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Wie du doch den Augenblick in Feuer und
              Flammen stehst! ",11,7147,7217,LS,FEMALE,
19,CATMA_AAFA6557-4C5B-482C-A215-B306E6233AAE_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,mir,1,7465,7468,LS,MALE,CATMA_55669B7B-0B07-4CFC-99FB-E627DB294215
20,CATMA_10391A0E-6B29-43CA-8BDD-D07FA6322BD1,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"ärgerlich, stößt sie mit dem Ellnbogen.
",8,8821,8861,LS,MALE,
21,CATMA_10391A0E-6B29-43CA-8BDD-D07FA6322BD1,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,impliziter Autor,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"ärgerlich, stößt sie mit dem Ellnbogen.
",8,8821,8861,LS,impliziter Autor,
22,CATMA_D4777105-5F75-4DEE-A633-C4BB54B49E2E,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Weib,1,8861,8865,LS,FEMALE,CATMA_51F0E57E-411A-4E17-BBEF-910EE09DE4DE
23,CATMA_51F0E57E-411A-4E17-BBEF-910EE09DE4DE,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Weib!
",2,8861,8867,LS,MALE,
24,CATMA_0B48FA98-F164-4258-8CFC-54D0A4999F6E_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,wurm,single,positiv,positiv,Emotionen der Zuneigung,Liebe,mich,1,9016,9020,LS,MALE,CATMA_43006F47-0D70-48E8-A2A6-528EDDEA17AE
25,CATMA_DC1337CB-3305-4AA8-9C15-C55D5D6DA685_0,Explizites_Target:_Charakter,target,Charakter,explicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Frau,1,9074,9078,LS,FEMALE,CATMA_43006F47-0D70-48E8-A2A6-528EDDEA17AE
26,CATMA_EFF5CC61-2282-4ADB-90E2-F97C5B21274C,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Weib,1,9223,9227,LS,FEMALE,CATMA_801B9847-4707-443F-9BC1-004EFDB6F6B1
27,CATMA_801B9847-4707-443F-9BC1-004EFDB6F6B1,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Weib!
",2,9223,9229,LS,MALE,
28,CATMA_384759CA-6009-41E2-8AE4-1621AF2D2765,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,voll Zorn seine Frau vor den Hintern stoßend.,9,9506,9551,LS,MALE,
29,CATMA_384759CA-6009-41E2-8AE4-1621AF2D2765,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,impliziter Autor,single,negativ,negativ,Emotionen der Ablehnung,Ärger,voll Zorn seine Frau vor den Hintern stoßend.,9,9506,9551,LS,impliziter Autor,
30,CATMA_DC9B1FD7-9045-4636-BAE8-70296091331C,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Weib,1,9552,9556,LS,FEMALE,CATMA_38F5E734-75A9-46FA-B392-72924FDBEB84
31,CATMA_C6F8C928-1021-40CE-A0D8-326D3FD7E114,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,positiv,positiv,Emotionen der Freude,Freude,man,1,9629,9632,LS,unpersönlich,CATMA_87F6A68A-A8C4-4B97-95C3-7C6F8A3A8A2C
32,CATMA_06B2D6E4-5FE7-40EF-B9C1-22B8624848AA,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,wurm,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"rückt unruhig im Sessel, kratzt hinter den Ohren und zupft an Manschetten  und Jabot.
",16,9776,9862,LS,MALE,
33,CATMA_06B2D6E4-5FE7-40EF-B9C1-22B8624848AA,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,impliziter Autor,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"rückt unruhig im Sessel, kratzt hinter den Ohren und zupft an Manschetten  und Jabot.
",16,9776,9862,LS,impliziter Autor,
34,CATMA_1D4F7A45-272F-4BF0-860C-E3ED20D916FC,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,wurm,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Merken? Nicht doch – O ja – wie meinen sie denn?,13,9862,9910,LS,MALE,
35,CATMA_06D42D0A-7AEE-4983-A873-FB8F9B5283C7_0,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Weib,1,10170,10174,LS,FEMALE,CATMA_D833CF7F-1CA0-42AB-AF53-DFBA144984D5
36,CATMA_D833CF7F-1CA0-42AB-AF53-DFBA144984D5,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"leiben sitzen! Bleiben sitzen, Herr Sekretarius! Das Weib ist eine alberne Gans. Wo
              soll eine gnädige Madam herkommen? Was für ein Esel streckt sein Langohr aus diesem
              Geschwätze?
",34,10117,10325,LS,MALE,
37,CATMA_BEE5DB92-8679-4441-A97D-142603FC50D4_0,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,du,1,10506,10508,LS,FEMALE,CATMA_3E5184C9-5FA8-49C9-851C-8EB23F326569
38,CATMA_D3C5D090-B5CB-4B42-BDCF-04193BFA92A8_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,mich,1,10736,10740,LS,MALE,CATMA_3E5184C9-5FA8-49C9-851C-8EB23F326569
39,CATMA_BB893BDC-5908-4270-BB50-E78412EDCCAA,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,du,1,11554,11556,LS,FEMALE,CATMA_87A96CEB-5B6A-432E-9336-A9FEBB73B503
40,CATMA_4750A0A9-45F5-41C6-A413-36E09315386F,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,ich,1,11572,11575,LS,MALE,CATMA_87A96CEB-5B6A-432E-9336-A9FEBB73B503
41,CATMA_AAE36203-191D-4594-AFB5-3AEE354A03A2_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Mädel,1,12054,12059,LS,FEMALE,CATMA_F83D2605-EE16-411C-86D1-C78FF6278DEC
42,CATMA_F83D2605-EE16-411C-86D1-C78FF6278DEC,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,miller,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"Das Mädel muß mit Ihnen leben – ich nicht – warum soll ich ihr einen Mann, den
              sie nicht schmecken kann, aus purem klarem Eigensinn an den Hals werfen? – Daß mich
              der böse Feind in meinen eisgrauen Tagen noch  wie sein Wildbret
              herumhetze – daß ichs in jedem Glas Wein zu saufen – in jeder Suppe zu fressen kriege:
              Du bist der Spitzbube, der sein Kind ruiniert hat!
",75,12050,12472,LS,MALE,
43,CATMA_0E114A1A-F23C-4FFD-A0B1-03BCBC378F81_0,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,du,1,12674,12676,LS,FEMALE,CATMA_9218FFCD-89B2-4A93-94B5-C83B915C8662
44,CATMA_9218FFCD-89B2-4A93-94B5-C83B915C8662,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Willst du Arm und Bein entzwei haben, Wettermaul?
",10,12667,12717,LS,MALE,
45,CATMA_94878777-4755-4241-87F8-A448187C4730_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,ich,1,12910,12913,LS,MALE,CATMA_E051438D-771C-482D-B87D-77DDF1D4B7B5
46,CATMA_7D827499-0204-48BA-809F-658D5359BDA8_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,mirs,1,14615,14619,LS,MALE,CATMA_2C7B399E-93D8-4667-BE00-BB92EE6526E2
47,CATMA_B6AA2CC4-B240-4A03-AEF2-E19EDD60D7D1_0,Explizites_Target:_Charakter,target,Charakter,explicit,wurm,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Federnfuchser,1,14675,14688,LS,MALE,CATMA_2C7B399E-93D8-4667-BE00-BB92EE6526E2
48,CATMA_9A0AE0C9-9689-41A7-A731-D1C93970920C,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,"spuckt aus, giftig.
",5,15243,15263,LS,FEMALE,
49,CATMA_9A0AE0C9-9689-41A7-A731-D1C93970920C,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,impliziter Autor,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,"spuckt aus, giftig.
",5,15243,15263,LS,impliziter Autor,
50,CATMA_EC3F67A4-9393-4AA6-9C5C-224D4E96F252,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Der Hund! ,3,15263,15273,LS,FEMALE,
51,CATMA_8A8AE86A-C649-4817-A67C-02989586934A_0,Explizites_Target:_Charakter,target,Charakter,explicit,millerin,single,negativ,negativ,Emotionen der Ablehnung,Ärger,Du,1,15323,15325,LS,FEMALE,CATMA_BA968164-B7BC-4E2B-BAEE-19C13A32FD3D
52,CATMA_FCF6D933-4357-49C0-8494-2D0BD422194D_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen der Ablehnung,Ärger,mich,1,15380,15384,LS,MALE,CATMA_BA968164-B7BC-4E2B-BAEE-19C13A32FD3D
53,CATMA_2FF30E25-BA88-4147-907B-99B504167E06,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,positiv,positiv,Emotionen der Freude,Freude,mich,1,16253,16257,LS,MALE,CATMA_60B753F0-67CF-4820-A6D1-2369BFE1B8BD
54,CATMA_C4B200D3-99E7-4055-9D16-98966E21C8EB_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,negativ,negativ,Emotionen des Leids,Leid,ich,1,16375,16378,LS,FEMALE,CATMA_C99A33D4-0D4D-441C-8D65-8BB27FC8A79C
55,CATMA_4B169501-0BEA-4AC0-80D7-AE351EAD2D14,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen des Leids,Leid,Ich,1,16613,16616,LS,MALE,CATMA_6174EE0F-2904-4F09-A035-64FF12C9D598
56,CATMA_A36FB1EF-A099-42B8-B2A8-504A6BD5D9FC_1,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,negativ,negativ,Emotionen des Leids,Leid,Ich,1,16844,16847,LS,FEMALE,CATMA_9AEF78A2-C76C-4338-9294-9438BEF9AF42
57,CATMA_801EB612-5D26-4F48-9C78-D43602A7C52A,Explizite_Source:_Experiencer,source,Experiencer,explicit,,single,positiv,positiv,Emotionen der Freude,Freude,mich,1,17210,17214,LS,Nicht-Charakter,CATMA_4F575D9B-0208-4CA3-93E0-3A196A96342C
58,CATMA_DDB1981E-CCEE-4205-A997-ABE4013181DB,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,positiv,positiv,Emotionen der Freude,Freude,Gott,1,17258,17262,LS,unpersönlich,CATMA_4F575D9B-0208-4CA3-93E0-3A196A96342C
59,CATMA_4F575D9B-0208-4CA3-93E0-3A196A96342C,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,luise,single,positiv,positiv,Emotionen der Freude,Freude,"Wenn meine Freude
              über sein Meisterstück mich ihn selbst übersehen macht, Vater, muß das Gott nicht
              ergötzen?
",20,17155,17293,LS,FEMALE,
60,CATMA_801EB612-5D26-4F48-9C78-D43602A7C52A,Explizite_Source:_Experiencer,source,Experiencer,explicit,,single,positiv,positiv,Emotionen der Freude,Freude,mich,1,17210,17214,LS,Nicht-Charakter,CATMA_1E637C33-1E9B-438A-A777-8F75CA71D23E
61,CATMA_DDB1981E-CCEE-4205-A997-ABE4013181DB,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,positiv,positiv,Emotionen der Freude,Freude,Gott,1,17258,17262,LS,unpersönlich,CATMA_1E637C33-1E9B-438A-A777-8F75CA71D23E
62,CATMA_9B102DE8-8AB2-4D34-9F7C-88733C2A6734,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,miller,single,negativ,negativ,Emotionen des Leids,Leid,Da haben wirs! Das ist die Frucht von dem gottlosen Lesen.,13,17334,17392,LS,MALE,
63,CATMA_A5D7275C-0F70-4670-B2DA-AC5D5FB82C02_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,ich,1,17508,17511,LS,FEMALE,CATMA_84E3BA36-488F-4DDB-A3AE-4F8EBA78D9B8_0
64,CATMA_A5D7275C-0F70-4670-B2DA-AC5D5FB82C02_1,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,mir,1,17661,17664,LS,FEMALE,CATMA_84E3BA36-488F-4DDB-A3AE-4F8EBA78D9B8_1
65,CATMA_7857F46E-D76F-43F4-9CF4-B9D2D08B7C8B,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,luise,single,negativ,negativ,Emotionen der Angst,Angst,"Was sagt Er da? Was? – Nein! er meint es anders, der gute Vater. ",19,18405,18470,LS,FEMALE,
66,CATMA_47CF62D9-ECDB-4668-B8C6-1942F90AC46F_0,Explizites_Target:_Charakter,target,Charakter,explicit,ferdinand,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Ferdinand,1,18510,18519,LS,MALE,CATMA_49C33948-35ED-4D71-8D16-2439E576CD88_0
67,CATMA_169D334F-2D60-412A-A5F9-BEA793540F68_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,mir,1,18530,18533,LS,FEMALE,CATMA_49C33948-35ED-4D71-8D16-2439E576CD88_0
68,CATMA_47CF62D9-ECDB-4668-B8C6-1942F90AC46F_1,Explizites_Target:_Charakter,target,Charakter,explicit,ferdinand,single,positiv,positiv,Emotionen der Zuneigung,Liebe,ihn,1,18632,18635,LS,MALE,CATMA_49C33948-35ED-4D71-8D16-2439E576CD88_1
69,CATMA_169D334F-2D60-412A-A5F9-BEA793540F68_2,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,ich,1,18628,18631,LS,FEMALE,CATMA_49C33948-35ED-4D71-8D16-2439E576CD88_1
70,CATMA_47CF62D9-ECDB-4668-B8C6-1942F90AC46F_2,Explizites_Target:_Charakter,target,Charakter,explicit,ferdinand,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Er,1,18801,18803,LS,MALE,CATMA_49C33948-35ED-4D71-8D16-2439E576CD88_2
71,CATMA_169D334F-2D60-412A-A5F9-BEA793540F68_3,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,mir,1,18685,18688,LS,FEMALE,CATMA_49C33948-35ED-4D71-8D16-2439E576CD88_2
72,CATMA_C42BA9CB-D675-4B4A-B49A-F17BA5786F9A,Explizite_Source:_Experiencer,source,Experiencer,explicit,miller,single,negativ,negativ,Emotionen des Leids,Leid,ich,1,19528,19531,LS,MALE,CATMA_3F92EFE1-BFB0-44E4-995D-6B57B3F5325C
73,CATMA_E8D4D908-E173-4C87-B244-D309E90A94B1_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,negativ,negativ,Emotionen des Leids,Leid,ich,1,19606,19609,LS,FEMALE,CATMA_3387AF3D-C89A-47BA-80AA-EABA718E3604
74,CATMA_B1C37F9D-052E-42CC-BF34-15E48FB0C79F,Explizite_Source:_Experiencer,source,Experiencer,explicit,millerin,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,ich,1,20495,20498,LS,FEMALE,CATMA_2796D5C1-3FCA-46B2-A576-4EA84E27F114
75,CATMA_EC113688-4155-4A88-BA5E-E736CD75D54E,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,luise,single,negativ,negativ,Emotionen des Leids,Leid,"Bleib Sie doch, Mutter!
",6,20538,20562,LS,FEMALE,
76,CATMA_6207D823-A774-4AE8-B72E-2BD5F8C5DF2E,Explizites_Target:_Charakter,target,Charakter,explicit,ferdinand,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Du,1,21003,21005,LS,MALE,CATMA_6A1E2F2F-A4C1-43BB-84D1-9D1F1BE0DCF2
77,CATMA_6A1E2F2F-A4C1-43BB-84D1-9D1F1BE0DCF2,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"Es ist nichts. Nichts. Du bist ja da. Es ist vorüber.
",15,20980,21034,LS,FEMALE,
78,CATMA_E211E7DC-E16D-4783-B1F3-057CFB1D4281,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,ferdinand,single,positiv,positiv,Emotionen der Zuneigung,Liebe,mich,1,21096,21100,LS,MALE,CATMA_066EAE5F-65AF-42CE-BB96-18813D10D4A3
79,CATMA_671E180A-39D8-4C22-BD5A-9B0FEBACAC57,Explizites_Target:_Charakter,target,Charakter,explicit,ferdinand,single,positiv,positiv,Emotionen der Zuneigung,Liebe,mich,1,21096,21100,LS,MALE,CATMA_066EAE5F-65AF-42CE-BB96-18813D10D4A3
80,CATMA_FC67E2D7-235D-422F-B041-D62A943BC562,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Luise,1,21107,21112,LS,FEMALE,CATMA_066EAE5F-65AF-42CE-BB96-18813D10D4A3
81,CATMA_E6F9EC25-7EEA-4261-801E-6625EF226E6E,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,ferdinand,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"Mein Herz ist das gestrige, ists auch das  deine noch? ",12,21119,21174,LS,MALE,
82,CATMA_E6F9EC25-7EEA-4261-801E-6625EF226E6E,Gemeintes_Target:_Charakter,target,Charakter,implicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,"Mein Herz ist das gestrige, ists auch das  deine noch? ",12,21119,21174,LS,FEMALE,
83,CATMA_8DFB5AE4-6CA1-4DDA-A228-ECFBC91F302B_0,Explizites_Target:_Charakter,target,Charakter,explicit,luise,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Mädchen,1,21985,21992,LS,FEMALE,CATMA_7133ADF9-1301-49F9-80A1-D74FE6E34FAD
84,CATMA_BCC7E945-8851-4CAD-9B97-D12599464EF8_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,ferdinand,single,positiv,positiv,Emotionen der Zuneigung,Liebe,ich,1,22161,22164,LS,MALE,CATMA_7133ADF9-1301-49F9-80A1-D74FE6E34FAD
85,CATMA_54910FCE-BC9A-4A34-8F1E-F0BD0DC5BF18_0,Explizite_Source:_Experiencer,source,Experiencer,explicit,luise,single,negativ,negativ,Emotionen der Angst,Verzweiflung,mich,1,22653,22657,LS,FEMALE,CATMA_72E81F6D-44A5-45F1-9CA5-89A08D99A01D_0
