,Unnamed: 0.1,Unnamed: 0.1.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
25,3206,3206,GerDracor/schiller-kabale-und-liebe.xml,in der fürchterlichsten Angst.,0,30,stage_direction,5,8,speech_part,,#miller,912.0,MALE,fear,tragedy,,1784.0,negative,emotions of anxiety
26,3207,3207,GerDracor/schiller-kabale-und-liebe.xml,Mein Kind!,0,10,character_speech,5,8,,MILLER,#miller,912.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
27,3208,3208,GerDracor/schiller-kabale-und-liebe.xml,Mein Kind!,11,21,character_speech,5,8,,MILLER,#miller,912.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
28,3209,3209,GerDracor/schiller-kabale-und-liebe.xml,"– Gift – Gift, schreit man, sei hier genommen worden – Meine
              Tochter!",22,105,character_speech,5,8,,MILLER,#miller,912.0,MALE,fear,tragedy,,1784.0,negative,emotions of anxiety
31,3212,3212,GerDracor/schiller-kabale-und-liebe.xml,Ich bin unschuldig – Danke diesem hier.,0,39,character_speech,5,8,,FERDINAND,#ferdinand,913.0,MALE,despair,tragedy,,1784.0,negative,emotions of anxiety
32,3213,3213,GerDracor/schiller-kabale-und-liebe.xml,fällt an ihr zu Boden.,0,22,stage_direction,5,8,speech_part,,#miller,914.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
33,3214,3214,GerDracor/schiller-kabale-und-liebe.xml,O Jesus!,0,8,character_speech,5,8,,MILLER,#miller,914.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
34,3215,3215,GerDracor/schiller-kabale-und-liebe.xml,"In wenig Worten, Vater – sie fangen an, mir kostbar zu werden – Ich bin bübisch um
              mein Leben bestohlen, bestohlen durch",0,134,character_speech,5,8,,FERDINAND.,#ferdinand,915.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
38,3219,3219,GerDracor/schiller-kabale-und-liebe.xml," Hier, Barbar!",0,14,character_speech,5,8,,FERDINAND.,#ferdinand,915.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
39,3220,3220,GerDracor/schiller-kabale-und-liebe.xml,"Weide dich an
              der entsetzlichen Frucht deines Witzes, auf dieses Gesicht ist mit Verzerrungen dein
              Name geschrieben, und die Würgengel werden ihn lesen – Eine Gestalt wie diese ziehe
              den Vorhang von deinem Bette, wenn du schläfst, und gebe dir ihre eiskalte Hand – Eine
              Gestalt wie diese stehe vor deiner Seele, wenn du stirbst, und dränge dein letztes
              Gebet weg.",15,448,character_speech,5,8,,FERDINAND.,#ferdinand,915.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
42,3223,3223,GerDracor/schiller-kabale-und-liebe.xml,eine schreckliche Bewegung des Arms gegen den Himmel.,0,53,stage_direction,5,8,speech_part,,#praesident,916.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
43,3224,3224,GerDracor/schiller-kabale-und-liebe.xml,"Von mir nicht, von mir nicht, Richter der Welt, fodre diese Seelen von",0,70,character_speech,5,8,,PRÄSIDENT,#praesident,916.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
45,3226,3226,GerDracor/schiller-kabale-und-liebe.xml,auffahrend.,0,11,stage_direction,5,8,speech_part,,#wurm,917.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
46,3227,3227,GerDracor/schiller-kabale-und-liebe.xml,Von mir?,0,8,character_speech,5,8,,WURM,#wurm,917.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
47,3228,3228,GerDracor/schiller-kabale-und-liebe.xml,"Verfluchter, von dir!",0,21,character_speech,5,8,,PRÄSIDENT.,#praesident,918.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
48,3229,3229,GerDracor/schiller-kabale-und-liebe.xml,"Von dir, Satan!",22,37,character_speech,5,8,,PRÄSIDENT.,#praesident,918.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
50,3231,3231,GerDracor/schiller-kabale-und-liebe.xml,Über mich?,0,10,character_speech,5,8,,WURM.,#wurm,919.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
51,3232,3232,GerDracor/schiller-kabale-und-liebe.xml,Er fängt gräßlich an zu lachen.,0,31,stage_direction,5,8,inner_speech,,#wurm,919.0,MALE,Schadenfreude,tragedy,,1784.0,positive,emotions of pleasure
52,3233,3233,GerDracor/schiller-kabale-und-liebe.xml, Lustig!,0,8,character_speech,5,8,,WURM.,#wurm,919.0,MALE,joy,tragedy,,1784.0,positive,emotions of pleasure
53,3234,3234,GerDracor/schiller-kabale-und-liebe.xml,Lustig!,9,16,character_speech,5,8,,WURM.,#wurm,919.0,MALE,joy,tragedy,,1784.0,positive,emotions of pleasure
55,3236,3236,GerDracor/schiller-kabale-und-liebe.xml," weiß ich doch nun auch, auf was Art sich die Teufel danken.",0,60,character_speech,5,8,,WURM.,#wurm,919.0,MALE,joy,tragedy,,1784.0,positive,emotions of pleasure
56,3237,3237,GerDracor/schiller-kabale-und-liebe.xml,"– Über mich,
              dummer Bösewicht?",61,105,character_speech,5,8,,WURM.,#wurm,919.0,MALE,anger,tragedy,,1784.0,negative,emotions of rejection
60,3241,3241,GerDracor/schiller-kabale-und-liebe.xml,"Du wirst doch nicht, Rasender?",0,30,character_speech,5,8,,PRÄSIDENT,#praesident,920.0,MALE,anger,tragedy,,1784.0,negative,emotions of rejection
63,3244,3244,GerDracor/schiller-kabale-und-liebe.xml,"Ich werde – Rasend bin ich, das ist wahr – das ist dein Werk – so
              will ich auch jetzt handeln wie ein Rasender – Arm in Arm mit",20,161,character_speech,5,8,,WURM,#wurm,921.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
65,3246,3246,GerDracor/schiller-kabale-und-liebe.xml,"der die ganze Zeit über, den Kopf in Luisens Schoß gesunken, in stummem Schmerze
              gelegen hat, steht schnell auf und wirft dem Major die Börse vor die Füße.",0,169,stage_direction,5,8,speech_part,,#miller,922.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
66,3247,3247,GerDracor/schiller-kabale-und-liebe.xml,Giftmischer!,0,12,character_speech,5,8,,MILLER,#miller,922.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
67,3248,3248,GerDracor/schiller-kabale-und-liebe.xml,Behalt dein verfluchtes Gold!,13,42,character_speech,5,8,,MILLER,#miller,922.0,MALE,abhorrence,tragedy,,1784.0,negative,emotions of rejection
69,3250,3250,GerDracor/schiller-kabale-und-liebe.xml,Er stürzt aus dem Zimmer.,0,25,stage_direction,5,8,inner_speech,,#miller,922.0,MALE,fear,tragedy,,1784.0,negative,emotions of anxiety
70,3251,3251,GerDracor/schiller-kabale-und-liebe.xml,mit brechender Stimme.,0,22,stage_direction,5,8,speech_part,,#ferdinand,923.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
72,3253,3253,GerDracor/schiller-kabale-und-liebe.xml,"Er verzweifelt – Das Geld hier soll man ihm retten – Es ist meine
              fürchterliche Erkenntlichkeit.",15,125,character_speech,5,8,,FERDINAND,#ferdinand,923.0,MALE,despair,tragedy,,1784.0,negative,emotions of anxiety
73,3254,3254,GerDracor/schiller-kabale-und-liebe.xml,"Luise – Luise – Ich komme – – Lebt wohl – – Laßt mich
              an diesem Altar verscheiden –",126,223,character_speech,5,8,,FERDINAND,#ferdinand,923.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
74,3255,3255,GerDracor/schiller-kabale-und-liebe.xml,"aus einer dumpfen Betäubung, zu seinem Sohn.",0,44,stage_direction,5,8,speech_part,,#praesident,924.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
75,3256,3256,GerDracor/schiller-kabale-und-liebe.xml,Sohn Ferdinand!,0,15,character_speech,5,8,,PRÄSIDENT,#praesident,924.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
76,3257,3257,GerDracor/schiller-kabale-und-liebe.xml,Soll kein Blick mehr auf einen zerschmetterten Vater fallen?,16,76,character_speech,5,8,,PRÄSIDENT,#praesident,924.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
79,3260,3260,GerDracor/schiller-kabale-und-liebe.xml,in der schrecklichsten Qual vor ihm niederfallend.,0,50,stage_direction,5,8,speech_part,,#praesident,926.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
80,3261,3261,GerDracor/schiller-kabale-und-liebe.xml,"Geschöpf und Schöpfer verlassen mich – Soll kein Blick mehr zu meiner letzten
              Erquickung fallen?",0,110,character_speech,5,8,,PRÄSIDENT,#praesident,926.0,MALE,suffering,tragedy,,1784.0,negative,emotions of suffering and empathy
82,3263,3263,GerDracor/schiller-kabale-und-liebe.xml,steht schnell auf.,0,18,stage_direction,5,8,speech_part,,#praesident,928.0,MALE,being moved,tragedy,,1784.0,being moved,being moved
83,3264,3264,GerDracor/schiller-kabale-und-liebe.xml,Er vergab mir!,0,14,character_speech,5,8,,PRÄSIDENT,#praesident,928.0,MALE,joy,tragedy,,1784.0,positive,emotions of pleasure
4,627,627,GerDracor/lessing-philotas.xml,"Aber höre, wie edel sich der Soldat
            weigerte.",144,201,character_speech,1,8,,STRATO.,#strato,136.0,MALE,"admiration, reverence",tragedy,,,positive,emotions of affection
8,631,631,GerDracor/lessing-philotas.xml,"Bei den Göttern, sie war keine von meinen geringsten!",402,455,character_speech,1,8,,STRATO.,#strato,136.0,MALE,love,tragedy,,,positive,emotions of affection
9,632,632,GerDracor/lessing-philotas.xml,"Der Prinz ist ein
            kleiner Dämon.",456,500,character_speech,1,8,,STRATO.,#strato,136.0,MALE,abhorrence,tragedy,,,negative,emotions of rejection
10,633,633,GerDracor/lessing-philotas.xml,"Vielleicht aber ist es euch nur um den kostbaren Heft zu tun –« Und
            hiermit, ehe ich es verhindern konnte, hatte seine starke Hand den Heft abgewunden, und
            warf mir ihn verächtlich zu Füßen – »Da ist er!",501,728,character_speech,1,8,,STRATO.,#strato,136.0,MALE,abhorrence,tragedy,,,negative,emotions of rejection
12,635,635,GerDracor/lessing-philotas.xml,"Was kümmert mich euer
            Gold?«",743,783,character_speech,1,8,,STRATO.,#strato,136.0,MALE,anger,tragedy,,,negative,emotions of rejection
13,636,636,GerDracor/lessing-philotas.xml,"O Strato, mache mir den Mann wieder gut!",0,40,character_speech,1,8,,ARIDÄUS.,#aridaeus,137.0,MALE,compassion,tragedy,,,negative,emotions of suffering and empathy
23,646,646,GerDracor/lessing-philotas.xml," Habet Dank, ihr Götter!",0,24,character_speech,1,8,,PHILOTAS.,#philotas,140.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
34,657,657,GerDracor/lessing-philotas.xml,"Du zitterst, Prinz.",0,19,character_speech,1,8,,ARIDÄUS.,#aridaeus,144.0,MALE,fear,tragedy,,,negative,emotions of anxiety
35,658,658,GerDracor/lessing-philotas.xml,Vor Freuden!,0,12,character_speech,1,8,,PHILOTAS.,#philotas,145.0,MALE,joy,tragedy,,,positive,emotions of pleasure
40,663,663,GerDracor/lessing-philotas.xml,"Welch
            eine schöne Sache ist ein Schwerd, zum Spiele und zum Gebrauche!",178,260,character_speech,1,8,,PHILOTAS.,#philotas,145.0,MALE,joy,tragedy,,,positive,emotions of pleasure
44,667,667,GerDracor/lessing-philotas.xml,O der wunderbaren Vermischung von Kind und Held!,0,48,character_speech,1,8,,ARIDÄUS,#aridaeus,146.0,MALE,joy,tragedy,,,positive,emotions of pleasure
46,669,669,GerDracor/lessing-philotas.xml,Liebes Schwerd!,0,15,character_speech,1,8,,PHILOTAS,#philotas,147.0,MALE,love,tragedy,,,positive,emotions of affection
47,670,670,GerDracor/lessing-philotas.xml,Wer doch bald mit dir allein wäre!,16,50,character_speech,1,8,,PHILOTAS,#philotas,147.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
60,683,683,GerDracor/lessing-philotas.xml,So!,0,3,character_speech,1,8,,PHILOTAS.,#philotas,153.0,MALE,being moved,tragedy,,,being moved,being moved
63,686,686,GerDracor/lessing-philotas.xml,"Prinz, schone deines verwundeten Armes!",0,39,character_speech,1,8,,ARIDÄUS.,#aridaeus,154.0,MALE,compassion,tragedy,,,negative,emotions of suffering and empathy
64,687,687,GerDracor/lessing-philotas.xml,Du wirst dich erhitzen!,40,63,character_speech,1,8,,ARIDÄUS.,#aridaeus,154.0,MALE,anger,tragedy,,,negative,emotions of rejection
68,691,691,GerDracor/lessing-philotas.xml," nein, an meine
            Schande!",0,36,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
69,692,692,GerDracor/lessing-philotas.xml,Ich ward verwundet und gefangen!,37,69,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
71,694,694,GerDracor/lessing-philotas.xml,Aber ich will es nie wieder werden!,74,109,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,despair,tragedy,,,negative,emotions of anxiety
72,695,695,GerDracor/lessing-philotas.xml,"Bei
            diesem meinem Schwerde, ich will es nie wieder werden!",110,180,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
73,696,696,GerDracor/lessing-philotas.xml,"Nein, mein Vater, nein!",181,204,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,being moved,tragedy,,,being moved,being moved
74,697,697,GerDracor/lessing-philotas.xml,"Heut
            sparet dir ein Wunder das schimpfliche Lösegeld für deinen Sohn; künftig spar' es dir
            sein Tod!",205,329,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,anger,tragedy,,,negative,emotions of rejection
77,700,700,GerDracor/lessing-philotas.xml,"–
            Entsetzen!",403,427,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,being moved,tragedy,,,being moved,being moved
79,702,702,GerDracor/lessing-philotas.xml,Ich bin umringt!,442,458,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,joy,tragedy,,,positive,emotions of pleasure
82,705,705,GerDracor/lessing-philotas.xml,Freunde!,478,486,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,friendship,tragedy,,,positive,emotions of affection
83,706,706,GerDracor/lessing-philotas.xml,Brüder!,487,494,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,friendship,tragedy,,,positive,emotions of affection
86,709,709,GerDracor/lessing-philotas.xml,Überall Feinde?,530,545,character_speech,1,8,,PHILOTAS.,#philotas,155.0,MALE,fear,tragedy,,,negative,emotions of anxiety
93,716,716,GerDracor/lessing-philotas.xml,Um sich hauend.,0,15,stage_direction,1,8,inner_speech,,#philotas,155.0,MALE,anger,tragedy,,,negative,emotions of rejection
95,718,718,GerDracor/lessing-philotas.xml,was geschieht dir?,7,25,character_speech,1,8,,STRATO.,#strato,156.0,MALE,compassion,tragedy,,,negative,emotions of suffering and empathy
96,719,719,GerDracor/lessing-philotas.xml,Fasse dich!,26,37,character_speech,1,8,,STRATO.,#strato,156.0,MALE,being moved,tragedy,,,being moved,being moved
102,725,725,GerDracor/lessing-philotas.xml,Töte mich!,52,62,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,despair,tragedy,,,negative,emotions of anxiety
103,726,726,GerDracor/lessing-philotas.xml,"Nimm mich nicht
            gefangen!",63,100,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,anger,tragedy,,,negative,emotions of rejection
105,728,728,GerDracor/lessing-philotas.xml,"Und wenn ihr alle Stratos wäret, die ihr
            mich umringet!",139,206,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,abhorrence,tragedy,,,negative,emotions of rejection
106,729,729,GerDracor/lessing-philotas.xml,"Doch will ich mich gegen euch alle, gegen eine Welt will ich mich wehren!",207,280,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,abhorrence,tragedy,,,negative,emotions of rejection
109,732,732,GerDracor/lessing-philotas.xml,"Ihr wollt mich nicht töten, Grausame?",344,381,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
110,733,733,GerDracor/lessing-philotas.xml,Ihr wollt mich mit Gewalt lebendig?,394,429,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,being moved,tragedy,,,being moved,being moved
112,735,735,GerDracor/lessing-philotas.xml,Mich lebendig gefangen?,447,470,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,being moved,tragedy,,,being moved,being moved
113,736,736,GerDracor/lessing-philotas.xml,Mich?,471,476,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,being moved,tragedy,,,being moved,being moved
114,737,737,GerDracor/lessing-philotas.xml,"–
            Eher will ich dieses mein Schwerd, will ich – in diese meine Brust – eher –",477,566,character_speech,1,8,,PHILOTAS,#philotas,157.0,MALE,love,tragedy,,,positive,emotions of affection
116,739,739,GerDracor/lessing-philotas.xml,Götter!,0,7,character_speech,1,8,,ARIDÄUS.,#aridaeus,158.0,MALE,being moved,tragedy,,,being moved,being moved
122,745,745,GerDracor/lessing-philotas.xml,– Hülfe!,18,26,character_speech,1,8,,ARIDÄUS.,#aridaeus,161.0,MALE,fear,tragedy,,,negative,emotions of anxiety
123,746,746,GerDracor/lessing-philotas.xml,dem Prinzen zur Hülfe!,27,49,character_speech,1,8,,ARIDÄUS.,#aridaeus,161.0,MALE,fear,tragedy,,,negative,emotions of anxiety
124,747,747,GerDracor/lessing-philotas.xml,"– Prinz, welche wütende Schwermut
            –",50,97,character_speech,1,8,,ARIDÄUS.,#aridaeus,161.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
125,748,748,GerDracor/lessing-philotas.xml,"Vergib mir, König!",0,18,character_speech,1,8,,PHILOTAS.,#philotas,162.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
126,749,749,GerDracor/lessing-philotas.xml,"ich habe dir einen tödlichern Streich versetzt, als mir!",19,75,character_speech,1,8,,PHILOTAS.,#philotas,162.0,MALE,abhorrence,tragedy,,,negative,emotions of rejection
135,758,758,GerDracor/lessing-philotas.xml,O König!,0,8,character_speech,1,8,,STRATO.,#strato,166.0,MALE,being moved,tragedy,,,being moved,being moved
136,759,759,GerDracor/lessing-philotas.xml,– Das Schrecken hat ihn versteinert!,9,45,character_speech,1,8,,STRATO.,#strato,166.0,MALE,fear,tragedy,,,negative,emotions of anxiety
140,763,763,GerDracor/lessing-philotas.xml,Schweig!,0,8,character_speech,1,8,,ARIDÄUS.,#aridaeus,169.0,MALE,anger,tragedy,,,negative,emotions of rejection
141,764,764,GerDracor/lessing-philotas.xml,"Der Krieg ist aus, König!",0,25,character_speech,1,8,,STRATO.,#strato,170.0,MALE,joy,tragedy,,,positive,emotions of pleasure
146,769,769,GerDracor/lessing-philotas.xml,stirb!,75,81,character_speech,1,8,,ARIDÄUS.,#aridaeus,171.0,MALE,despair,tragedy,,,negative,emotions of anxiety
147,770,770,GerDracor/lessing-philotas.xml,"Aber
            nimm das mit, nimm den quälenden Gedanken mit: Als ein wahrer unerfahrner Knabe hast du
            geglaubt, daß die Väter alle von einer Art, alle von der weichlichen, weibischen Art
            deines Vaters sind.",82,315,character_speech,1,8,,ARIDÄUS.,#aridaeus,171.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
149,772,772,GerDracor/lessing-philotas.xml,Ich bin es nicht!,342,359,character_speech,1,8,,ARIDÄUS.,#aridaeus,171.0,MALE,despair,tragedy,,,negative,emotions of anxiety
150,773,773,GerDracor/lessing-philotas.xml,"Was liegt mir an meinem
            Sohne?",360,402,character_speech,1,8,,ARIDÄUS.,#aridaeus,171.0,MALE,compassion,tragedy,,,negative,emotions of suffering and empathy
153,776,776,GerDracor/lessing-philotas.xml,"Auch sein Tod erspare mir das schimpfliche
            Lösegeld!",539,603,character_speech,1,8,,ARIDÄUS.,#aridaeus,171.0,MALE,anger,tragedy,,,negative,emotions of rejection
154,777,777,GerDracor/lessing-philotas.xml,"– Strato, ich bin nun verwaiset, ich armer Mann!",604,652,character_speech,1,8,,ARIDÄUS.,#aridaeus,171.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
157,780,780,GerDracor/lessing-philotas.xml,– Glücklicher Strato!,745,766,character_speech,1,8,,ARIDÄUS.,#aridaeus,171.0,MALE,joy,tragedy,,,positive,emotions of pleasure
159,782,782,GerDracor/lessing-philotas.xml,Und wird leben!,33,48,character_speech,1,8,,PHILOTAS.,#philotas,172.0,MALE,love,tragedy,,,positive,emotions of affection
163,786,786,GerDracor/lessing-philotas.xml,Stirb du nur!,45,58,character_speech,1,8,,ARIDÄUS.,#aridaeus,173.0,MALE,despair,tragedy,,,negative,emotions of anxiety
164,787,787,GerDracor/lessing-philotas.xml,"Ich will ihn doch wieder
            haben!",59,102,character_speech,1,8,,ARIDÄUS.,#aridaeus,173.0,MALE,love,tragedy,,,positive,emotions of affection
165,788,788,GerDracor/lessing-philotas.xml,Und für dich!,103,116,character_speech,1,8,,ARIDÄUS.,#aridaeus,173.0,MALE,joy,tragedy,,,positive,emotions of pleasure
166,789,789,GerDracor/lessing-philotas.xml,"– Oder ich will deinem toden Körper so viel Unehre, so viel Schmach
            erzeigen lassen!",117,213,character_speech,1,8,,ARIDÄUS.,#aridaeus,173.0,MALE,abhorrence,tragedy,,,negative,emotions of rejection
167,790,790,GerDracor/lessing-philotas.xml,– Ich will ihn –,214,230,character_speech,1,8,,ARIDÄUS.,#aridaeus,173.0,MALE,love,tragedy,,,positive,emotions of affection
168,791,791,GerDracor/lessing-philotas.xml,Den toden Körper!,0,17,character_speech,1,8,,PHILOTAS.,#philotas,174.0,MALE,despair,tragedy,,,negative,emotions of anxiety
171,794,794,GerDracor/lessing-philotas.xml,Ach!,0,4,character_speech,1,8,,ARIDÄUS.,#aridaeus,175.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
173,796,796,GerDracor/lessing-philotas.xml,Du taurest mich!,0,16,character_speech,1,8,,PHILOTAS.,#philotas,176.0,MALE,suffering,tragedy,,,negative,emotions of suffering and empathy
175,798,798,GerDracor/lessing-philotas.xml,"Dort, wo alle Tugendhafte Freunde, und alle
            Tapfere Glieder Eines seligen Staates sind, im Elysium sehen wir uns wieder!",38,170,character_speech,1,8,,PHILOTAS.,#philotas,176.0,MALE,joy,tragedy,,,positive,emotions of pleasure
177,800,800,GerDracor/lessing-philotas.xml,Und versöhnt!,0,13,character_speech,1,8,,ARIDÄUS.,#aridaeus,177.0,MALE,love,tragedy,,,positive,emotions of affection
180,803,803,GerDracor/lessing-philotas.xml,"O so empfanget meine triumphierende Seele, ihr Götter; und dein Opfer, Göttin des
            Friedens!",0,103,character_speech,1,8,,PHILOTAS.,#philotas,178.0,MALE,"admiration, reverence",tragedy,,,positive,emotions of affection
186,809,809,GerDracor/lessing-philotas.xml,"Ich kann mich
            nicht halten.",73,112,character_speech,1,8,,STRATO.,#strato,180.0,MALE,despair,tragedy,,,negative,emotions of anxiety
187,810,810,GerDracor/lessing-philotas.xml,Ein wunderbarer Jüngling!,113,138,character_speech,1,8,,STRATO.,#strato,180.0,MALE,joy,tragedy,,,positive,emotions of pleasure
192,815,815,GerDracor/lessing-philotas.xml, meinen Sohn wieder haben!,0,26,character_speech,1,8,,ARIDÄUS.,#aridaeus,181.0,MALE,joy,tragedy,,,positive,emotions of pleasure
193,816,816,GerDracor/lessing-philotas.xml,"Aber rede mir nicht ein, wenn ich ihn zu teuer erkaufe!",39,94,character_speech,1,8,,ARIDÄUS.,#aridaeus,181.0,MALE,anger,tragedy,,,negative,emotions of rejection
195,818,818,GerDracor/lessing-philotas.xml,"Da zieht er mit unserer Beute davon, der größere
            Sieger!",175,243,character_speech,1,8,,ARIDÄUS.,#aridaeus,181.0,MALE,"admiration, reverence",tragedy,,,positive,emotions of affection
197,820,820,GerDracor/lessing-philotas.xml,Schaffe mir meinen Sohn!,252,276,character_speech,1,8,,ARIDÄUS.,#aridaeus,181.0,MALE,love,tragedy,,,positive,emotions of affection
198,821,821,GerDracor/lessing-philotas.xml,"Und wenn ich ihn habe, will ich nicht mehr
            König sein.",277,343,character_speech,1,8,,ARIDÄUS.,#aridaeus,181.0,MALE,abhorrence,tragedy,,,negative,emotions of rejection
2,150,150,GerDracor/grillparzer-medea.xml,"
              Wie schön der Morgen aufsteigt.",0,46,character_speech,5,2,,LANDMANN.,#landmann,27.0,MALE,joy,tragedy,,,positive,emotions of pleasure
3,151,151,GerDracor/grillparzer-medea.xml,Gütge Götter!,47,60,character_speech,5,2,,LANDMANN.,#landmann,27.0,MALE,"admiration, reverence",tragedy,,,positive,emotions of affection
6,154,154,GerDracor/grillparzer-medea.xml,"Jason kommt wankend, auf sein Schwert gestützt.",0,47,stage_direction,5,2,speech_part,,#landmann,27.0,MALE,being moved,tragedy,,,being moved,being moved
7,155,155,GerDracor/grillparzer-medea.xml,"
              Ich kann nicht weiter!",0,37,character_speech,5,2,,JASON.,#jason,28.0,MALE,despair,tragedy,,,negative,emotions of anxiety
