,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class,year_genre
50,50,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Gehen hinein.",0,50,stage_direction,1,0,speech_part,,,23.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
52,52,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Gehet hinein.",0,50,stage_direction,1,0,speech_part,,,24.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
53,53,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,Wilhelm kömpt in schwartzen Rock.,51,84,stage_direction,1,0,speech_part,,,24.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
55,55,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Hans kömpt / Wilhelm macht einen Circul /creutzet / schlägt das Buch auff.",0,111,stage_direction,1,0,speech_part,,,25.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
57,57,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Wil in den Circul gehen / schlägt ihn zu rück.",0,83,stage_direction,1,0,speech_part,,,26.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
62,62,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Fantesiret / Hans schmeist sein Hut in den Circul.",0,87,stage_direction,1,0,speech_part,,,29.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
84,84,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    
                                       
Gehet hienein.",0,92,stage_direction,1,0,speech_part,,,42.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
87,87,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                 Jetzt kömpt Hans herauß.",0,58,stage_direction,2,0,pre_speech,,,,,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
88,88,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                 Legt den Stein bey sich.",0,58,stage_direction,2,0,pre_speech,,,,,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
89,89,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                 Leget ihn auff die Achsel.",0,60,stage_direction,2,0,pre_speech,,,,,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
90,90,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    kömpt eilends herauß.",0,58,stage_direction,2,0,speech_part,,,1.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
92,92,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Kömpt für ihn zu stehen / verwundert sich.",0,79,stage_direction,2,0,speech_part,,,1.0,UNKNOWN,being moved,K,,1970.0,being moved,being moved,_1650_1730
100,100,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Läufft hinein / Hans legt den Stein nieder / Wilhelm kömpt und hat ein Prügel.",0,115,stage_direction,2,0,speech_part,,,5.0,UNKNOWN,anger,K,,1970.0,negative,emotions of rejection,_1650_1730
113,113,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Gehet hinein.",0,50,stage_direction,2,0,speech_part,,,11.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
114,114,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    legt den Stein auff die Achsel.",0,68,stage_direction,2,0,speech_part,,,12.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
116,116,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    kömpt wieder.",0,50,stage_direction,2,0,speech_part,,,13.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
119,119,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    
                                       
Laufft hinein / er legt den Stein abe.",0,116,stage_direction,2,0,speech_part,,,13.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
124,124,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Er läufft hin.",0,51,stage_direction,2,0,speech_part,,,14.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
132,132,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    
                                       
Gehet hinein.",0,91,stage_direction,2,0,speech_part,,,19.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
136,136,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Klopfft an.",0,48,stage_direction,2,0,speech_part,,,20.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
139,139,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Kömpt herauß.",0,50,stage_direction,2,0,speech_part,,,21.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
157,157,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Läufft hinein / Hans legt den Stein abe.",0,77,stage_direction,2,0,speech_part,,,27.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
159,159,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    bringt ein Prügel in der Hand.",0,67,stage_direction,2,0,speech_part,,,29.0,UNKNOWN,anger,K,,1970.0,negative,emotions of rejection,_1650_1730
173,173,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Gehet umbstehen / er leget den Stein auff.",0,79,stage_direction,2,0,speech_part,,,37.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
178,178,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Kehret sich umb / er leget den Stein abe.",0,78,stage_direction,2,0,speech_part,,,38.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
186,186,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    kömpt.",0,43,stage_direction,2,0,speech_part,,,42.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
195,195,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Wil hin lauffen.",0,53,stage_direction,2,0,speech_part,,,47.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
200,200,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Hans legt den Stein auff.",0,62,stage_direction,2,0,speech_part,,,51.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
208,208,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Stehen umb / legt den Stein abe.",0,69,stage_direction,2,0,speech_part,,,56.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
233,233,TextGrid/-Ein_ander_lustig_Pickelherings_Spiel.xml,"
                                    Finis.",0,43,stage_direction,2,0,speech_part,,,69.0,UNKNOWN,no_annotation,K,,1970.0,no_annotation,no_annotation,_1650_1730
0,0,TextGrid/-Ibrahim_Sultan.xml,"
                                 Der Schauplatz stellet eine Oda / oder ein Gemach des Frauenzimmers im Seraglio für.",0,118,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
1,1,TextGrid/-Ibrahim_Sultan.xml,"
                                 Sisigambis.",0,45,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
2,2,TextGrid/-Ibrahim_Sultan.xml,Ibrahim.,46,54,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
129,129,TextGrid/-Ibrahim_Sultan.xml,"
                                    Kiosem.",0,44,stage_direction,1,0,speech_part,,,69.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
130,130,TextGrid/-Ibrahim_Sultan.xml,Die Käyserliche Mutter.,45,68,stage_direction,1,0,speech_part,,,69.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
131,131,TextGrid/-Ibrahim_Sultan.xml,Ibrahim.,69,77,stage_direction,1,0,speech_part,,,69.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
132,132,TextGrid/-Ibrahim_Sultan.xml,Sisigambis.,78,89,stage_direction,1,0,speech_part,,,69.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
133,133,TextGrid/-Ibrahim_Sultan.xml,Sechierpera.,90,102,stage_direction,1,0,speech_part,,,69.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
134,134,TextGrid/-Ibrahim_Sultan.xml,Achmet.,103,110,stage_direction,1,0,speech_part,,,69.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
135,135,TextGrid/-Ibrahim_Sultan.xml,Kuslir Aga ein verschnittener Mohr / der das Frauenzimmer in Obacht hat.,111,183,stage_direction,1,0,speech_part,,,69.0,UNKNOWN,abhorrence,T,,1635.0,negative,emotions of rejection,_1650_1730
207,207,TextGrid/-Ibrahim_Sultan.xml,"
                                    Ibrahim.",0,45,stage_direction,1,0,speech_part,,,99.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
208,208,TextGrid/-Ibrahim_Sultan.xml,Sechierpera.,46,58,stage_direction,1,0,speech_part,,,99.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
256,256,TextGrid/-Ibrahim_Sultan.xml,"
                                    Der Schauplatz verändert sich in den Saal Hosada /wo die grossen Bedienten sich versamlen / und der Stul des Sultans steht.",0,160,stage_direction,1,0,speech_part,,,110.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
257,257,TextGrid/-Ibrahim_Sultan.xml,"
                                    Mufti.",0,43,stage_direction,1,0,speech_part,,,110.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
258,258,TextGrid/-Ibrahim_Sultan.xml,Mehemet Bassa.,44,58,stage_direction,1,0,speech_part,,,110.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
259,259,TextGrid/-Ibrahim_Sultan.xml,Bectas.,59,66,stage_direction,1,0,speech_part,,,110.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
260,260,TextGrid/-Ibrahim_Sultan.xml,Janitscharen Aga.,67,84,stage_direction,1,0,speech_part,,,110.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
261,261,TextGrid/-Ibrahim_Sultan.xml,Kiuperli Bassa.,85,100,stage_direction,1,0,speech_part,,,110.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
262,262,TextGrid/-Ibrahim_Sultan.xml,Kul Kiahia der Vnter-Aga der Janitscharen.,101,143,stage_direction,1,0,speech_part,,,110.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
314,314,TextGrid/-Ibrahim_Sultan.xml,"
                                    Bectas.",0,44,stage_direction,1,0,speech_part,,,118.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
315,315,TextGrid/-Ibrahim_Sultan.xml,Ibrahim.,45,53,stage_direction,1,0,speech_part,,,118.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
316,316,TextGrid/-Ibrahim_Sultan.xml,Mufti.,54,60,stage_direction,1,0,speech_part,,,118.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
317,317,TextGrid/-Ibrahim_Sultan.xml,Mehemet.,61,69,stage_direction,1,0,speech_part,,,118.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
318,318,TextGrid/-Ibrahim_Sultan.xml,Kiuperli.,70,79,stage_direction,1,0,speech_part,,,118.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
377,377,TextGrid/-Ibrahim_Sultan.xml,"
                                    Der Göttlichen Rache / der Stadt Byzanz / der Schwelgerey / der Geilheit / des Geitzes / des Zorns /der Hoffart.",0,149,stage_direction,1,0,speech_part,,,150.0,UNKNOWN,abhorrence,T,,1635.0,negative,emotions of rejection,_1650_1730
424,424,TextGrid/-Ibrahim_Sultan.xml,"
                                 Der Schau-Platz stellet für den Vorhof der heiligen Sophien-Kirche / welche itzt die fürnehmste Türckische ist.",0,145,stage_direction,2,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
425,425,TextGrid/-Ibrahim_Sultan.xml,"
                                 Ambre des Mufti Tochter.",0,58,stage_direction,2,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
426,426,TextGrid/-Ibrahim_Sultan.xml,Calpare ihre Mutter.,59,79,stage_direction,2,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
457,457,TextGrid/-Ibrahim_Sultan.xml,"
                                    Mufti.",0,43,stage_direction,2,0,speech_part,,,14.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
458,458,TextGrid/-Ibrahim_Sultan.xml,Ambre.,44,50,stage_direction,2,0,speech_part,,,14.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
459,459,TextGrid/-Ibrahim_Sultan.xml,Calpare.,51,59,stage_direction,2,0,speech_part,,,14.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
491,491,TextGrid/-Ibrahim_Sultan.xml,"
                                    Ambre.",0,43,stage_direction,2,0,speech_part,,,28.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
492,492,TextGrid/-Ibrahim_Sultan.xml,Mehemet.,44,52,stage_direction,2,0,speech_part,,,28.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
519,519,TextGrid/-Ibrahim_Sultan.xml,"
                                    Der Schau-Platz verwandelt sich ins Käysers Gemach.",0,88,stage_direction,2,0,speech_part,,,39.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
520,520,TextGrid/-Ibrahim_Sultan.xml,"
                                    Ibrahim.",0,45,stage_direction,2,0,speech_part,,,39.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
521,521,TextGrid/-Ibrahim_Sultan.xml,Sechierpera.,46,58,stage_direction,2,0,speech_part,,,39.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
522,522,TextGrid/-Ibrahim_Sultan.xml,Mufti.,59,65,stage_direction,2,0,speech_part,,,39.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
523,523,TextGrid/-Ibrahim_Sultan.xml,Achmet.,66,73,stage_direction,2,0,speech_part,,,39.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
524,524,TextGrid/-Ibrahim_Sultan.xml,Capachi-Bachi.,74,88,stage_direction,2,0,speech_part,,,39.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
609,609,TextGrid/-Ibrahim_Sultan.xml,"
                                    Der Schauplatz stellet für des Mufti Gemach.",0,81,stage_direction,2,0,speech_part,,,96.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
610,610,TextGrid/-Ibrahim_Sultan.xml,"
                                    Mufti.",0,43,stage_direction,2,0,speech_part,,,96.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
611,611,TextGrid/-Ibrahim_Sultan.xml,Ambre.,44,50,stage_direction,2,0,speech_part,,,96.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
612,612,TextGrid/-Ibrahim_Sultan.xml,Ein Mollah oder Vnter-Richter des Mufti.,51,91,stage_direction,2,0,speech_part,,,96.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
646,646,TextGrid/-Ibrahim_Sultan.xml,"
                                    Achmet.",0,44,stage_direction,2,0,speech_part,,,107.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
647,647,TextGrid/-Ibrahim_Sultan.xml,Mufti.,45,51,stage_direction,2,0,speech_part,,,107.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
648,648,TextGrid/-Ibrahim_Sultan.xml,Ambre.,52,58,stage_direction,2,0,speech_part,,,107.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
700,700,TextGrid/-Ibrahim_Sultan.xml,"
                                    Ambre.",0,43,stage_direction,2,0,speech_part,,,142.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
701,701,TextGrid/-Ibrahim_Sultan.xml,Sechierpera.,44,56,stage_direction,2,0,speech_part,,,142.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
854,854,TextGrid/-Ibrahim_Sultan.xml,"
                                    Der Wollust.",0,49,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,joy,T,,1635.0,positive,emotions of pleasure,_1650_1730
855,855,TextGrid/-Ibrahim_Sultan.xml,Der Begierde.,50,63,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,love,T,,1635.0,positive,emotions of affection,_1650_1730
856,856,TextGrid/-Ibrahim_Sultan.xml,Der Schönheit.,64,78,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
857,857,TextGrid/-Ibrahim_Sultan.xml,Des Geitzes.,79,91,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,abhorrence,T,,1635.0,negative,emotions of rejection,_1650_1730
858,858,TextGrid/-Ibrahim_Sultan.xml,Der Ehrsucht.,92,105,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
859,859,TextGrid/-Ibrahim_Sultan.xml,Der Schande.,106,118,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,suffering,T,,1635.0,negative,emotions of suffering and empathy,_1650_1730
860,860,TextGrid/-Ibrahim_Sultan.xml,Der Gewalt.,119,130,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
861,861,TextGrid/-Ibrahim_Sultan.xml,Der Keuschheit.,131,146,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
862,862,TextGrid/-Ibrahim_Sultan.xml,Der Mässigkeit.,147,162,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
863,863,TextGrid/-Ibrahim_Sultan.xml,Der Vernunfft.,163,177,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
864,864,TextGrid/-Ibrahim_Sultan.xml,Der Großmüthigkeit.,178,197,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
865,865,TextGrid/-Ibrahim_Sultan.xml,Der Demuth.,198,209,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
866,866,TextGrid/-Ibrahim_Sultan.xml,Der Hoffnung.,210,223,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
867,867,TextGrid/-Ibrahim_Sultan.xml,Der Gedult.,224,235,stage_direction,2,0,speech_part,,,266.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
872,872,TextGrid/-Ibrahim_Sultan.xml,"
                                    Die Begierde.",0,50,stage_direction,2,0,speech_part,,,267.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
873,873,TextGrid/-Ibrahim_Sultan.xml,Die Schönheit.,51,65,stage_direction,2,0,speech_part,,,267.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
874,874,TextGrid/-Ibrahim_Sultan.xml,Die Schande.,66,78,stage_direction,2,0,speech_part,,,267.0,UNKNOWN,suffering,T,,1635.0,negative,emotions of suffering and empathy,_1650_1730
875,875,TextGrid/-Ibrahim_Sultan.xml,Der Geitz.,79,89,stage_direction,2,0,speech_part,,,267.0,UNKNOWN,abhorrence,T,,1635.0,negative,emotions of rejection,_1650_1730
876,876,TextGrid/-Ibrahim_Sultan.xml,Die Ehrsucht.,90,103,stage_direction,2,0,speech_part,,,267.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
877,877,TextGrid/-Ibrahim_Sultan.xml,Die Gewalt.,104,115,stage_direction,2,0,speech_part,,,267.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
947,947,TextGrid/-Ibrahim_Sultan.xml,"
                                    Die Mässigkeit.",0,52,stage_direction,2,0,speech_part,,,282.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
948,948,TextGrid/-Ibrahim_Sultan.xml,Die Vernunft.,53,66,stage_direction,2,0,speech_part,,,282.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
949,949,TextGrid/-Ibrahim_Sultan.xml,Die Großmüttigkeit.,67,86,stage_direction,2,0,speech_part,,,282.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
950,950,TextGrid/-Ibrahim_Sultan.xml,Die Demuth.,87,98,stage_direction,2,0,speech_part,,,282.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
951,951,TextGrid/-Ibrahim_Sultan.xml,Die Hofnung.,99,111,stage_direction,2,0,speech_part,,,282.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
952,952,TextGrid/-Ibrahim_Sultan.xml,Die Gedult.,112,123,stage_direction,2,0,speech_part,,,282.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
957,957,TextGrid/-Ibrahim_Sultan.xml,"
                                 Der Schau-Platz stellet für einen Lust-Garten.",0,80,stage_direction,3,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
958,958,TextGrid/-Ibrahim_Sultan.xml,"
                                 Ibrahim.",0,42,stage_direction,3,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
959,959,TextGrid/-Ibrahim_Sultan.xml,Mehemet.,43,51,stage_direction,3,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
1006,1006,TextGrid/-Ibrahim_Sultan.xml,"
                                    Ibrahim.",0,45,stage_direction,3,0,speech_part,,,27.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
1007,1007,TextGrid/-Ibrahim_Sultan.xml,Sechierpera.,46,58,stage_direction,3,0,speech_part,,,27.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
1050,1050,TextGrid/-Ibrahim_Sultan.xml,"
                                    Der Schauplatz verwandelt sich in der Sultaninnen Spatzier-Saal.",0,101,stage_direction,3,0,speech_part,,,42.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
1051,1051,TextGrid/-Ibrahim_Sultan.xml,"
                                    Fatima.",0,44,stage_direction,3,0,speech_part,,,42.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
1052,1052,TextGrid/-Ibrahim_Sultan.xml,Alima.,45,51,stage_direction,3,0,speech_part,,,42.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
1053,1053,TextGrid/-Ibrahim_Sultan.xml,Hagar.,52,58,stage_direction,3,0,speech_part,,,42.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
1054,1054,TextGrid/-Ibrahim_Sultan.xml,Kiosem.,59,66,stage_direction,3,0,speech_part,,,42.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation,_1650_1730
